tick,kind,species,patch_x,patch_y,x,y,cause,detail
6,birth,grazer,19,20,153,161,,399
8,birth,grazer,9,15,76,126,,400
9,birth,grazer,17,24,138,194,,401
9,death,grazer,31,21,255,171,eaten,140
10,birth,grazer,8,28,70,229,,402
12,birth,grazer,6,2,48,16,,403
13,birth,grazer,20,7,161,62,,404
15,birth,grazer,30,25,246,203,,405
15,birth,grazer,8,10,71,86,,406
15,birth,grazer,6,21,53,168,,407
16,birth,grazer,31,18,251,151,,408
19,birth,grazer,9,12,79,98,,409
20,birth,grazer,29,10,232,81,,410
23,birth,grazer,9,21,73,171,,411
23,birth,grazer,9,1,73,15,,412
24,birth,grazer,26,9,208,72,,413
24,birth,grazer,11,14,94,117,,414
25,birth,grazer,15,3,125,25,,415
26,birth,grazer,6,25,55,205,,416
28,birth,grazer,28,19,225,155,,417
28,death,grazer,27,25,221,204,eaten,175
31,birth,grazer,12,8,97,70,,418
33,storm,,0,0,,,,0.9584 0.2769 0.0042
34,birth,grazer,11,19,93,158,,419
36,death,grazer,21,17,173,137,eaten,86
37,birth,grazer,3,14,27,115,,420
37,birth,grazer,4,15,38,122,,421
38,birth,grazer,27,20,221,161,,422
40,birth,grazer,23,13,184,110,,423
40,birth,grazer,20,28,160,226,,424
41,birth,grazer,22,6,183,50,,425
41,birth,grazer,8,11,71,92,,426
43,birth,grazer,29,17,238,136,,427
43,birth,grazer,9,19,76,155,,428
44,birth,grazer,0,0,6,0,,429
45,birth,grazer,14,26,112,209,,430
45,birth,grazer,7,3,60,24,,431
45,birth,grazer,5,3,45,26,,432
46,birth,grazer,10,7,80,58,,433
49,birth,grazer,5,25,43,203,,434
49,birth,grazer,10,7,80,62,,435
50,birth,grazer,9,18,72,144,,436
50,germination,tree,6,4,50,38,,437
50,germination,tree,30,4,243,32,,438
50,germination,tree,20,5,166,40,,439
50,germination,tree,11,5,95,43,,440
50,germination,tree,23,4,184,36,,441
50,germination,tree,28,5,227,47,,442
50,germination,tree,23,6,188,51,,443
50,germination,tree,20,8,167,67,,444
50,germination,tree,29,11,232,95,,445
50,germination,tree,28,13,230,106,,446
50,germination,tree,29,21,235,171,,447
50,germination,tree,26,22,215,183,,448
50,germination,tree,28,26,225,215,,449
50,germination,tree,7,28,57,224,,450
50,germination,tree,21,31,174,249,,451
52,birth,grazer,19,24,152,197,,452
53,birth,grazer,31,15,252,127,,453
55,birth,grazer,24,18,194,150,,454
56,birth,grazer,12,10,97,84,,455
56,birth,grazer,2,27,23,218,,456
56,birth,grazer,6,7,48,63,,457
57,birth,grazer,20,18,163,149,,458
57,birth,grazer,18,25,144,207,,459
57,death,grazer,31,2,251,18,eaten,150
58,birth,grazer,14,12,112,98,,460
58,birth,grazer,27,4,220,34,,461
59,birth,grazer,6,3,50,26,,462
59,birth,grazer,0,21,0,168,,463
59,birth,grazer,11,0,88,1,,464
60,death,grazer,18,13,148,105,eaten,192
63,storm,,0,0,,,,4.9040 1.6081 0.3734
64,birth,grazer,20,25,162,200,,465
68,birth,grazer,30,25,245,200,,466
69,death,grazer,21,4,170,35,eaten,119
71,birth,grazer,5,16,45,131,,467
72,birth,grazer,25,19,202,152,,468
73,birth,grazer,30,23,245,188,,469
74,birth,grazer,31,0,253,0,,470
74,birth,grazer,9,26,78,210,,471
75,birth,grazer,21,27,172,217,,472
75,birth,grazer,13,11,111,92,,473
75,birth,grazer,11,25,95,203,,474
75,birth,grazer,20,17,163,141,,475
75,storm,,0,0,,,,12.8690 4.7148 2.5224
76,birth,grazer,6,18,54,146,,476
77,birth,grazer,27,10,223,83,,477
79,birth,grazer,11,27,88,220,,478
79,birth,grazer,17,27,139,217,,479
79,death,grazer,31,2,249,23,eaten,100
80,birth,grazer,26,7,214,61,,480
81,death,grazer,22,15,182,121,eaten,214
82,birth,grazer,29,31,236,249,,481
83,birth,grazer,24,15,198,127,,482
84,birth,grazer,0,28,3,226,,483
84,birth,grazer,10,13,87,108,,484
84,death,grazer,30,0,246,0,eaten,96
87,birth,grazer,28,27,228,217,,485
