tick,grazers,hunters,trees,grass_mean,shrub_mean,moisture_mean,fertility_mean,detritus_total,temperature,hunter_immigrants,grazer_starved,grazer_eaten,grazer_old_age,grazer_crowded,grazer_burnt,hunter_starved,hunter_eaten,hunter_old_age,hunter_crowded,hunter_burnt,patches_burning,total_burnt,grazer_energy_cost_mult_mean,grazer_energy_cost_mult_sd,grazer_flee_distance_mean,grazer_flee_distance_sd,grazer_repro_threshold_mean,grazer_repro_threshold_sd,hunter_energy_cost_mult_mean,hunter_energy_cost_mult_sd,hunter_flee_distance_mean,hunter_flee_distance_sd,hunter_repro_threshold_mean,hunter_repro_threshold_sd,rain_mm,runoff_mm,ponded_mm,soil_water_mm,drainage_mm,outflow_mm,soil_n,soil_p,soil_k,leached_n,outflow_p,waterlogged_frac,pipe_in_mm,pipe_out_edge_mm
0,300,20,79,0.1000,0.0350,127.5000,175.1700,0.0000,11.9675,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0000,4.0000,0.0000,70.0000,0.0000,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,48.3928,0.0000,0.0000,1.5360,51.2000,38.4000,0.0000,0.0000,0.0000,0.0000,0.0000
1,300,20,79,0.1028,0.0351,127.4542,175.1700,54.4551,11.9675,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0000,4.0000,0.0000,70.0000,0.0000,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,48.3759,0.0000,0.0000,1.5360,51.2000,38.4000,0.0000,0.0000,0.0000,0.0000,0.0000
2,300,20,79,0.1055,0.0351,127.4077,175.1700,109.7843,11.9675,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0000,4.0000,0.0000,70.0000,0.0000,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,48.3587,0.0000,0.0000,1.5360,51.2000,38.4000,0.0000,0.0000,0.0000,0.0000,0.0000
3,300,20,79,0.1082,0.0352,127.3610,175.1700,165.0747,11.9675,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0000,4.0000,0.0000,70.0000,0.0000,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,48.3417,0.0000,0.0000,1.5360,51.2000,38.4000,0.0000,0.0000,0.0000,0.0000,0.0000
4,300,20,79,0.1111,0.0353,127.3139,175.1700,223.4652,11.9675,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0000,4.0000,0.0000,70.0000,0.0000,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,48.3244,0.0000,0.0000,1.5360,51.2000,38.4000,0.0000,0.0000,0.0000,0.0000,0.0000
5,300,20,79,0.1138,0.0353,127.2667,175.1700,283.6347,11.9675,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0000,4.0000,0.0000,70.0000,0.0000,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,48.3069,0.0000,0.0000,1.5360,51.2000,38.4000,0.0000,0.0000,0.0000,0.0000,0.0000
6,301,20,79,0.1166,0.0354,127.2193,175.1700,343.2800,11.9675,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999,0.0012,3.9998,0.0041,70.0108,0.1868,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,48.2896,0.0000,0.0000,1.5360,51.2000,38.4000,0.0000,0.0000,0.0000,0.0000,0.0000
7,301,20,79,0.1193,0.0354,127.1736,175.1700,401.0746,11.9675,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999,0.0012,3.9998,0.0041,70.0108,0.1868,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,48.2726,0.0000,0.0000,1.5360,51.2000,38.4000,0.0000,0.0000,0.0000,0.0000,0.0000
8,302,20,79,0.1221,0.0355,127.1272,175.1700,456.3793,11.9675,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999,0.0012,4.0002,0.0088,70.0071,0.1968,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,48.2555,0.0000,0.0000,1.5360,51.2000,38.4000,0.0000,0.0000,0.0000,0.0000,0.0000
9,302,20,79,0.1248,0.0355,127.0809,175.1700,524.3334,11.9675,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9999,0.0019,3.9996,0.0137,70.0109,0.2071,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,48.2385,0.0000,0.0000,1.5360,51.2000,38.4000,0.0000,0.0000,0.0000,0.0000,0.0000
10,303,20,79,0.1276,0.0356,126.3741,173.1095,582.7896,11.9675,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9997,0.0032,3.9996,0.0137,70.0218,0.2799,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,47.9780,0.0000,0.0000,1.4798,51.1949,38.3480,0.0000,0.0000,0.0000,0.0000,0.0000
