tick,kind,species,patch_x,patch_y,x,y,cause,detail
50,germination,tree,6,4,54,36,,79
50,germination,tree,30,3,242,31,,80
50,germination,tree,20,4,160,37,,81
50,germination,tree,10,5,87,43,,82
50,germination,tree,22,5,178,41,,83
50,germination,tree,13,5,110,44,,84
50,germination,tree,27,6,222,49,,85
50,germination,tree,22,6,182,48,,86
50,germination,tree,20,8,166,71,,87
50,germination,tree,28,11,230,95,,88
50,germination,tree,28,14,228,115,,89
50,germination,tree,28,20,231,165,,90
50,germination,tree,28,23,225,187,,91
50,germination,tree,28,26,225,214,,92
50,germination,tree,12,28,98,224,,93
50,germination,tree,23,30,187,247,,94
50,germination,tree,21,31,168,254,,95
69,storm,,0,0,,,,3.2087 1.0110 0.1324
69,pipe,,1,17,15,136,,0 0.0008 0.0000 0.0000 0.0000
69,pipe,,11,23,91,186,,1 0.0008 0.0000 0.0000 0.0000
69,pipe,,3,30,28,242,,2 0.0008 0.0000 0.0000 0.0000
69,pipe,,17,30,142,245,,3 0.0008 0.0000 0.0000 0.0000
71,storm,,0,0,,,,6.9960 2.4112 0.9362
71,pipe,,1,17,15,136,,0 0.0017 0.0000 0.0152 0.0498
71,pipe,,11,23,91,186,,1 0.0017 0.0000 0.0000 0.0000
71,pipe,,3,30,28,242,,2 0.0017 0.0000 0.0000 0.0000
71,pipe,,17,30,142,245,,3 0.0017 0.0000 0.0000 0.0000
72,storm,,0,0,,,,9.3744 3.3922 2.0323
72,pipe,,1,17,15,136,,0 0.0023 0.0000 0.2956 2.7413
72,pipe,,11,23,91,186,,1 0.0023 0.0000 0.0000 0.0000
72,pipe,,3,30,28,242,,2 0.0023 0.0000 0.0000 0.0000
72,pipe,,17,30,142,245,,3 0.0023 0.0000 0.0000 0.0000
100,germination,tree,5,3,45,31,,96
100,germination,tree,3,3,24,27,,97
100,germination,tree,18,6,151,53,,98
100,germination,tree,15,6,126,55,,99
100,germination,tree,27,18,218,144,,100
100,germination,tree,28,22,225,180,,101
100,germination,tree,12,23,96,190,,102
100,germination,tree,24,25,197,204,,103
100,germination,tree,3,26,26,214,,104
100,germination,tree,25,26,200,213,,105
100,germination,tree,12,27,98,222,,106
100,germination,tree,12,27,100,219,,107
100,germination,tree,16,27,128,222,,108
100,germination,tree,17,31,140,252,,109
100,germination,tree,22,31,183,249,,110
