tick,grazers,hunters,trees,grass_mean,shrub_mean,moisture_mean,fertility_mean,detritus_total,temperature,hunter_immigrants,grazer_starved,grazer_eaten,grazer_old_age,grazer_crowded,grazer_burnt,hunter_starved,hunter_eaten,hunter_old_age,hunter_crowded,hunter_burnt,patches_burning,total_burnt,grazer_energy_cost_mult_mean,grazer_energy_cost_mult_sd,grazer_flee_distance_mean,grazer_flee_distance_sd,grazer_repro_threshold_mean,grazer_repro_threshold_sd,hunter_energy_cost_mult_mean,hunter_energy_cost_mult_sd,hunter_flee_distance_mean,hunter_flee_distance_sd,hunter_repro_threshold_mean,hunter_repro_threshold_sd,rain_mm,runoff_mm,ponded_mm,soil_water_mm,drainage_mm,outflow_mm,soil_n,soil_p,soil_k,leached_n,outflow_p,waterlogged_frac,pipe_in_mm,pipe_out_edge_mm
0,0,0,79,0.1000,0.0350,127.5000,175.1700,0.0000,11.9675,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.3928,0.0000,0.0000,1.5360,51.2000,38.4000,0.0000,0.0000,0.0000,0.0000,0.0000
1,0,0,79,0.1027,0.0352,127.4520,175.1700,54.4664,11.9675,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.3751,0.0000,0.0000,1.5360,51.2000,38.4000,0.0000,0.0000,0.0000,0.0000,0.0000
2,0,0,79,0.1055,0.0355,127.4029,175.1700,109.8148,11.9675,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.3569,0.0000,0.0000,1.5360,51.2000,38.4000,0.0000,0.0000,0.0000,0.0000,0.0000
3,0,0,79,0.1083,0.0357,127.3533,175.1700,165.1388,11.9675,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.3388,0.0000,0.0000,1.5360,51.2000,38.4000,0.0000,0.0000,0.0000,0.0000,0.0000
4,0,0,79,0.1112,0.0360,127.3027,175.1700,223.5776,11.9675,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.3202,0.0000,0.0000,1.5360,51.2000,38.4000,0.0000,0.0000,0.0000,0.0000,0.0000
5,0,0,79,0.1139,0.0362,127.2526,175.1700,283.7912,11.9675,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.3017,0.0000,0.0000,1.5360,51.2000,38.4000,0.0000,0.0000,0.0000,0.0000,0.0000
6,0,0,79,0.1167,0.0365,127.2031,175.1700,343.4876,11.9675,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.2835,0.0000,0.0000,1.5360,51.2000,38.4000,0.0000,0.0000,0.0000,0.0000,0.0000
7,0,0,79,0.1194,0.0367,127.1555,175.1700,401.3352,11.9675,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.2658,0.0000,0.0000,1.5360,51.2000,38.4000,0.0000,0.0000,0.0000,0.0000,0.0000
8,0,0,79,0.1222,0.0369,127.1071,175.1700,456.7216,11.9675,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.2480,0.0000,0.0000,1.5360,51.2000,38.4000,0.0000,0.0000,0.0000,0.0000,0.0000
9,0,0,79,0.1249,0.0371,127.0583,175.1700,509.7380,11.9675,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.2301,0.0000,0.0000,1.5360,51.2000,38.4000,0.0000,0.0000,0.0000,0.0000,0.0000
10,0,0,79,0.1277,0.0373,126.3463,172.8974,568.3134,11.9675,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47.9676,0.0000,0.0000,1.4742,51.1945,38.3434,0.0000,0.0000,0.0000,0.0000,0.0000
11,0,0,79,0.1303,0.0376,126.3007,172.8974,635.7631,11.9675,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47.9508,0.0000,0.0000,1.4742,51.1945,38.3434,0.0000,0.0000,0.0000,0.0000,0.0000
12,0,0,79,0.1329,0.0378,126.2541,172.8974,704.3535,11.9675,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47.9336,0.0000,0.0000,1.4742,51.1945,38.3434,0.0000,0.0000,0.0000,0.0000,0.0000
13,0,0,79,0.1355,0.0381,126.2069,172.8974,773.0024,11.9675,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47.9163,0.0000,0.0000,1.4742,51.1945,38.3434,0.0000,0.0000,0.0000,0.0000,0.0000
14,0,0,79,0.1383,0.0383,126.1588,172.8974,844.9860,11.9675,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47.8987,0.0000,0.0000,1.4742,51.1945,38.3434,0.0000,0.0000,0.0000,0.0000,0.0000
15,0,0,79,0.1409,0.0385,126.1113,172.8974,918.8338,11.9675,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47.8811,0.0000,0.0000,1.4742,51.1945,38.3434,0.0000,0.0000,0.0000,0.0000,0.0000
16,0,0,79,0.1435,0.0388,126.0643,172.8974,991.8204,11.9675,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47.8638,0.0000,0.0000,1.4742,51.1945,38.3434,0.0000,0.0000,0.0000,0.0000,0.0000
