tick,grazers,hunters,trees,grass_mean,shrub_mean,moisture_mean,fertility_mean,detritus_total,temperature,hunter_immigrants,grazer_starved,grazer_eaten,grazer_old_age,grazer_crowded,grazer_burnt,hunter_starved,hunter_eaten,hunter_old_age,hunter_crowded,hunter_burnt,patches_burning,total_burnt,grazer_energy_cost_mult_mean,grazer_energy_cost_mult_sd,grazer_flee_distance_mean,grazer_flee_distance_sd,grazer_repro_threshold_mean,grazer_repro_threshold_sd,hunter_energy_cost_mult_mean,hunter_energy_cost_mult_sd,hunter_flee_distance_mean,hunter_flee_distance_sd,hunter_repro_threshold_mean,hunter_repro_threshold_sd,rain_mm,runoff_mm,ponded_mm,soil_water_mm,drainage_mm,outflow_mm,soil_n,soil_p,soil_k,leached_n,outflow_p,waterlogged_frac
0,300,20,12,0.1000,0.0200,127.5000,175.1700,0.0000,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0000,4.0000,0.0000,70.0000,0.0000,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,67.6758,0.0000,0.0000,1.5360,51.2000,38.4000,0.0000,0.0000,0.0000
1,299,20,12,0.1031,0.0200,127.4471,175.1700,20.0176,11.9912,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0000,0.0000,4.0000,0.0000,70.0000,0.0000,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,67.6477,0.0000,0.0000,1.5360,51.2000,38.4000,0.0000,0.0000,0.0000
2,298,20,12,0.1061,0.0200,127.4008,175.1700,39.3920,11.9912,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0000,0.0000,4.0000,0.0000,70.0000,0.0000,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,67.6231,0.0000,0.0000,1.5360,51.2000,38.4000,0.0000,0.0000,0.0000
3,296,20,12,0.1092,0.0200,145.5586,175.1700,73.3298,11.9912,0,0,2,0,0,0,0,0,0,0,0,0,0,1.0000,0.0000,4.0000,0.0000,70.0000,0.0000,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,10.1727,1.0393,0.0000,77.2611,0.0000,0.5126,1.5360,51.2000,38.4000,0.0000,0.0001,0.0000
4,295,20,12,0.1118,0.0200,145.5174,175.1700,92.2313,11.9912,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0000,0.0000,4.0000,0.0000,70.0000,0.0000,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,77.2392,0.0000,0.0000,1.5360,51.2000,38.4000,0.0000,0.0001,0.0000
5,295,20,12,0.1144,0.0200,145.4773,175.1700,95.9979,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0000,4.0000,0.0000,70.0000,0.0000,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,77.2180,0.0000,0.0000,1.5360,51.2000,38.4000,0.0000,0.0001,0.0000
6,295,20,12,0.1170,0.0200,145.4304,175.1700,100.3983,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0000,4.0000,0.0000,70.0000,0.0000,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,77.1931,0.0000,0.0000,1.5360,51.2000,38.4000,0.0000,0.0001,0.0000
7,294,20,12,0.1196,0.0200,145.3890,175.1700,119.2753,11.9912,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0000,0.0000,4.0000,0.0000,70.0000,0.0000,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,77.1711,0.0000,0.0000,1.5360,51.2000,38.4000,0.0000,0.0001,0.0000
8,294,20,12,0.1221,0.0200,145.3430,175.1700,123.5467,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0000,4.0000,0.0000,70.0000,0.0000,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,77.1467,0.0000,0.0000,1.5360,51.2000,38.4000,0.0000,0.0001,0.0000
9,295,20,12,0.1247,0.0200,145.2963,175.1700,127.8657,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0002,0.0028,4.0000,0.0003,69.9975,0.0429,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,77.1219,0.0000,0.0000,1.5360,51.2000,38.4000,0.0000,0.0001,0.0000
10,295,20,12,0.1278,0.0200,144.6557,173.0999,132.3316,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0002,0.0028,4.0000,0.0003,69.9975,0.0429,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,76.7818,0.0000,0.0000,1.4795,51.1948,38.3475,0.0000,0.0001,0.0000
11,294,20,12,0.1306,0.0200,144.6053,173.0999,153.5720,11.9912,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0002,0.0028,4.0000,0.0003,69.9975,0.0430,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,76.7551,0.0000,0.0000,1.4795,51.1948,38.3475,0.0000,0.0001,0.0000
12,292,20,12,0.1335,0.0200,144.5612,173.0999,188.9619,11.9912,0,0,2,0,0,0,0,0,0,0,0,0,0,1.0002,0.0028,4.0000,0.0003,69.9975,0.0431,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,76.7317,0.0000,0.0000,1.4795,51.1948,38.3475,0.0000,0.0001,0.0000
13,292,20,12,0.1363,0.0200,144.5214,173.0999,193.8141,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0002,0.0028,4.0000,0.0003,69.9975,0.0431,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,76.7106,0.0000,0.0000,1.4795,51.1948,38.3475,0.0000,0.0001,0.0000
14,292,20,12,0.1388,0.0199,144.4822,173.0999,198.6794,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0002,0.0028,4.0000,0.0003,69.9975,0.0431,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,76.6898,0.0000,0.0000,1.4795,51.1948,38.3475,0.0000,0.0001,0.0000
15,292,20,12,0.1413,0.0199,144.4440,173.0999,203.3665,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0002,0.0028,4.0000,0.0003,69.9975,0.0431,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,76.6695,0.0000,0.0000,1.4795,51.1948,38.3475,0.0000,0.0001,0.0000
