tick,grazers,hunters,trees,grass_mean,shrub_mean,moisture_mean,fertility_mean,detritus_total,temperature
0,60,12,12,0.1000,0.0200,128.0000,128.0000,0.0000,11.9912
1,60,12,12,0.1048,0.0200,127.9225,127.8966,5.0213,11.9912
2,60,12,12,0.1095,0.0200,127.8547,127.8063,9.4170,11.9912
3,60,12,12,0.1143,0.0200,127.7936,127.7248,13.3795,11.9912
4,60,12,12,0.1184,0.0200,127.7331,127.6442,17.2965,11.9912
5,60,12,12,0.1225,0.0200,127.6745,127.5659,21.0892,11.9912
6,61,12,12,0.1266,0.0200,127.6058,127.4743,25.5241,11.9912
7,61,12,12,0.1307,0.0200,127.5451,127.3935,29.4434,11.9912
8,62,12,12,0.1348,0.0200,127.4779,127.3038,33.7919,11.9912
9,62,12,12,0.1388,0.0200,127.4097,127.2130,53.2043,11.9912
10,62,12,12,0.1436,0.0199,133.4108,127.1185,57.6007,11.9912
11,62,12,12,0.1481,0.0200,133.3375,127.0207,64.5162,11.9912
12,62,12,12,0.1526,0.0199,133.2734,126.9353,70.5734,11.9912
13,62,12,12,0.1571,0.0199,133.2155,126.8581,76.0220,11.9912
14,62,12,12,0.1610,0.0199,133.1584,126.7819,81.4166,11.9912
15,62,12,12,0.1649,0.0199,133.1028,126.7078,86.6228,11.9912
16,61,12,12,0.1688,0.0199,133.0378,126.6212,107.7253,11.9912
17,60,12,12,0.1727,0.0199,132.9804,126.5446,128.1083,11.9912
18,60,12,12,0.1766,0.0199,132.9168,126.4598,134.0977,11.9912
19,60,12,12,0.1804,0.0199,132.8524,126.3739,140.1868,11.9912
20,60,12,12,0.1850,0.0199,137.3711,126.2845,146.0074,11.9912
21,60,12,12,0.1893,0.0199,137.3018,126.1921,154.7220,11.9912
22,60,12,12,0.1936,0.0199,137.2412,126.1113,162.3552,11.9912
23,60,12,12,0.1979,0.0199,137.1865,126.0383,169.2227,11.9912
24,60,12,12,0.2016,0.0199,137.1324,125.9662,176.0198,11.9912
25,60,12,12,0.2052,0.0199,137.0799,125.8962,182.5915,11.9912
26,60,12,12,0.2089,0.0199,137.0184,125.8142,190.2891,11.9912
27,60,12,12,0.2126,0.0199,136.9641,125.7418,197.0691,11.9912
28,60,12,12,0.2163,0.0199,136.9039,125.6616,204.6231,11.9912
29,60,12,12,0.2200,0.0198,136.8430,125.5804,212.2981,11.9912
30,60,12,12,0.2243,0.0198,141.2511,125.4959,219.4971,11.9912
31,60,12,12,0.2284,0.0198,141.1855,125.4085,229.9155,11.9912
32,61,12,12,0.2324,0.0198,141.1282,125.3321,239.0387,11.9912
33,61,12,12,0.2365,0.0198,141.0764,125.2631,247.2495,11.9912
34,61,12,12,0.2400,0.0198,141.0253,125.1949,255.3731,11.9912
35,61,12,12,0.2434,0.0198,140.9756,125.1287,263.2314,11.9912
36,61,12,12,0.2469,0.0198,140.9175,125.0512,272.4366,11.9912
37,61,12,12,0.2504,0.0198,140.8661,124.9827,280.5490,11.9912
38,61,12,12,0.2539,0.0198,140.8092,124.9069,289.5752,11.9912
39,60,12,12,0.2574,0.0198,140.7516,124.8300,313.7404,11.9912
40,61,12,12,0.2614,0.0198,145.0655,124.7503,322.1089,11.9912
41,61,12,12,0.2653,0.0198,145.0035,124.6676,334.1350,11.9912
42,61,12,12,0.2691,0.0198,144.9493,124.5954,344.6674,11.9912
43,61,12,12,0.2730,0.0198,144.9004,124.5301,354.1502,11.9912
44,61,12,12,0.2763,0.0198,144.8520,124.4656,363.5197,11.9912
45,61,12,12,0.2796,0.0198,144.8050,124.4030,372.5943,11.9912
46,61,12,12,0.2828,0.0198,144.7500,124.3297,383.2277,11.9912
47,61,12,12,0.2861,0.0198,144.7015,124.2649,392.6015,11.9912
48,61,12,12,0.2894,0.0197,144.6477,124.1932,403.0221,11.9912
49,61,12,12,0.2927,0.0197,144.5932,124.1205,413.6043,11.9912
50,61,12,12,0.2966,0.0197,148.6598,124.0452,423.0669,11.9912
51,61,12,12,0.3002,0.0197,148.6011,123.9670,436.6043,11.9912
52,62,12,12,0.3039,0.0197,148.5499,123.8987,448.4691,11.9912
53,62,12,12,0.3075,0.0197,148.5036,123.8370,459.1529,11.9912
54,60,12,12,0.3106,0.0197,148.4578,123.7760,499.7022,11.9912
55,60,12,12,0.3137,0.0197,148.4134,123.7167,509.9235,11.9912
56,61,12,12,0.3168,0.0197,148.3614,123.6474,521.9089,11.9912
57,61,12,12,0.3200,0.0197,148.3155,123.5862,547.4753,11.9912
58,62,12,12,0.3231,0.0197,148.2646,123.5183,559.2066,11.9912
59,62,12,12,0.3262,0.0197,148.2131,123.4496,571.1292,11.9912
60,62,12,12,0.3298,0.0197,152.3634,123.3786,581.3107,11.9912
61,62,12,12,0.3332,0.0197,152.3079,123.3046,596.2874,11.9912
62,61,12,12,0.3367,0.0197,152.2594,123.2401,624.4113,11.9912
63,60,12,12,0.3401,0.0197,152.2157,123.1817,651.2321,11.9912
64,61,12,12,0.3431,0.0197,152.1724,123.1240,662.9072,11.9912
65,61,12,12,0.3460,0.0197,152.1304,123.0680,674.2190,11.9912
66,61,12,12,0.3490,0.0197,152.0812,123.0024,687.4804,11.9912
67,61,12,12,0.3519,0.0197,152.0378,122.9445,699.1634,11.9912
68,62,12,12,0.3549,0.0196,151.9896,122.8803,712.1281,11.9912
69,62,12,12,0.3578,0.0196,151.9409,122.8153,725.3167,11.9912
70,63,12,12,0.3612,0.0196,156.0159,122.7484,736.1757,11.9912
71,63,12,12,0.3645,0.0196,155.9634,122.6784,752.5091,11.9912
72,63,12,12,0.3677,0.0196,155.9176,122.6174,766.8223,11.9912
73,63,12,12,0.3710,0.0196,155.8763,122.5622,779.7178,11.9912
74,64,12,12,0.3738,0.0196,155.8354,122.5076,792.4568,11.9912
75,64,12,12,0.3766,0.0196,155.7956,122.4546,804.7967,11.9912
76,65,12,12,0.3793,0.0196,155.7491,122.3927,819.2674,11.9912
77,64,12,12,0.3821,0.0196,155.7080,122.3379,847.0103,11.9912
78,64,12,12,0.3849,0.0196,155.6625,122.2771,861.1544,11.9912
79,64,12,12,0.3877,0.0196,155.6164,122.2157,875.5394,11.9912
80,65,12,12,0.3909,0.0196,159.6187,122.1526,887.0168,11.9912
81,65,12,12,0.3940,0.0196,159.5691,122.0864,904.6271,11.9912
82,66,12,12,0.3971,0.0196,159.5257,122.0286,920.0583,11.9912
83,66,12,12,0.4001,0.0196,159.4866,121.9765,933.9697,11.9912
84,66,12,12,0.4028,0.0196,159.4479,121.9249,947.7137,11.9912
85,66,12,12,0.4054,0.0196,159.4103,121.8747,961.0222,11.9912
86,66,12,12,0.4080,0.0196,159.3663,121.8161,976.6247,11.9912
87,66,12,12,0.4106,0.0195,159.3275,121.7643,990.3763,11.9912
88,66,12,12,0.4133,0.0195,159.2844,121.7068,1005.6314,11.9912
89,66,12,12,0.4159,0.0195,159.2408,121.6487,1021.1345,11.9912
90,66,12,12,0.4190,0.0195,163.1724,121.5893,1033.1545,11.9912
91,66,12,12,0.4219,0.0195,163.1254,121.5266,1051.9855,11.9912
92,66,12,12,0.4248,0.0195,163.0844,121.4720,1068.4714,11.9912
93,68,12,12,0.4277,0.0195,163.0474,121.4227,1083.3438,11.9912
94,69,12,12,0.4301,0.0195,163.0108,121.3739,1098.0337,11.9912
95,69,12,12,0.4326,0.0195,162.9753,121.3264,1112.2632,11.9912
96,69,12,12,0.4351,0.0195,162.9337,121.2710,1128.9344,11.9912
97,69,12,12,0.4376,0.0195,162.8969,121.2220,1143.6392,11.9912
98,69,12,12,0.4401,0.0195,162.8561,121.1675,1159.9252,11.9912
99,69,12,12,0.4425,0.0195,162.8149,121.1126,1176.4915,11.9912
100,69,12,12,0.4454,0.0195,166.5149,121.0566,1188.9331,13.8684
