rng.stream,seed,no_extinction_pass,no_extinction_value,no_extinction_margin,max_10x_pass,max_10x_value,max_10x_margin,grazer_cycle_pass,grazer_cycle_value,grazer_cycle_margin,fertility_band_pass,fertility_band_value,fertility_band_margin,grass_band_pass,grass_band_value,grass_band_margin,tree_growth_pass,tree_growth_value,tree_growth_margin,mature_trees_10k_pass,mature_trees_10k_value,mature_trees_10k_margin,animals_10k_pass,animals_10k_value,animals_10k_margin,first_extinction_tick,first_extinction_species,first_extinction_dominant_cause,grazer_peaks,hunter_extinction_tick,hunter_immigrants
1,1,true,25,24.000000,true,549,0.834139,true,16361,9.907333,true,217.35400390625,0.012027,true,0.8842999935150146,0.069158,true,382,20.222222,true,110,2.142857,true,27,12.500000,,,,19,,0
1,2,true,22,21.000000,true,523,0.825667,true,16901,10.267333,false,221.3336944580078,-0.006062,true,0.8853999972343445,0.068000,true,382,20.222222,true,112,2.200000,true,34,16.000000,,,,14,,0
1,3,true,33,32.000000,true,59,0.831429,true,17016,10.344000,true,219.66270446777344,0.001533,true,0.8830000162124634,0.070526,true,390,20.666667,true,117,2.342857,true,44,21.000000,,,,12,,0
2,1,true,22,21.000000,true,550,0.834337,true,17818,10.878667,true,215.843505859375,0.018893,true,0.8845000267028809,0.068947,true,396,21.000000,true,111,2.171429,true,30,14.000000,,,,13,,0
2,2,true,29,28.000000,true,63,0.814706,true,15686,9.457333,true,217.49510192871094,0.011386,true,0.885200023651123,0.068211,true,318,16.666667,true,111,2.171429,true,36,17.000000,,,,10,,0
2,3,true,28,27.000000,true,70,0.781250,true,17092,10.394667,false,223.7176971435547,-0.016899,true,0.885699987411499,0.067684,true,335,17.611111,true,108,2.085714,true,36,17.000000,,,,13,,0
3,1,true,24,23.000000,true,50,0.861111,true,15801,9.534000,true,217.77200317382813,0.010127,true,0.8826000094413757,0.070947,true,354,18.666667,true,102,1.914286,true,25,11.500000,,,,13,,0
3,2,true,27,26.000000,true,56,0.844444,true,14743,8.828667,true,219.63699340820313,0.001650,true,0.8835999965667725,0.069895,true,356,18.777778,true,88,1.514286,true,39,18.500000,,,,11,,0
3,3,true,32,31.000000,true,55,0.838235,true,16159,9.772667,true,216.6033935546875,0.015439,true,0.8816999793052673,0.071895,true,363,19.166667,true,86,1.457143,true,35,16.500000,,,,11,,0
4,1,true,23,22.000000,true,48,0.840000,true,15594,9.396000,true,215.1956024169922,0.021838,true,0.8798999786376953,0.073789,true,407,21.611111,true,115,2.285714,true,33,15.500000,,,,9,,0
4,2,true,25,24.000000,true,66,0.800000,true,16522,10.014667,false,220.85560607910156,-0.003889,true,0.8824999928474426,0.071053,true,353,18.611111,true,96,1.742857,true,29,13.500000,,,,10,,0
4,3,false,0,-1.000000,true,70,0.800000,true,5398,2.598667,false,225.25830078125,-0.023901,true,0.8831999897956848,0.070316,true,353,18.611111,true,88,1.514286,false,9,-0.100000,10191,grazers,eaten,5,11435,0
5,1,true,27,26.000000,true,62,0.817647,true,17095,10.396667,false,220.24960327148438,-0.001135,true,0.8880000114440918,0.065263,true,356,18.777778,true,76,1.171429,true,30,14.000000,,,,12,,0
5,2,false,0,-1.000000,true,538,0.813841,true,3584,1.389333,false,227.26829528808594,-0.033038,true,0.8841000199317932,0.069368,true,329,17.277778,true,79,1.257143,false,0,-1.000000,7360,grazers,eaten,3,8595,0
5,3,true,27,26.000000,true,57,0.837143,true,16873,10.248667,false,220.54800415039063,-0.002491,true,0.8848999738693237,0.068526,true,321,16.833333,true,71,1.028571,true,44,21.000000,,,,12,,0
