tree.crowding_mortality,disease.grazer_rate,seed,no_extinction_pass,no_extinction_value,no_extinction_margin,max_10x_pass,max_10x_value,max_10x_margin,grazer_cycle_pass,grazer_cycle_value,grazer_cycle_margin,fertility_band_pass,fertility_band_value,fertility_band_margin,grass_band_pass,grass_band_value,grass_band_margin,tree_growth_pass,tree_growth_value,tree_growth_margin,mature_trees_10k_pass,mature_trees_10k_value,mature_trees_10k_margin,animals_10k_pass,animals_10k_value,animals_10k_margin,first_extinction_tick,first_extinction_species,first_extinction_dominant_cause,grazer_peaks,hunter_extinction_tick,hunter_immigrants
0.00,0.000,1,true,25,24.000000,true,3343,0.775938,true,16016,9.677333,true,185.53419494628906,0.156663,true,0.875,0.078947,true,349,18.388889,true,123,2.514286,true,28,13.000000,,,,7,,0
0.00,0.000,2,true,28,27.000000,true,2859,0.827667,true,16336,9.890667,true,187.46730041503906,0.147876,true,0.873199999332428,0.080842,true,339,17.833333,true,118,2.371429,true,36,17.000000,,,,12,,0
0.00,0.000,3,true,33,32.000000,true,62,0.812121,true,15494,9.329333,true,197.1938018798828,0.103665,true,0.8672999739646912,0.087053,true,406,21.555556,true,79,1.257143,true,52,25.000000,,,,9,,0
0.00,0.002,1,true,27,26.000000,true,631,0.827123,true,16589,10.059333,true,207.43679809570313,0.057105,true,0.8828999996185303,0.070632,true,419,22.277778,true,125,2.571429,true,35,16.500000,,,,8,,0
0.00,0.002,2,true,24,23.000000,true,61,0.815152,true,15005,9.003333,true,211.1060028076172,0.040427,true,0.8823000192642212,0.071263,true,370,19.555556,true,111,2.171429,true,32,15.000000,,,,9,,0
0.00,0.002,3,true,31,30.000000,true,59,0.809677,true,17195,10.463333,true,210.3677978515625,0.043783,true,0.882099986076355,0.071474,true,321,16.833333,true,88,1.514286,true,48,23.000000,,,,11,,0
0.00,0.004,1,true,22,21.000000,true,53,0.823333,true,16542,10.028000,true,212.81869506835938,0.032642,true,0.8833000063896179,0.070211,true,310,16.222222,true,112,2.200000,true,31,14.500000,,,,10,,0
0.00,0.004,2,true,23,22.000000,true,582,0.855224,true,16173,9.782000,true,210.7154998779297,0.042202,true,0.8838000297546387,0.069684,true,413,21.944444,true,122,2.485714,true,28,13.000000,,,,11,,0
0.00,0.004,3,true,33,32.000000,true,67,0.796970,true,13685,8.123333,true,214.52330017089844,0.024894,true,0.8827000260353088,0.070842,true,269,13.944444,true,108,2.085714,true,52,25.000000,,,,7,,0
0.00,0.006,1,true,23,22.000000,true,54,0.831250,true,16803,10.202000,true,214.6448974609375,0.024341,true,0.8855000138282776,0.067895,true,341,17.944444,true,102,1.914286,true,39,18.500000,,,,12,,0
