rng.stream,seed,no_extinction_pass,no_extinction_value,no_extinction_margin,max_10x_pass,max_10x_value,max_10x_margin,grazer_cycle_pass,grazer_cycle_value,grazer_cycle_margin,fertility_band_pass,fertility_band_value,fertility_band_margin,grass_band_pass,grass_band_value,grass_band_margin,tree_growth_pass,tree_growth_value,tree_growth_margin,mature_trees_10k_pass,mature_trees_10k_value,mature_trees_10k_margin,animals_10k_pass,animals_10k_value,animals_10k_margin,first_extinction_tick,first_extinction_species,first_extinction_dominant_cause,grazer_peaks,hunter_extinction_tick,hunter_immigrants
1,1,true,23,22.000000,true,47,0.848387,true,17629,10.752667,true,198.27200317382813,0.098764,true,0.8762999773025513,0.077579,true,420,22.333333,true,113,2.228571,true,32,15.000000,,,,11,,0
1,2,true,34,33.000000,true,555,0.816832,true,15788,9.525333,true,200.50450134277344,0.088616,true,0.8720999956130981,0.082000,true,380,20.111111,true,125,2.571429,true,46,22.000000,,,,13,,0
1,3,true,29,28.000000,true,68,0.805714,true,16545,10.030000,true,200.00070190429688,0.090906,true,0.8715999722480774,0.082526,true,408,21.666667,true,120,2.428571,true,38,18.000000,,,,10,,0
2,1,true,20,19.000000,true,64,0.817143,true,17133,10.422000,true,201.72940063476563,0.083048,true,0.8758999705314636,0.078000,true,311,16.277778,true,92,1.628571,true,34,16.000000,,,,14,,0
2,2,true,18,17.000000,true,521,0.809854,true,16606,10.070667,true,197.57699584960938,0.101923,true,0.8743000030517578,0.079684,true,380,20.111111,true,121,2.457143,true,32,15.000000,,,,7,,0
2,3,true,31,30.000000,true,72,0.781818,true,17172,10.448000,true,206.35980224609375,0.062001,true,0.8711000084877014,0.083053,true,361,19.055556,true,112,2.200000,true,46,22.000000,,,,7,,0
3,1,true,16,15.000000,true,47,0.861765,true,16869,10.246000,true,201.1240997314453,0.085800,true,0.8740000128746033,0.080000,true,346,18.222222,true,104,1.971429,true,26,12.000000,,,,13,,0
3,2,true,27,26.000000,true,61,0.825714,true,17452,10.634667,true,201.05160522460938,0.086129,true,0.8711000084877014,0.083053,true,273,14.166667,true,76,1.171429,true,32,15.000000,,,,10,,0
3,3,true,29,28.000000,true,57,0.832353,true,16214,9.809333,true,201.00729370117188,0.086330,true,0.8690999746322632,0.085158,true,283,14.722222,true,74,1.114286,true,43,20.500000,,,,11,,0
4,1,true,24,23.000000,true,559,0.833631,true,17164,10.442667,true,196.35040283203125,0.107498,true,0.8722000122070313,0.081895,true,345,18.166667,true,113,2.228571,true,28,13.000000,,,,11,,0
4,2,true,31,30.000000,true,68,0.780645,true,17518,10.678667,true,198.48300170898438,0.097805,true,0.8719000220298767,0.082211,true,365,19.277778,true,112,2.200000,true,33,15.500000,,,,15,,0
4,3,true,31,30.000000,true,67,0.790625,true,16985,10.323333,true,200.58770751953125,0.088238,true,0.8734999895095825,0.080526,true,346,18.222222,true,104,1.971429,true,46,22.000000,,,,8,,0
5,1,true,25,24.000000,true,56,0.830303,true,15592,9.394667,true,202.47250366210938,0.079670,true,0.8737999796867371,0.080211,true,402,21.333333,true,101,1.885714,true,30,14.000000,,,,11,,0
5,2,false,0,-1.000000,true,68,0.811111,true,10196,5.797333,true,208.01080322265625,0.054496,true,0.867900013923645,0.086421,true,413,21.944444,true,96,1.742857,true,266,25.600000,14830,grazers,eaten,7,16238,0
5,3,true,33,32.000000,true,69,0.790909,true,17164,10.442667,true,200.66749572753906,0.087875,true,0.8725000023841858,0.081579,true,426,22.666667,true,108,2.085714,true,59,28.500000,,,,11,,0
