grazer.energy_cost,fire.base_rate,seed,no_extinction_pass,no_extinction_value,no_extinction_margin,max_10x_pass,max_10x_value,max_10x_margin,grazer_cycle_pass,grazer_cycle_value,grazer_cycle_margin,fertility_band_pass,fertility_band_value,fertility_band_margin,grass_band_pass,grass_band_value,grass_band_margin,tree_growth_pass,tree_growth_value,tree_growth_margin,mature_trees_10k_pass,mature_trees_10k_value,mature_trees_10k_margin,animals_10k_pass,animals_10k_value,animals_10k_margin,first_extinction_tick,first_extinction_species,first_extinction_dominant_cause,grazer_peaks,hunter_extinction_tick,hunter_immigrants
0.04,0.000,1,true,20,19.000000,true,53,0.839394,true,17624,10.749333,false,224.15719604492188,-0.018896,true,0.8881000280380249,0.065158,true,348,18.333333,true,129,2.685714,true,34,16.000000,,,,15,,0
0.04,0.000,2,true,20,19.000000,true,50,0.852941,true,15967,9.644667,false,225.54229736328125,-0.025192,true,0.8877999782562256,0.065474,true,357,18.833333,true,117,2.342857,true,26,12.000000,,,,12,,0
0.04,0.000,3,true,32,31.000000,true,66,0.793750,true,17024,10.349333,false,222.96380615234375,-0.013472,true,0.8898000121116638,0.063368,true,265,13.722222,true,89,1.542857,true,43,20.500000,,,,12,,0
0.04,0.001,1,true,25,24.000000,true,58,0.829412,true,15948,9.632000,false,222.38259887695313,-0.010830,true,0.8884000182151794,0.064842,true,421,22.388889,true,128,2.657143,true,34,16.000000,,,,13,,0
0.04,0.001,2,true,26,25.000000,true,63,0.814706,true,16725,10.150000,false,221.1427001953125,-0.005194,true,0.886900007724762,0.066421,true,376,19.888889,true,145,3.142857,true,37,17.500000,,,,18,,0
0.04,0.001,3,true,29,28.000000,true,70,0.781250,true,17796,10.864000,false,221.42970275878906,-0.006499,true,0.8888000249862671,0.064421,true,326,17.111111,true,107,2.057143,true,50,24.000000,,,,8,,0
0.04,0.002,1,true,23,22.000000,true,58,0.829412,true,15465,9.310000,true,217.94529724121094,0.009340,true,0.8884000182151794,0.064842,true,396,21.000000,true,106,2.028571,true,35,16.500000,,,,14,,0
0.04,0.002,2,true,22,21.000000,true,55,0.838235,true,15850,9.566667,false,220.060302734375,-0.000274,true,0.886900007724762,0.066421,true,411,21.833333,true,113,2.228571,true,34,16.000000,,,,13,,0
0.04,0.002,3,true,32,31.000000,true,71,0.778125,true,16585,10.056667,true,219.96719360351563,0.000149,true,0.8888000249862671,0.064421,true,316,16.555556,true,131,2.742857,true,41,19.500000,,,,12,,0
0.04,0.003,1,true,20,19.000000,true,58,0.829412,true,16059,9.706000,true,214.85060119628906,0.023406,true,0.8884000182151794,0.064842,true,404,21.444444,true,77,1.200000,true,37,17.500000,,,,13,,0
0.04,0.003,2,true,28,27.000000,true,55,0.838235,true,16279,9.852667,true,213.03419494628906,0.031663,true,0.886900007724762,0.066421,true,368,19.444444,true,112,2.200000,true,41,19.500000,,,,13,,0
0.04,0.003,3,true,32,31.000000,true,71,0.778125,true,17796,10.864000,true,218.54969787597656,0.006592,true,0.8888000249862671,0.064421,true,377,19.944444,true,135,2.857143,true,45,21.500000,,,,14,,0
0.04,0.004,1,true,23,22.000000,true,54,0.841176,true,16136,9.757333,true,213.78860473632813,0.028234,true,0.8884000182151794,0.064842,true,375,19.833333,true,114,2.257143,true,36,17.000000,,,,10,,0
0.04,0.004,2,true,25,24.000000,true,56,0.835294,true,15864,9.576000,true,216.39349365234375,0.016393,true,0.886900007724762,0.066421,true,361,19.055556,true,106,2.028571,true,31,14.500000,,,,12,,0
0.04,0.004,3,true,32,31.000000,true,71,0.778125,true,16808,10.205333,true,215.83770751953125,0.018920,true,0.8888000249862671,0.064421,true,347,18.277778,true,114,2.257143,true,42,20.000000,,,,12,,0
0.06,0.000,1,true,19,18.000000,true,54,0.831250,true,14554,8.702667,false,222.34390258789063,-0.010654,true,0.8853999972343445,0.068000,true,468,25.000000,true,138,2.942857,true,27,12.500000,,,,12,,0
0.06,0.000,2,true,18,17.000000,true,53,0.844118,true,16903,10.268667,false,222.7873992919922,-0.012670,true,0.8858000040054321,0.067579,true,328,17.222222,true,111,2.171429,true,31,14.500000,,,,12,,0
0.06,0.000,3,true,27,26.000000,true,61,0.809375,true,15829,9.552667,true,219.96090698242188,0.000178,true,0.8855999708175659,0.067790,true,262,13.555556,true,98,1.800000,true,46,22.000000,,,,12,,0
0.06,0.001,1,true,23,22.000000,true,56,0.825000,true,17817,10.878000,true,218.9062957763672,0.004971,true,0.8855999708175659,0.067790,true,358,18.888889,true,122,2.485714,true,26,12.000000,,,,13,,0
0.06,0.001,2,true,24,23.000000,true,52,0.842424,true,17733,10.822000,true,218.90570068359375,0.004974,true,0.886900007724762,0.066421,true,318,16.666667,true,109,2.114286,true,43,20.500000,,,,13,,0
0.06,0.001,3,true,31,30.000000,true,72,0.767742,true,17715,10.810000,true,217.16969299316406,0.012865,true,0.8853999972343445,0.068000,true,383,20.277778,true,121,2.457143,true,50,24.000000,,,,14,,0
0.06,0.002,1,true,23,22.000000,true,56,0.825000,true,17849,10.899333,true,219.8000030517578,0.000909,true,0.8855999708175659,0.067790,true,414,22.000000,true,122,2.485714,true,26,12.000000,,,,12,,0
0.06,0.002,2,true,28,27.000000,true,49,0.851515,true,17754,10.836000,true,215.69740295410156,0.019557,true,0.886900007724762,0.066421,true,387,20.500000,true,96,1.742857,true,29,13.500000,,,,14,,0
0.06,0.002,3,true,31,30.000000,true,72,0.767742,true,17669,10.779333,true,215.7407989501953,0.019360,true,0.8853999972343445,0.068000,true,421,22.388889,true,121,2.457143,true,50,24.000000,,,,13,,0
0.06,0.003,1,true,27,26.000000,true,56,0.825000,true,17250,10.500000,true,214.9221954345703,0.023081,true,0.8855999708175659,0.067790,true,356,18.777778,true,91,1.600000,true,33,15.500000,,,,12,,0
0.06,0.003,2,true,25,24.000000,true,49,0.851515,true,17228,10.485333,true,210.5258026123047,0.043065,true,0.886900007724762,0.066421,true,383,20.277778,true,90,1.571429,true,30,14.000000,,,,14,,0
0.06,0.003,3,true,31,30.000000,true,72,0.767742,true,17766,10.844000,true,213.9626007080078,0.027443,true,0.8853999972343445,0.068000,true,368,19.444444,true,92,1.628571,true,48,23.000000,,,,14,,0
0.06,0.004,1,true,25,24.000000,true,54,0.820000,true,17601,10.734000,true,212.47479248046875,0.034205,true,0.8840000033378601,0.069474,true,384,20.333333,true,129,2.685714,true,32,15.000000,,,,15,,0
0.06,0.004,2,true,31,30.000000,true,53,0.829032,true,15534,9.356000,true,212.4613037109375,0.034267,true,0.8826000094413757,0.070947,true,318,16.666667,true,66,0.885714,true,36,17.000000,,,,8,,0
0.06,0.004,3,true,31,30.000000,true,66,0.787097,true,17663,10.775333,true,213.0019073486328,0.031810,true,0.887499988079071,0.065789,true,276,14.333333,true,52,0.485714,true,55,26.500000,,,,9,,0
0.08,0.000,1,true,22,21.000000,true,52,0.847059,true,17015,10.343333,true,218.8585968017578,0.005188,true,0.8830000162124634,0.070526,true,350,18.444444,true,130,2.714286,true,28,13.000000,,,,15,,0
0.08,0.000,2,true,19,18.000000,true,576,0.839554,true,15635,9.423333,true,219.32440185546875,0.003071,true,0.8828999996185303,0.070632,true,333,17.500000,true,88,1.514286,true,27,12.500000,,,,11,,0
0.08,0.000,3,true,31,30.000000,true,64,0.806061,true,16210,9.806667,true,219.17149353027344,0.003766,true,0.8823000192642212,0.071263,true,371,19.611111,true,125,2.571429,true,42,20.000000,,,,9,,0
0.08,0.001,1,true,18,17.000000,true,53,0.839394,true,17844,10.896000,true,209.50650024414063,0.047698,true,0.8835999965667725,0.069895,true,459,24.500000,true,133,2.800000,true,26,12.000000,,,,16,,0
0.08,0.001,2,true,21,20.000000,true,64,0.817143,true,17112,10.408000,true,212.86709594726563,0.032422,true,0.882099986076355,0.071474,true,386,20.444444,true,79,1.257143,true,37,17.500000,,,,13,,0
0.08,0.001,3,false,0,-1.000000,true,76,0.769697,true,5670,2.780000,false,223.79249572753906,-0.017239,true,0.8833000063896179,0.070211,true,325,17.055556,true,102,1.914286,false,0,-1.000000,9580,grazers,eaten,7,10821,0
0.08,0.002,1,true,21,20.000000,true,53,0.834375,true,16987,10.324667,true,213.62359619140625,0.028984,true,0.879800021648407,0.073895,true,362,19.111111,true,95,1.714286,true,31,14.500000,,,,15,,0
0.08,0.002,2,true,16,15.000000,true,55,0.842857,true,17892,10.928000,true,209.8437042236328,0.046165,true,0.882099986076355,0.071474,true,390,20.666667,true,122,2.485714,true,29,13.500000,,,,13,,0
0.08,0.002,3,true,33,32.000000,true,73,0.778788,true,17239,10.492667,true,211.27630615234375,0.039653,true,0.8833000063896179,0.070211,true,294,15.333333,true,86,1.457143,true,44,21.000000,,,,13,,0
0.08,0.003,1,true,23,22.000000,true,53,0.834375,true,17442,10.628000,true,211.73599243164063,0.037564,true,0.879800021648407,0.073895,true,374,19.777778,true,122,2.485714,true,36,17.000000,,,,12,,0
0.08,0.003,2,true,24,23.000000,true,55,0.842857,true,17202,10.468000,true,210.90359497070313,0.041347,true,0.882099986076355,0.071474,true,433,23.055556,true,116,2.314286,true,32,15.000000,,,,15,,0
0.08,0.003,3,true,32,31.000000,true,74,0.775758,true,17504,10.669333,true,213.27980041503906,0.030546,true,0.8833000063896179,0.070211,true,280,14.555556,true,83,1.371429,true,51,24.500000,,,,12,,0
0.08,0.004,1,true,22,21.000000,true,53,0.834375,true,16680,10.120000,true,212.47970581054688,0.034183,true,0.879800021648407,0.073895,true,326,17.111111,true,103,1.942857,true,40,19.000000,,,,14,,0
0.08,0.004,2,true,29,28.000000,true,60,0.828571,true,17620,10.746667,true,204.6544952392578,0.069752,true,0.882099986076355,0.071474,true,401,21.277778,true,137,2.914286,true,39,18.500000,,,,16,,0
0.08,0.004,3,true,33,32.000000,true,74,0.775758,true,17779,10.852667,true,211.54710388183594,0.038422,true,0.8833000063896179,0.070211,true,303,15.833333,true,87,1.485714,true,49,23.500000,,,,14,,0
0.10,0.000,1,true,20,19.000000,true,55,0.838235,true,16336,9.890667,true,216.77789306640625,0.014646,true,0.8810999989509583,0.072526,true,387,20.500000,true,129,2.685714,true,35,16.500000,,,,11,,0
0.10,0.000,2,true,20,19.000000,true,52,0.851429,true,16954,10.302667,true,215.506103515625,0.020427,true,0.8804000020027161,0.073263,true,366,19.333333,true,142,3.057143,true,31,14.500000,,,,13,,0
0.10,0.000,3,true,32,31.000000,true,58,0.818750,true,16419,9.946000,true,213.5782928466797,0.029190,true,0.8812000155448914,0.072421,true,273,14.166667,true,102,1.914286,true,45,21.500000,,,,10,,0
0.10,0.001,1,true,23,22.000000,true,61,0.809375,true,17423,10.615333,true,211.95530700683594,0.036567,true,0.8798999786376953,0.073789,true,449,23.944444,true,144,3.114286,true,33,15.500000,,,,10,,0
0.10,0.001,2,true,20,19.000000,true,56,0.825000,true,16478,9.985333,true,212.96060180664063,0.031997,true,0.8799999952316284,0.073684,true,345,18.166667,true,129,2.685714,true,28,13.000000,,,,17,,0
0.10,0.001,3,true,33,32.000000,true,67,0.796970,true,16107,9.738000,true,212.61279296875,0.033578,true,0.8774999976158142,0.076316,true,295,15.388889,true,89,1.542857,true,48,23.000000,,,,8,,0
0.10,0.002,1,true,23,22.000000,true,60,0.812500,true,17370,10.580000,true,210.54119873046875,0.042995,true,0.8798999786376953,0.073789,true,342,18.000000,true,109,2.114286,true,30,14.000000,,,,10,,0
0.10,0.002,2,true,25,24.000000,true,53,0.834375,true,17274,10.516000,true,212.2344970703125,0.035298,true,0.8799999952316284,0.073684,true,371,19.611111,true,108,2.085714,true,27,12.500000,,,,11,,0
0.10,0.002,3,true,33,32.000000,true,65,0.803030,true,14520,8.680000,true,208.4582977294922,0.052462,true,0.8774999976158142,0.076316,true,347,18.277778,true,91,1.600000,true,44,21.000000,,,,9,,0
0.10,0.003,1,true,21,20.000000,true,60,0.812500,true,17342,10.561333,true,209.56919860839844,0.047413,true,0.8798999786376953,0.073789,true,438,23.333333,true,141,3.028571,true,42,20.000000,,,,10,,0
0.10,0.003,2,true,23,22.000000,true,52,0.842424,true,15515,9.343333,true,203.30470275878906,0.075888,true,0.880299985408783,0.073368,true,315,16.500000,true,94,1.685714,true,25,11.500000,,,,10,,0
0.10,0.003,3,true,33,32.000000,true,64,0.806061,true,16427,9.951333,true,204.427001953125,0.070786,true,0.8774999976158142,0.076316,true,432,23.000000,true,121,2.457143,true,45,21.500000,,,,10,,0
0.10,0.004,1,true,22,21.000000,true,60,0.812500,true,17738,10.825333,true,210.60240173339844,0.042716,true,0.8798999786376953,0.073789,true,385,20.388889,true,107,2.057143,true,35,16.500000,,,,11,,0
0.10,0.004,2,true,22,21.000000,true,52,0.842424,true,15473,9.315333,true,206.84500122070313,0.059795,true,0.880299985408783,0.073368,true,354,18.666667,true,97,1.771429,true,33,15.500000,,,,12,,0
0.10,0.004,3,true,32,31.000000,true,61,0.815152,true,16428,9.952000,true,208.93089294433594,0.050314,true,0.8774999976158142,0.076316,true,332,17.444444,true,81,1.314286,true,49,23.500000,,,,11,,0
0.12,0.000,1,true,17,16.000000,true,603,0.834341,true,17320,10.546667,true,212.0601043701172,0.036090,true,0.8783000111579895,0.075474,true,301,15.722222,true,94,1.685714,true,38,18.000000,,,,13,,0
0.12,0.000,2,true,24,23.000000,true,55,0.842857,true,16968,10.312000,true,211.54550170898438,0.038430,true,0.8776000142097473,0.076211,true,315,16.500000,true,97,1.771429,true,29,13.500000,,,,15,,0
0.12,0.000,3,true,31,30.000000,true,55,0.822581,true,16842,10.228000,true,210.10670471191406,0.044970,true,0.8787000179290771,0.075053,true,327,17.166667,true,97,1.771429,true,37,17.500000,,,,13,,0
