rng.stream,seed,no_extinction_pass,no_extinction_value,no_extinction_margin,max_10x_pass,max_10x_value,max_10x_margin,grazer_cycle_pass,grazer_cycle_value,grazer_cycle_margin,fertility_band_pass,fertility_band_value,fertility_band_margin,grass_band_pass,grass_band_value,grass_band_margin,tree_growth_pass,tree_growth_value,tree_growth_margin,mature_trees_10k_pass,mature_trees_10k_value,mature_trees_10k_margin,animals_10k_pass,animals_10k_value,animals_10k_margin,first_extinction_tick,first_extinction_species,first_extinction_dominant_cause,grazer_peaks,hunter_extinction_tick,hunter_immigrants
1,1,true,22,21.000000,true,623,0.816765,true,17559,10.706000,true,216.18800354003906,0.017327,true,0.8798999786376953,0.073789,true,504,27.000000,true,360,9.285714,true,33,15.500000,,,,13,,0
1,2,true,24,23.000000,true,599,0.798993,true,15523,9.348667,true,216.61050415039063,0.015407,true,0.8787000179290771,0.075053,true,499,26.722222,true,390,10.142857,true,40,19.000000,,,,10,,0
1,3,true,29,28.000000,true,66,0.811429,true,16069,9.712667,true,218.23899841308594,0.008005,true,0.8794000148773193,0.074316,true,488,26.111111,true,364,9.400000,true,35,16.500000,,,,9,,0
2,1,true,22,21.000000,true,610,0.823699,true,14824,8.882667,true,214.1656036376953,0.026520,true,0.8788999915122986,0.074842,true,523,28.055556,true,403,10.514286,true,34,16.000000,,,,12,,0
2,2,true,26,25.000000,true,68,0.800000,true,16278,9.852000,true,218.1968994140625,0.008196,true,0.880299985408783,0.073368,true,496,26.555556,true,385,10.000000,true,37,17.500000,,,,9,,0
2,3,true,29,28.000000,true,75,0.765625,true,16008,9.672000,true,219.60690307617188,0.001787,true,0.8806999921798706,0.072947,true,486,26.000000,true,396,10.314286,true,47,22.500000,,,,10,,0
3,1,true,18,17.000000,true,52,0.851429,true,15161,9.107333,true,219.28570556640625,0.003247,true,0.8794000148773193,0.074316,true,498,26.666667,true,391,10.171429,true,34,16.000000,,,,12,,0
3,2,true,24,23.000000,true,60,0.837838,true,16560,10.040000,true,218.87339782714844,0.005121,true,0.8804000020027161,0.073263,true,487,26.055556,true,397,10.342857,true,39,18.500000,,,,10,,0
3,3,true,33,32.000000,true,66,0.805882,true,16372,9.914667,true,217.2615966796875,0.012447,true,0.8784999847412109,0.075263,true,488,26.111111,true,372,9.628571,true,51,24.500000,,,,12,,0
4,1,true,23,22.000000,true,618,0.811585,true,16183,9.788667,true,212.35769653320313,0.034738,true,0.8809000253677368,0.072737,true,497,26.611111,true,386,10.028571,true,34,16.000000,,,,9,,0
4,2,true,27,26.000000,true,65,0.796875,true,16064,9.709333,true,216.87820434570313,0.014190,true,0.8799999952316284,0.073684,true,499,26.722222,true,438,11.514286,true,38,18.000000,,,,10,,0
4,3,false,0,-1.000000,true,67,0.808571,false,879,-0.414000,false,227.15899658203125,-0.032541,true,0.8795999884605408,0.074105,true,478,25.555556,true,391,10.171429,false,0,-1.000000,7040,grazers,eaten,2,8279,0
5,1,true,18,17.000000,true,62,0.812121,true,17768,10.845333,true,216.34910583496094,0.016595,true,0.8799999952316284,0.073684,true,517,27.722222,true,415,10.857143,true,30,14.000000,,,,14,,0
5,2,false,0,-1.000000,true,594,0.790845,true,6016,3.010667,false,223.5522003173828,-0.016146,true,0.881600022315979,0.072000,true,485,25.944444,true,368,9.514286,true,110,10.000000,11769,grazers,eaten,4,13097,0
5,3,false,0,-1.000000,true,64,0.811765,true,5554,2.702667,false,226.11570739746094,-0.027799,true,0.8815000057220459,0.072105,true,472,25.222222,true,344,8.828571,true,44,3.400000,10753,grazers,eaten,2,12012,0
