climate.rain_amp,hunter.kill_prob,seed,no_extinction_pass,no_extinction_value,no_extinction_margin,max_10x_pass,max_10x_value,max_10x_margin,grazer_cycle_pass,grazer_cycle_value,grazer_cycle_margin,fertility_band_pass,fertility_band_value,fertility_band_margin,grass_band_pass,grass_band_value,grass_band_margin,tree_growth_pass,tree_growth_value,tree_growth_margin,mature_trees_10k_pass,mature_trees_10k_value,mature_trees_10k_margin,animals_10k_pass,animals_10k_value,animals_10k_margin,first_extinction_tick,first_extinction_species,first_extinction_dominant_cause,grazer_peaks,hunter_extinction_tick,hunter_immigrants
0,0.1,1,false,0,-1.000000,true,625,0.831081,true,12988,7.658667,false,223.5106964111328,-0.015958,true,0.8847000002861023,0.068737,true,502,26.888889,true,422,11.057143,true,11,4.500000,16923,hunters,starved,10,16923,0
0,0.1,2,false,0,-1.000000,true,606,0.819104,true,17356,10.570667,false,222.50759887695313,-0.011398,true,0.8792999982833862,0.074421,true,514,27.555556,true,375,9.714286,true,15,6.500000,18344,hunters,starved,11,18344,0
0,0.1,3,false,0,-1.000000,true,567,0.817097,true,17178,10.452000,false,221.19650268554688,-0.005439,true,0.8815000057220459,0.072105,true,471,25.166667,true,348,8.942857,true,23,10.500000,18332,hunters,starved,10,18332,0
0,0.2,1,true,14,13.000000,true,628,0.827473,true,15613,9.408667,false,222.0081024169922,-0.009128,true,0.8797000050544739,0.074000,true,499,26.722222,true,423,11.085714,true,32,15.000000,,,,13,,0
0,0.2,2,true,19,18.000000,true,598,0.838814,true,16933,10.288667,false,222.80780029296875,-0.012763,true,0.8806999921798706,0.072947,true,485,25.944444,true,392,10.200000,true,23,10.500000,,,,11,,0
0,0.2,3,true,26,25.000000,true,66,0.800000,true,16909,10.272667,false,221.10299682617188,-0.005014,true,0.8827000260353088,0.070842,true,470,25.111111,true,326,8.314286,true,44,21.000000,,,,14,,0
0,0.3,1,true,18,17.000000,true,628,0.828415,true,16202,9.801333,false,224.49609375,-0.020437,true,0.8794000148773193,0.074316,true,495,26.500000,true,423,11.085714,true,34,16.000000,,,,11,,0
0,0.3,2,true,21,20.000000,true,607,0.830919,true,16545,10.030000,false,222.70030212402344,-0.012274,true,0.8799999952316284,0.073684,true,495,26.500000,true,389,10.114286,true,27,12.500000,,,,13,,0
0,0.3,3,true,30,29.000000,true,62,0.793333,true,17683,10.788667,false,221.26620483398438,-0.005755,true,0.8810999989509583,0.072526,true,469,25.055556,true,363,9.371429,true,45,21.500000,,,,11,,0
0,0.4,1,true,16,15.000000,true,59,0.815625,true,17048,10.365333,false,223.86900329589844,-0.017586,true,0.8812000155448914,0.072421,true,497,26.611111,true,408,10.657143,true,31,14.500000,,,,9,,0
