grazer.energy_cost,hunter.kill_prob,seed,no_extinction_pass,no_extinction_value,no_extinction_margin,max_10x_pass,max_10x_value,max_10x_margin,grazer_cycle_pass,grazer_cycle_value,grazer_cycle_margin,fertility_band_pass,fertility_band_value,fertility_band_margin,grass_band_pass,grass_band_value,grass_band_margin,tree_growth_pass,tree_growth_value,tree_growth_margin,mature_trees_10k_pass,mature_trees_10k_value,mature_trees_10k_margin,animals_10k_pass,animals_10k_value,animals_10k_margin,first_extinction_tick,grazer_peaks
0.06,0.2,1,true,21,20.000000,true,670,0.309278,true,12435,7.290000,true,204.31080627441406,0.071315,true,0.883899986743927,0.069579,true,558,30.000000,true,246,6.028571,true,71,34.500000,,6
0.06,0.2,2,true,20,19.000000,true,665,0.366667,true,12839,7.559333,true,200.6802978515625,0.087817,true,0.8805999755859375,0.073053,true,537,28.833333,true,265,6.571429,true,72,35.000000,,5
0.06,0.2,3,true,20,19.000000,true,651,0.225000,true,12400,7.266667,true,209.3459930419922,0.048427,true,0.882099986076355,0.071474,true,509,27.277778,true,218,5.228571,true,389,37.900000,,4
0.06,0.3,1,false,0,-1.000000,true,698,0.341509,true,12039,7.026000,true,207.73809814453125,0.055736,true,0.8824999928474426,0.071053,true,519,27.833333,true,224,5.400000,true,90,44.000000,14567,4
0.06,0.3,2,true,20,19.000000,true,7784,0.377778,true,10322,5.881333,true,207.0211944580078,0.058995,true,0.8805999755859375,0.073053,true,543,29.166667,true,249,6.114286,true,67,32.500000,,3
0.06,0.3,3,true,21,20.000000,true,643,0.252326,true,12200,7.133333,true,208.7115936279297,0.051311,true,0.050999999046325684,0.020000,true,480,25.666667,true,212,5.057143,true,85,41.500000,,4
0.06,0.4,1,true,7,6.000000,true,680,0.403509,true,13637,8.091333,true,210.4759979248047,0.043291,true,0.8816999793052673,0.071895,true,545,29.277778,true,251,6.171429,true,90,44.000000,,4
0.06,0.4,2,true,20,19.000000,true,136,0.320000,true,12087,7.058000,true,210.6490020751953,0.042505,true,0.8823999762535095,0.071158,true,496,26.555556,true,242,5.914286,true,382,37.200000,,5
0.06,0.4,3,true,21,20.000000,true,646,0.248837,true,12880,7.586667,true,213.43870544433594,0.029824,true,0.8837000131607056,0.069789,true,512,27.444444,true,168,3.800000,true,430,42.000000,,5
0.08,0.2,1,true,22,21.000000,true,686,0.340385,true,13751,8.167333,true,208.17239379882813,0.053762,true,0.8816999793052673,0.071895,true,545,29.277778,true,257,6.342857,true,79,38.500000,,4
0.08,0.2,2,true,19,18.000000,true,658,0.348515,true,14351,8.567333,true,205.17160034179688,0.067402,true,0.8776999711990356,0.076105,true,532,28.555556,true,228,5.514286,true,65,31.500000,,7
0.08,0.2,3,true,21,20.000000,true,647,0.296739,true,13546,8.030667,true,208.80450439453125,0.050889,true,0.8787000179290771,0.075053,true,513,27.500000,true,233,5.657143,true,68,33.000000,,6
0.08,0.3,1,true,22,21.000000,true,7670,0.370279,true,12606,7.404000,true,204.827392578125,0.068966,true,0.8777999877929688,0.076000,true,548,29.444444,true,265,6.571429,true,353,34.300000,,4
0.08,0.3,2,true,20,19.000000,true,652,0.423009,true,14440,8.626667,true,201.87030029296875,0.082408,true,0.8772000074386597,0.076632,true,547,29.388889,true,241,5.885714,true,64,31.000000,,7
0.08,0.3,3,true,21,20.000000,true,644,0.336082,true,14634,8.756000,true,205.70889282226563,0.064960,true,0.8779000043869019,0.075895,true,486,26.000000,true,220,5.285714,true,77,37.500000,,6
0.08,0.4,1,true,8,7.000000,true,686,0.327451,true,13583,8.055333,true,205.85450744628906,0.064298,true,0.878600001335144,0.075158,true,576,31.000000,true,253,6.228571,true,73,6.300000,,5
0.08,0.4,2,true,20,19.000000,true,666,0.327273,true,13739,8.159333,true,206.3896026611328,0.061865,true,0.8787000179290771,0.075053,true,573,30.833333,true,215,5.142857,true,129,11.900000,,4
0.08,0.4,3,true,15,14.000000,true,643,0.343878,true,13740,8.160000,true,209.69859313964844,0.046825,true,0.8777999877929688,0.076000,true,539,28.944444,true,205,4.857143,true,81,7.100000,,5
0.10,0.2,1,false,0,-1.000000,true,688,0.312000,true,14532,8.688000,true,205.4355926513672,0.066202,true,0.8752999901771545,0.078632,true,599,32.277778,true,284,7.114286,true,72,35.000000,15315,5
0.10,0.2,2,true,20,19.000000,true,665,0.389908,true,14956,8.970667,true,198.24380493164063,0.098892,true,0.8741000294685364,0.079895,true,545,29.277778,true,263,6.514286,true,76,37.000000,,6
0.10,0.2,3,true,21,20.000000,true,636,0.233735,true,10835,6.223333,true,209.49139404296875,0.047766,true,0.8788999915122986,0.074842,true,521,27.944444,true,238,5.800000,true,169,15.900000,,5
0.10,0.3,1,true,22,21.000000,true,675,0.304124,true,14427,8.618000,true,204.9315948486328,0.068493,true,0.8769999742507935,0.076842,true,605,32.611111,true,277,6.914286,true,102,9.200000,,6
0.10,0.3,2,true,20,19.000000,true,142,0.290000,true,12507,7.338000,true,204.7657012939453,0.069247,true,0.8751000165939331,0.078842,true,543,29.166667,true,226,5.457143,true,51,24.500000,,6
0.10,0.3,3,true,21,20.000000,true,637,0.259302,true,13988,8.325333,true,200.85549926757813,0.087020,true,0.878000020980835,0.075789,true,578,31.111111,true,227,5.485714,true,128,11.800000,,4
0.10,0.4,1,true,21,20.000000,true,679,0.340777,true,13541,8.027333,true,207.0738067626953,0.058755,true,0.8773000240325928,0.076526,true,552,29.666667,true,258,6.371429,true,51,4.100000,,5
0.10,0.4,2,true,20,19.000000,true,679,0.327723,true,15406,9.270667,true,209.84739685058594,0.046148,true,0.8743000030517578,0.079684,true,534,28.666667,true,190,4.428571,true,87,42.500000,,8
0.10,0.4,3,false,0,-1.000000,true,654,0.212048,true,14455,8.636667,true,208.50509643554688,0.052250,true,0.876800000667572,0.077053,true,421,22.388889,true,170,3.857143,true,153,14.300000,12178,6
