column                     min         max        mean
grazers               293.0000   3477.0000   1385.9495
hunters                20.0000     62.0000     44.5610
trees                  12.0000    539.0000    303.5041
grass_mean              0.1000      0.8837      0.5923
shrub_mean              0.0177      0.6663      0.4760
moisture_mean          60.4757    255.0000    210.4608
fertility_mean        104.5010    202.9085    146.6014
detritus_total          0.0000 210915.2812 127966.2279
temperature            -4.4421     26.9143     10.8787
hunter_immigrants       0.0000      0.0000      0.0000
first extinction: none
