grazer.energy_cost,seed,no_extinction_pass,no_extinction_value,no_extinction_margin,max_10x_pass,max_10x_value,max_10x_margin,grazer_cycle_pass,grazer_cycle_value,grazer_cycle_margin,fertility_band_pass,fertility_band_value,fertility_band_margin,grass_band_pass,grass_band_value,grass_band_margin,tree_growth_pass,tree_growth_value,tree_growth_margin,mature_trees_10k_pass,mature_trees_10k_value,mature_trees_10k_margin,animals_10k_pass,animals_10k_value,animals_10k_margin,first_extinction_tick,grazer_peaks
0.04,1,true,1,0.000000,true,8480,0.245552,true,12958,7.638667,true,208.65480041503906,0.051569,true,0.8855000138282776,0.067895,true,522,28.000000,true,218,5.228571,true,84,41.000000,,5
0.04,2,true,20,19.000000,true,129,0.355000,true,13419,7.946000,true,208.08560180664063,0.054156,true,0.8859000205993652,0.067474,true,542,29.111111,true,242,5.914286,true,63,30.500000,,6
0.04,3,true,21,20.000000,true,637,0.315054,true,13310,7.873333,true,213.96560668945313,0.027429,true,0.8859000205993652,0.067474,true,544,29.222222,true,282,7.057143,true,75,36.500000,,5
0.06,1,true,21,20.000000,true,670,0.309278,true,12435,7.290000,true,204.31080627441406,0.071315,true,0.883899986743927,0.069579,true,558,30.000000,true,246,6.028571,true,71,34.500000,,6
0.06,2,true,20,19.000000,true,665,0.366667,true,12839,7.559333,true,200.6802978515625,0.087817,true,0.8805999755859375,0.073053,true,537,28.833333,true,265,6.571429,true,72,35.000000,,5
0.06,3,true,20,19.000000,true,651,0.225000,true,12400,7.266667,true,209.3459930419922,0.048427,true,0.882099986076355,0.071474,true,509,27.277778,true,218,5.228571,true,389,37.900000,,4
0.08,1,true,22,21.000000,true,686,0.340385,true,13751,8.167333,true,208.17239379882813,0.053762,true,0.8816999793052673,0.071895,true,545,29.277778,true,257,6.342857,true,79,38.500000,,4
0.08,2,true,19,18.000000,true,658,0.348515,true,14351,8.567333,true,205.17160034179688,0.067402,true,0.8776999711990356,0.076105,true,532,28.555556,true,228,5.514286,true,65,31.500000,,7
0.08,3,true,21,20.000000,true,647,0.296739,true,13546,8.030667,true,208.80450439453125,0.050889,true,0.8787000179290771,0.075053,true,513,27.500000,true,233,5.657143,true,68,33.000000,,6
0.10,1,false,0,-1.000000,true,688,0.312000,true,14532,8.688000,true,205.4355926513672,0.066202,true,0.8752999901771545,0.078632,true,599,32.277778,true,284,7.114286,true,72,35.000000,15315,5
0.10,2,true,20,19.000000,true,665,0.389908,true,14956,8.970667,true,198.24380493164063,0.098892,true,0.8741000294685364,0.079895,true,545,29.277778,true,263,6.514286,true,76,37.000000,,6
0.10,3,true,21,20.000000,true,636,0.233735,true,10835,6.223333,true,209.49139404296875,0.047766,true,0.8788999915122986,0.074842,true,521,27.944444,true,238,5.800000,true,169,15.900000,,5
0.12,1,true,21,20.000000,true,667,0.346078,true,15451,9.300667,true,204.18170166015625,0.071901,true,0.8715999722480774,0.082526,true,596,32.111111,true,285,7.142857,true,79,38.500000,,6
0.12,2,true,20,19.000000,true,658,0.307368,true,15718,9.478667,true,203.87120056152344,0.073313,true,0.8730000257492065,0.081053,true,576,31.000000,true,222,5.342857,true,64,31.000000,,7
0.12,3,true,4,3.000000,true,653,0.305319,true,14895,8.930000,true,208.46229553222656,0.052444,true,0.8773000240325928,0.076526,true,505,27.055556,true,145,3.142857,true,85,41.500000,,6
0.14,1,true,16,15.000000,true,671,0.293684,true,14232,8.488000,true,202.01339721679688,0.081757,true,0.8716999888420105,0.082421,true,561,30.166667,true,249,6.114286,true,174,16.400000,,8
0.14,2,true,19,18.000000,true,682,0.318000,true,14914,8.942667,true,203.36160278320313,0.075629,true,0.8725000023841858,0.081579,true,538,28.888889,true,195,4.571429,true,54,26.000000,,9
0.14,3,false,0,-1.000000,true,637,0.329474,true,15218,9.145333,true,207.3892059326172,0.057322,true,0.8666999936103821,0.087684,true,486,26.000000,true,205,4.857143,true,71,34.500000,16742,7
0.16,1,true,22,21.000000,true,670,0.361905,true,14795,8.863333,true,204.95260620117188,0.068397,true,0.8726999759674072,0.081368,true,587,31.611111,true,248,6.085714,true,133,12.300000,,7
0.16,2,true,16,15.000000,true,657,0.322680,true,15725,9.483333,true,203.6750030517578,0.074205,true,0.8751000165939331,0.078842,true,551,29.611111,true,240,5.857143,true,32,15.000000,,9
0.16,3,true,5,4.000000,true,646,0.230952,true,16510,10.006667,true,208.17550659179688,0.053748,true,0.8847000002861023,0.068737,true,478,25.555556,true,176,4.028571,true,126,11.600000,,7
