hunter.kill_prob,seed,no_extinction_pass,no_extinction_value,no_extinction_margin,max_10x_pass,max_10x_value,max_10x_margin,grazer_cycle_pass,grazer_cycle_value,grazer_cycle_margin,fertility_band_pass,fertility_band_value,fertility_band_margin,grass_band_pass,grass_band_value,grass_band_margin,tree_growth_pass,tree_growth_value,tree_growth_margin,mature_trees_10k_pass,mature_trees_10k_value,mature_trees_10k_margin,animals_10k_pass,animals_10k_value,animals_10k_margin,first_extinction_tick,grazer_peaks
0.1,1,false,0,-1.000000,true,673,0.376852,true,11717,6.811333,true,210.57659912109375,0.042834,true,0.883400022983551,0.070105,true,597,32.166667,true,249,6.114286,true,11,4.500000,14235,6
0.1,2,false,0,-1.000000,true,660,0.266667,true,13805,8.203333,true,211.10060119628906,0.040452,true,0.879800021648407,0.073895,true,538,28.888889,true,240,5.857143,false,0,-1.000000,9272,8
0.1,3,false,0,-1.000000,true,645,0.241176,true,14522,8.681333,true,207.610107421875,0.056318,true,0.8823999762535095,0.071158,true,526,28.222222,true,187,4.342857,false,1,-0.500000,13325,7
0.2,1,true,22,21.000000,true,686,0.340385,true,13751,8.167333,true,208.17239379882813,0.053762,true,0.8816999793052673,0.071895,true,545,29.277778,true,257,6.342857,true,79,38.500000,,4
0.2,2,true,19,18.000000,true,658,0.348515,true,14351,8.567333,true,205.17160034179688,0.067402,true,0.8776999711990356,0.076105,true,532,28.555556,true,228,5.514286,true,65,31.500000,,7
0.2,3,true,21,20.000000,true,647,0.296739,true,13546,8.030667,true,208.80450439453125,0.050889,true,0.8787000179290771,0.075053,true,513,27.500000,true,233,5.657143,true,68,33.000000,,6
0.3,1,true,22,21.000000,true,7670,0.370279,true,12606,7.404000,true,204.827392578125,0.068966,true,0.8777999877929688,0.076000,true,548,29.444444,true,265,6.571429,true,353,34.300000,,4
0.3,2,true,20,19.000000,true,652,0.423009,true,14440,8.626667,true,201.87030029296875,0.082408,true,0.8772000074386597,0.076632,true,547,29.388889,true,241,5.885714,true,64,31.000000,,7
0.3,3,true,21,20.000000,true,644,0.336082,true,14634,8.756000,true,205.70889282226563,0.064960,true,0.8779000043869019,0.075895,true,486,26.000000,true,220,5.285714,true,77,37.500000,,6
0.4,1,true,8,7.000000,true,686,0.327451,true,13583,8.055333,true,205.85450744628906,0.064298,true,0.878600001335144,0.075158,true,576,31.000000,true,253,6.228571,true,73,6.300000,,5
0.4,2,true,20,19.000000,true,666,0.327273,true,13739,8.159333,true,206.3896026611328,0.061865,true,0.8787000179290771,0.075053,true,573,30.833333,true,215,5.142857,true,129,11.900000,,4
0.4,3,true,15,14.000000,true,643,0.343878,true,13740,8.160000,true,209.69859313964844,0.046825,true,0.8777999877929688,0.076000,true,539,28.944444,true,205,4.857143,true,81,7.100000,,5
0.5,1,true,5,4.000000,true,682,0.282105,true,13697,8.131333,true,206.985107421875,0.059159,true,0.8784000277519226,0.075368,true,549,29.500000,true,240,5.857143,true,21,1.100000,,6
0.5,2,false,0,-1.000000,true,661,0.240230,true,5224,2.482667,true,209.48080444335938,0.047815,true,0.8784999847412109,0.075263,true,535,28.722222,true,194,4.542857,true,280,27.000000,12602,2
0.5,3,true,20,19.000000,true,631,0.362626,true,14548,8.698667,true,206.91310119628906,0.059486,true,0.8784000277519226,0.075368,true,545,29.277778,true,245,6.000000,true,99,48.500000,,6
