hunter.refugium_shrub,seed,no_extinction_pass,no_extinction_value,no_extinction_margin,max_10x_pass,max_10x_value,max_10x_margin,grazer_cycle_pass,grazer_cycle_value,grazer_cycle_margin,fertility_band_pass,fertility_band_value,fertility_band_margin,grass_band_pass,grass_band_value,grass_band_margin,tree_growth_pass,tree_growth_value,tree_growth_margin,mature_trees_10k_pass,mature_trees_10k_value,mature_trees_10k_margin,animals_10k_pass,animals_10k_value,animals_10k_margin,first_extinction_tick,grazer_peaks
0.2,1,false,0,-1.000000,true,671,0.390000,true,13923,8.282000,true,204.964599609375,0.068343,true,0.8783000111579895,0.075474,true,575,30.944444,true,284,7.114286,true,10,4.000000,10059,7
0.2,2,false,0,-1.000000,true,651,0.361765,true,13528,8.018667,true,207.78900146484375,0.055505,true,0.8766999840736389,0.077158,true,579,31.166667,true,249,6.114286,false,0,-1.000000,9790,7
0.2,3,false,0,-1.000000,true,649,0.302151,true,14979,8.986000,true,203.94639587402344,0.072971,true,0.8802000284194946,0.073474,true,526,28.222222,true,218,5.228571,true,8,3.000000,10336,7
0.3,1,false,0,-1.000000,true,681,0.375229,true,14294,8.529333,true,209.00950622558594,0.049957,true,0.8808000087738037,0.072842,true,567,30.500000,true,261,6.457143,true,25,11.500000,13316,9
0.3,2,false,0,-1.000000,true,673,0.352885,true,13458,7.972000,true,208.1602020263672,0.053817,true,0.8781999945640564,0.075579,true,549,29.500000,true,201,4.742857,false,0,-1.000000,9568,6
0.3,3,false,0,-1.000000,true,7532,0.338137,true,13723,8.148667,true,205.6304931640625,0.065316,true,0.880299985408783,0.073368,true,533,28.611111,true,205,4.857143,true,6,2.000000,10662,6
0.4,1,false,0,-1.000000,true,6046,0.325975,true,14446,8.630667,true,211.00059509277344,0.040906,true,0.885699987411499,0.067684,true,611,32.944444,true,268,6.657143,true,47,22.500000,10690,9
0.4,2,false,0,-1.000000,true,662,0.344554,true,14787,8.858000,true,205.5832977294922,0.065530,true,0.8773000240325928,0.076526,true,538,28.888889,true,210,5.000000,false,0,-1.000000,9953,9
0.4,3,false,0,-1.000000,true,646,0.334021,true,13827,8.218000,true,211.6345977783203,0.038025,true,0.8787999749183655,0.074947,true,492,26.333333,true,221,5.314286,true,10,4.000000,12745,8
0.5,1,false,0,-1.000000,true,678,0.315152,true,13571,8.047333,true,206.43089294433594,0.061678,true,0.881600022315979,0.072000,true,558,30.000000,true,227,5.485714,true,75,36.500000,17317,5
0.5,2,false,0,-1.000000,true,656,0.344000,true,15212,9.141333,true,203.96389770507813,0.072891,true,0.8787000179290771,0.075053,true,552,29.666667,true,259,6.400000,true,36,17.000000,16067,5
0.5,3,false,0,-1.000000,true,651,0.328866,true,14911,8.940667,true,204.2008056640625,0.071815,true,0.8788999915122986,0.074842,true,516,27.666667,true,162,3.628571,true,24,11.000000,14272,8
0.6,1,true,3,2.000000,true,687,0.339423,true,13939,8.292667,true,206.08389282226563,0.063255,true,0.8815000057220459,0.072105,true,552,29.666667,true,231,5.600000,true,82,40.000000,,6
0.6,2,true,20,19.000000,true,662,0.344554,true,13764,8.176000,true,204.6638946533203,0.069710,true,0.8776999711990356,0.076105,true,547,29.388889,true,244,5.971429,true,78,38.000000,,7
0.6,3,true,21,20.000000,true,642,0.302174,true,13355,7.903333,true,208.2012939453125,0.053630,true,0.8787000179290771,0.075053,true,478,25.555556,true,180,4.142857,true,88,43.000000,,6
0.7,1,false,0,-1.000000,true,678,0.348077,false,0,-1.000000,true,205.54750061035156,0.065693,true,0.8815000057220459,0.072105,true,566,30.444444,true,255,6.285714,false,0,-1.000000,9577,1
0.7,2,false,0,-1.000000,true,660,0.346535,true,1874,0.249333,true,207.2509002685547,0.057950,true,0.8776999711990356,0.076105,true,558,30.000000,true,244,5.971429,true,162,15.200000,10999,2
0.7,3,false,0,-1.000000,true,632,0.313043,false,1021,-0.319333,true,209.4803009033203,0.047817,true,0.8787000179290771,0.075053,true,543,29.166667,true,217,5.200000,false,4,-0.600000,10041,2
0.8,1,false,0,-1.000000,true,681,0.345192,false,0,-1.000000,true,202.30360412597656,0.080438,true,0.8815000057220459,0.072105,true,579,31.166667,true,260,6.428571,true,28,1.800000,10268,1
0.8,2,false,0,-1.000000,true,668,0.338614,true,4787,2.191333,true,207.718994140625,0.055823,true,0.8776999711990356,0.076105,true,536,28.777778,true,191,4.457143,true,300,29.000000,11270,2
0.8,3,false,0,-1.000000,true,656,0.286957,false,0,-1.000000,true,208.49400329589844,0.052300,true,0.8787000179290771,0.075053,true,446,23.777778,true,158,3.514286,false,0,-1.000000,9520,1
