season.amplitude,seed,no_extinction_pass,no_extinction_value,no_extinction_margin,max_10x_pass,max_10x_value,max_10x_margin,grazer_cycle_pass,grazer_cycle_value,grazer_cycle_margin,fertility_band_pass,fertility_band_value,fertility_band_margin,grass_band_pass,grass_band_value,grass_band_margin,tree_growth_pass,tree_growth_value,tree_growth_margin,mature_trees_10k_pass,mature_trees_10k_value,mature_trees_10k_margin,animals_10k_pass,animals_10k_value,animals_10k_margin,first_extinction_tick,grazer_peaks
0,1,false,0,-1.000000,true,715,0.312500,true,13612,8.074667,false,222.16749572753906,-0.009852,false,0.04479999840259552,-0.104000,true,711,38.500000,true,527,14.057143,true,120,11.000000,18818,5
0,2,true,2,1.000000,true,696,0.310891,true,14280,8.520000,false,224.07080078125,-0.018504,false,0.04910000041127205,-0.018000,true,696,37.666667,true,527,14.057143,true,54,26.000000,,6
0,3,false,0,-1.000000,true,686,0.254348,true,13040,7.693333,false,226.3623046875,-0.028920,true,0.8787000179290771,0.075053,true,680,36.777778,true,488,12.942857,true,63,30.500000,14458,5
3,1,true,6,5.000000,true,711,0.316346,true,13183,7.788667,true,219.14979553222656,0.003865,true,0.8816999793052673,0.071895,true,688,37.222222,true,540,14.428571,true,76,37.000000,,4
3,2,true,5,4.000000,true,693,0.313861,true,13854,8.236000,false,222.26829528808594,-0.010310,false,0.023499999195337296,-0.530000,true,688,37.222222,true,527,14.057143,true,57,27.500000,,7
3,3,true,21,20.000000,true,665,0.277174,true,15059,9.039333,false,220.4615020751953,-0.002098,false,0.046300001442432404,-0.074000,true,662,35.777778,true,482,12.771429,true,142,13.200000,,5
6,1,true,22,21.000000,true,709,0.318269,true,13844,8.229333,true,219.97850036621094,0.000098,false,0.04280000180006027,-0.144000,true,703,38.055556,true,516,13.742857,true,276,26.600000,,5
6,2,true,8,7.000000,true,688,0.318812,true,13820,8.213333,true,219.3614044189453,0.002903,true,0.8776999711990356,0.076105,true,686,37.111111,true,501,13.314286,true,80,39.000000,,7
6,3,false,0,-1.000000,true,674,0.267391,true,8409,4.606000,true,218.09320068359375,0.008667,true,0.8787000179290771,0.075053,true,662,35.777778,true,478,12.657143,true,220,21.000000,16305,4
9,1,true,1,0.000000,true,696,0.330769,true,13717,8.144667,true,212.539306640625,0.033912,true,0.050599999725818634,0.012000,true,687,37.166667,true,493,13.085714,true,66,5.600000,,4
9,2,false,0,-1.000000,true,695,0.311881,true,13762,8.174667,true,216.1829071044922,0.017350,true,0.8776999711990356,0.076105,true,676,36.555556,true,474,12.542857,true,52,4.200000,12567,5
9,3,true,19,18.000000,true,673,0.268478,true,14413,8.608667,true,212.28660583496094,0.035061,false,0.04969999939203262,-0.006000,true,645,34.833333,true,460,12.142857,true,72,35.000000,,6
12,1,true,22,21.000000,true,686,0.340385,true,13751,8.167333,true,208.17239379882813,0.053762,true,0.8816999793052673,0.071895,true,545,29.277778,true,257,6.342857,true,79,38.500000,,4
12,2,true,19,18.000000,true,658,0.348515,true,14351,8.567333,true,205.17160034179688,0.067402,true,0.8776999711990356,0.076105,true,532,28.555556,true,228,5.514286,true,65,31.500000,,7
12,3,true,21,20.000000,true,647,0.296739,true,13546,8.030667,true,208.80450439453125,0.050889,true,0.8787000179290771,0.075053,true,513,27.500000,true,233,5.657143,true,68,33.000000,,6
