season.amplitude,seed,no_extinction_pass,no_extinction_value,no_extinction_margin,max_10x_pass,max_10x_value,max_10x_margin,grazer_cycle_pass,grazer_cycle_value,grazer_cycle_margin,fertility_band_pass,fertility_band_value,fertility_band_margin,grass_band_pass,grass_band_value,grass_band_margin,tree_growth_pass,tree_growth_value,tree_growth_margin,mature_trees_10k_pass,mature_trees_10k_value,mature_trees_10k_margin,animals_10k_pass,animals_10k_value,animals_10k_margin,first_extinction_tick,grazer_peaks
0,1,false,0,-1.000000,true,715,0.312500,true,13612,8.074667,false,222.6085968017578,-0.011857,false,0.04479999840259552,-0.104000,true,711,38.500000,true,527,14.057143,true,120,11.000000,18818,5
0,2,true,2,1.000000,true,696,0.310891,true,14280,8.520000,false,224.55599975585938,-0.020709,false,0.04910000041127205,-0.018000,true,696,37.666667,true,527,14.057143,true,54,26.000000,,6
0,3,false,0,-1.000000,true,684,0.256522,true,14957,8.971333,false,224.80340576171875,-0.021834,false,0.035999998450279236,-0.280000,true,659,35.611111,true,476,12.600000,true,75,36.500000,16878,6
3,1,true,22,21.000000,true,719,0.308654,true,13447,7.964667,false,221.29849243164063,-0.005902,true,0.050200000405311584,0.004000,true,717,38.833333,true,530,14.142857,true,181,17.100000,,6
3,2,true,2,1.000000,true,696,0.310891,true,14280,8.520000,false,223.14559936523438,-0.014298,false,0.04910000041127205,-0.018000,true,696,37.666667,true,527,14.057143,true,54,26.000000,,6
3,3,true,2,1.000000,true,665,0.277174,true,14500,8.666667,false,221.9427032470703,-0.008830,true,0.8787000179290771,0.075053,true,656,35.444444,true,482,12.771429,true,142,13.200000,,6
6,1,true,22,21.000000,true,724,0.303846,true,14250,8.500000,false,221.935302734375,-0.008797,false,0.03240000084042549,-0.352000,true,721,39.055556,true,539,14.400000,true,293,28.300000,,6
6,2,true,11,10.000000,true,689,0.317822,true,14052,8.368000,false,220.939697265625,-0.004271,true,0.8776999711990356,0.076105,true,666,36.000000,true,503,13.371429,true,80,39.000000,,5
6,3,false,0,-1.000000,true,679,0.261957,true,8710,4.806667,true,219.58889770507813,0.001869,false,0.04280000180006027,-0.144000,true,669,36.166667,true,480,12.714286,true,83,7.300000,16948,3
9,1,true,1,0.000000,true,718,0.309615,true,14281,8.520667,true,219.9248046875,0.000342,false,0.021900000050663948,-0.562000,true,692,37.444444,true,497,13.200000,true,281,27.100000,,7
9,2,true,3,2.000000,true,703,0.303960,true,13614,8.076000,true,216.37530517578125,0.016476,false,0.03060000017285347,-0.388000,true,682,36.888889,true,495,13.142857,true,60,5.000000,,4
9,3,true,3,2.000000,true,687,0.253261,true,14480,8.653333,true,218.19610595703125,0.008200,false,0.039799999445676804,-0.204000,true,656,35.444444,true,494,13.114286,true,83,40.500000,,7
12,1,true,2,1.000000,true,703,0.324038,true,12978,7.652000,true,213.214599609375,0.030843,false,0.022199999541044235,-0.556000,true,678,36.666667,true,518,13.800000,true,84,7.400000,,4
12,2,false,0,-1.000000,true,683,0.323762,true,13138,7.758667,true,216.1717987060547,0.017401,false,0.01850000023841858,-0.630000,true,640,34.555556,true,522,13.914286,true,18,8.000000,18273,5
12,3,true,21,20.000000,true,666,0.276087,true,13193,7.795333,true,212.2299041748047,0.035319,false,0.026499999687075615,-0.470000,true,621,33.500000,true,501,13.314286,true,80,39.000000,,4
