hunter.refugium_k,seed,no_extinction_pass,no_extinction_value,no_extinction_margin,max_10x_pass,max_10x_value,max_10x_margin,grazer_cycle_pass,grazer_cycle_value,grazer_cycle_margin,fertility_band_pass,fertility_band_value,fertility_band_margin,grass_band_pass,grass_band_value,grass_band_margin,tree_growth_pass,tree_growth_value,tree_growth_margin,mature_trees_10k_pass,mature_trees_10k_value,mature_trees_10k_margin,animals_10k_pass,animals_10k_value,animals_10k_margin,first_extinction_tick,first_extinction_species,first_extinction_dominant_cause,grazer_peaks,hunter_extinction_tick,hunter_immigrants
0.5,1,true,29,28.000000,true,3792,0.756455,true,14401,8.600667,true,199.02020263671875,0.095363,true,0.8715000152587891,0.082632,true,425,22.611111,true,137,2.914286,true,43,20.500000,,,,9,,0
0.5,2,true,26,25.000000,true,55,0.788462,true,15340,9.226667,true,197.0904998779297,0.104134,true,0.8730000257492065,0.081053,true,317,16.611111,true,108,2.085714,true,44,21.000000,,,,13,,0
0.5,3,true,24,23.000000,true,48,0.800000,true,15492,9.328000,true,199.79519653320313,0.091840,true,0.8709999918937683,0.083158,true,345,18.166667,true,94,1.685714,true,43,20.500000,,,,11,,0
1.0,1,true,29,28.000000,true,3746,0.774473,true,14827,8.884667,true,202.82679748535156,0.078060,true,0.8711000084877014,0.083053,true,272,14.111111,true,102,1.914286,true,43,20.500000,,,,8,,0
1.0,2,true,26,25.000000,true,55,0.788462,true,15213,9.142000,true,195.43240356445313,0.111671,true,0.8737999796867371,0.080211,true,345,18.166667,true,121,2.457143,true,44,21.000000,,,,11,,0
1.0,3,true,24,23.000000,true,4242,0.741814,true,14628,8.752000,true,196.97120666503906,0.104676,true,0.8702999949455261,0.083895,true,303,15.833333,true,105,2.000000,true,43,20.500000,,,,8,,0
1.5,1,true,29,28.000000,true,60,0.793103,true,15673,9.448667,true,206.9333953857422,0.059394,true,0.8708999752998352,0.083263,true,355,18.722222,true,125,2.571429,true,43,20.500000,,,,7,,0
1.5,2,true,26,25.000000,true,54,0.792308,true,16085,9.723333,true,204.5605926513672,0.070179,true,0.8727999925613403,0.081263,true,389,20.611111,true,114,2.257143,true,44,21.000000,,,,11,,0
1.5,3,true,24,23.000000,true,3527,0.785983,true,16407,9.938000,true,194.7220001220703,0.114900,true,0.8719000220298767,0.082211,true,349,18.388889,true,80,1.285714,true,43,20.500000,,,,9,,0
2.0,1,true,29,28.000000,true,59,0.796552,true,16373,9.915333,true,202.3800048828125,0.080091,true,0.8709999918937683,0.083158,true,338,17.777778,true,125,2.571429,true,43,20.500000,,,,8,,0
2.0,2,true,26,25.000000,true,55,0.788462,true,16327,9.884667,true,199.41220092773438,0.093581,true,0.8744999766349792,0.079474,true,373,19.722222,true,126,2.600000,true,44,21.000000,,,,11,,0
2.0,3,true,24,23.000000,true,3968,0.761108,true,14571,8.714000,true,192.99510192871094,0.122750,true,0.8695999979972839,0.084632,true,304,15.888889,true,86,1.457143,true,43,20.500000,,,,8,,0
2.5,1,true,29,28.000000,true,60,0.793103,true,16674,10.116000,true,202.273193359375,0.080576,true,0.8704000115394592,0.083789,true,344,18.111111,true,105,2.000000,true,41,19.500000,,,,9,,0
2.5,2,true,17,16.000000,true,3621,0.767288,true,15199,9.132667,true,188.8498992919922,0.141591,true,0.8727999925613403,0.081263,true,418,22.222222,true,144,3.114286,true,36,17.000000,,,,9,,0
2.5,3,true,18,17.000000,true,3299,0.800182,true,15445,9.296667,true,192.79800415039063,0.123645,true,0.871999979019165,0.082105,true,410,21.777778,true,102,1.914286,true,39,18.500000,,,,9,,0
3.0,1,true,1,0.000000,true,3530,0.792231,true,16245,9.830000,true,196.17239379882813,0.108307,true,0.8712000250816345,0.082947,true,313,16.388889,true,108,2.085714,true,32,15.000000,,,,11,,0
3.0,2,false,0,-1.000000,true,2607,0.842287,true,16354,9.902667,true,196.96890258789063,0.104687,true,0.8680999875068665,0.086211,true,403,21.388889,true,127,2.628571,true,12,5.000000,18109,hunters,old_age,9,18109,0
3.0,3,false,0,-1.000000,true,3411,0.779366,true,9964,5.642667,true,192.6905059814453,0.124134,true,0.8733999729156494,0.080632,true,365,19.277778,true,107,2.057143,true,23,10.500000,18355,hunters,starved,5,18355,0
3.5,1,false,0,-1.000000,true,56,0.806897,true,16754,10.169333,true,199.2816925048828,0.094174,true,0.8687000274658203,0.085579,true,388,20.555556,true,151,3.314286,true,35,16.500000,16052,hunters,starved,7,16052,0
3.5,2,false,0,-1.000000,true,555,0.850404,true,16513,10.008667,true,205.18359375,0.067347,true,0.8759999871253967,0.077895,true,401,21.277778,true,98,1.800000,true,2,0.000000,13363,hunters,starved,9,13363,0
3.5,3,false,0,-1.000000,true,3630,0.765655,true,14891,8.927333,true,198.5655059814453,0.097430,true,0.873199999332428,0.080842,true,344,18.111111,true,89,1.542857,true,5,1.500000,12246,hunters,starved,9,12246,0
4.0,1,false,0,-1.000000,true,60,0.793103,true,16258,9.838667,true,204.99130249023438,0.068221,true,0.8736000061035156,0.080421,true,347,18.277778,true,109,2.114286,false,1,-0.500000,11289,hunters,starved,8,11289,0
4.0,2,false,0,-1.000000,true,2150,0.856953,true,16372,9.914667,true,206.1894073486328,0.062775,true,0.8744999766349792,0.079474,true,381,20.166667,true,125,2.571429,false,0,-1.000000,6832,hunters,starved,6,6832,0
4.0,3,false,0,-1.000000,true,2647,0.833102,true,14579,8.719333,true,204.1136932373047,0.072210,true,0.8719000220298767,0.082211,true,360,19.000000,true,90,1.571429,false,0,-1.000000,7644,hunters,starved,5,7644,0
