Canopy cover fraction (canopied columns / 4096), mean of seeds 1-3; last column: mean over ticks 15000-20000 per seed

| base_rate | 0 | 2000 | 4000 | 6000 | 8000 | 10000 | 12000 | 14000 | 16000 | 18000 | 20000 | late mean s1 / s2 / s3 |
|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 0 | 0.003 | 0.081 | 0.258 | 0.270 | 0.500 | 0.220 | 0.411 | 0.326 | 0.528 | 0.220 | 0.405 | 0.453 / 0.445 / 0.409 |
| 0.0005 | 0.003 | 0.080 | 0.256 | 0.256 | 0.491 | 0.219 | 0.405 | 0.330 | 0.522 | 0.259 | 0.445 | 0.490 / 0.455 / 0.414 |
| 0.001 | 0.003 | 0.080 | 0.256 | 0.254 | 0.495 | 0.196 | 0.411 | 0.333 | 0.530 | 0.215 | 0.419 | 0.464 / 0.438 / 0.415 |
| 0.0015 | 0.003 | 0.080 | 0.256 | 0.248 | 0.501 | 0.216 | 0.428 | 0.299 | 0.505 | 0.202 | 0.439 | 0.449 / 0.415 / 0.427 |
| 0.002 | 0.003 | 0.080 | 0.256 | 0.248 | 0.501 | 0.202 | 0.415 | 0.304 | 0.516 | 0.209 | 0.390 | 0.464 / 0.402 / 0.398 |
| 0.0025 | 0.003 | 0.081 | 0.259 | 0.263 | 0.491 | 0.209 | 0.421 | 0.241 | 0.463 | 0.228 | 0.446 | 0.440 / 0.405 / 0.410 |
| 0.003 | 0.003 | 0.081 | 0.259 | 0.260 | 0.486 | 0.185 | 0.416 | 0.204 | 0.454 | 0.236 | 0.461 | 0.432 / 0.419 / 0.406 |
| 0.0035 | 0.003 | 0.081 | 0.259 | 0.269 | 0.500 | 0.159 | 0.381 | 0.302 | 0.538 | 0.186 | 0.393 | 0.449 / 0.404 / 0.415 |
| 0.004 | 0.003 | 0.081 | 0.259 | 0.259 | 0.497 | 0.178 | 0.389 | 0.248 | 0.486 | 0.231 | 0.466 | 0.461 / 0.401 / 0.441 |
