fire.base_rate,seed,no_extinction_pass,no_extinction_value,no_extinction_margin,max_10x_pass,max_10x_value,max_10x_margin,grazer_cycle_pass,grazer_cycle_value,grazer_cycle_margin,fertility_band_pass,fertility_band_value,fertility_band_margin,grass_band_pass,grass_band_value,grass_band_margin,tree_growth_pass,tree_growth_value,tree_growth_margin,mature_trees_10k_pass,mature_trees_10k_value,mature_trees_10k_margin,animals_10k_pass,animals_10k_value,animals_10k_margin,first_extinction_tick,first_extinction_species,first_extinction_dominant_cause,grazer_peaks,hunter_extinction_tick,hunter_immigrants
0.0000,1,true,29,28.000000,true,59,0.796552,true,16373,9.915333,true,202.3800048828125,0.080091,true,0.8709999918937683,0.083158,true,338,17.777778,true,125,2.571429,true,43,20.500000,,,,8,,0
0.0000,2,true,26,25.000000,true,55,0.788462,true,16327,9.884667,true,199.41220092773438,0.093581,true,0.8744999766349792,0.079474,true,373,19.722222,true,126,2.600000,true,44,21.000000,,,,11,,0
0.0000,3,true,24,23.000000,true,3968,0.761108,true,14571,8.714000,true,192.99510192871094,0.122750,true,0.8695999979972839,0.084632,true,304,15.888889,true,86,1.457143,true,43,20.500000,,,,8,,0
0.0005,1,true,29,28.000000,true,3274,0.786710,true,15707,9.471333,true,200.0260009765625,0.090791,true,0.8733999729156494,0.080632,true,393,20.833333,true,120,2.428571,true,42,20.000000,,,,8,,0
0.0005,2,true,26,25.000000,true,55,0.788462,true,16664,10.109333,true,201.41329956054688,0.084485,true,0.8741999864578247,0.079789,true,355,18.722222,true,114,2.257143,true,44,21.000000,,,,10,,0
0.0005,3,true,24,23.000000,true,3861,0.768664,true,15786,9.524000,true,191.6533966064453,0.128848,true,0.8712999820709229,0.082842,true,335,17.611111,true,101,1.885714,true,43,20.500000,,,,10,,0
0.0010,1,true,29,28.000000,true,3274,0.786710,true,15707,9.471333,true,200.0554962158203,0.090657,true,0.8733999729156494,0.080632,true,345,18.166667,true,122,2.485714,true,43,20.500000,,,,9,,0
0.0010,2,true,26,25.000000,true,54,0.792308,true,16664,10.109333,true,195.5218048095703,0.111265,true,0.8741999864578247,0.079789,true,299,15.611111,true,83,1.371429,true,42,20.000000,,,,9,,0
0.0010,3,true,24,23.000000,true,3861,0.768664,true,16503,10.002000,true,191.27589416503906,0.130564,true,0.8712999820709229,0.082842,true,375,19.833333,true,89,1.542857,true,43,20.500000,,,,9,,0
0.0015,1,true,29,28.000000,true,3274,0.786710,true,15690,9.460000,true,199.99209594726563,0.090945,true,0.8733999729156494,0.080632,true,393,20.833333,true,113,2.228571,true,43,20.500000,,,,10,,0
0.0015,2,true,26,25.000000,true,55,0.788462,true,16664,10.109333,true,203.2888946533203,0.075960,true,0.8741999864578247,0.079789,true,396,21.000000,true,116,2.314286,true,44,21.000000,,,,13,,0
0.0015,3,true,24,23.000000,true,3691,0.778850,true,16503,10.002000,true,186.51390075683594,0.152210,true,0.8712999820709229,0.082842,true,326,17.111111,true,95,1.714286,true,43,20.500000,,,,10,,0
0.0020,1,true,29,28.000000,true,3274,0.786710,true,14950,8.966667,true,195.6562042236328,0.110654,true,0.8733999729156494,0.080632,true,383,20.277778,true,113,2.228571,true,43,20.500000,,,,11,,0
0.0020,2,true,26,25.000000,true,54,0.792308,true,15927,9.618000,true,199.34530639648438,0.093885,true,0.8741999864578247,0.079789,true,305,15.944444,true,93,1.657143,true,44,21.000000,,,,12,,0
0.0020,3,true,24,23.000000,true,3691,0.778850,true,16503,10.002000,true,186.44549560546875,0.152520,true,0.8712999820709229,0.082842,true,301,15.722222,true,95,1.714286,true,43,20.500000,,,,12,,0
0.0025,1,true,29,28.000000,true,3274,0.786710,true,15707,9.471333,true,202.02340698242188,0.081712,true,0.8733999729156494,0.080632,true,364,19.222222,true,102,1.914286,true,43,20.500000,,,,8,,0
0.0025,2,true,26,25.000000,true,55,0.788462,true,16100,9.733333,true,199.2368927001953,0.094378,true,0.8722000122070313,0.081895,true,382,20.222222,true,124,2.542857,true,44,21.000000,,,,8,,0
0.0025,3,true,24,23.000000,true,48,0.800000,true,15703,9.468667,true,186.35189819335938,0.152946,true,0.868399977684021,0.085895,true,350,18.444444,true,86,1.457143,true,43,20.500000,,,,12,,0
0.0030,1,true,29,28.000000,true,3274,0.786710,true,15707,9.471333,true,199.13580322265625,0.094837,true,0.8733999729156494,0.080632,true,347,18.277778,true,102,1.914286,true,43,20.500000,,,,8,,0
0.0030,2,true,26,25.000000,true,55,0.788462,true,16055,9.703333,true,196.96539306640625,0.104703,true,0.8722000122070313,0.081895,true,393,20.833333,true,89,1.542857,true,44,21.000000,,,,8,,0
0.0030,3,true,24,23.000000,true,3580,0.792944,true,16416,9.944000,true,182.35890197753906,0.171096,true,0.868399977684021,0.085895,true,389,20.611111,true,84,1.400000,true,41,19.500000,,,,9,,0
0.0035,1,true,29,28.000000,true,3274,0.786710,true,14976,8.984000,true,196.00390625,0.109073,true,0.8733999729156494,0.080632,true,376,19.888889,true,111,2.171429,true,42,20.000000,,,,10,,0
0.0035,2,true,26,25.000000,true,55,0.788462,true,16184,9.789333,true,194.14259338378906,0.117534,true,0.8722000122070313,0.081895,true,313,16.388889,true,64,0.828571,true,44,21.000000,,,,10,,0
0.0035,3,true,24,23.000000,true,3580,0.792944,true,16069,9.712667,true,184.57069396972656,0.161042,true,0.868399977684021,0.085895,true,324,17.000000,true,67,0.914286,true,43,20.500000,,,,8,,0
0.0040,1,true,29,28.000000,true,3274,0.786710,true,15394,9.262667,true,190.64649963378906,0.133425,true,0.8733999729156494,0.080632,true,413,21.944444,true,111,2.171429,true,43,20.500000,,,,12,,0
0.0040,2,true,26,25.000000,true,55,0.788462,true,16184,9.789333,true,194.2071075439453,0.117240,true,0.8722000122070313,0.081895,true,331,17.388889,true,88,1.514286,true,44,21.000000,,,,9,,0
0.0040,3,true,24,23.000000,true,3580,0.792944,true,16297,9.864667,true,184.38589477539063,0.161882,true,0.868399977684021,0.085895,true,390,20.666667,true,67,0.914286,true,43,20.500000,,,,9,,0
