fire.spread,seed,no_extinction_pass,no_extinction_value,no_extinction_margin,max_10x_pass,max_10x_value,max_10x_margin,grazer_cycle_pass,grazer_cycle_value,grazer_cycle_margin,fertility_band_pass,fertility_band_value,fertility_band_margin,grass_band_pass,grass_band_value,grass_band_margin,tree_growth_pass,tree_growth_value,tree_growth_margin,mature_trees_10k_pass,mature_trees_10k_value,mature_trees_10k_margin,animals_10k_pass,animals_10k_value,animals_10k_margin,first_extinction_tick,first_extinction_species,first_extinction_dominant_cause,grazer_peaks,hunter_extinction_tick,hunter_immigrants
0.0,1,true,29,28.000000,true,3274,0.786710,true,14474,8.649333,true,197.90269470214844,0.100442,true,0.8733999729156494,0.080632,true,398,21.111111,true,126,2.600000,true,43,20.500000,,,,9,,0
0.0,2,true,26,25.000000,true,3484,0.759059,true,14782,8.854667,true,194.8740997314453,0.114209,true,0.8723999857902527,0.081684,true,419,22.277778,true,116,2.314286,true,42,20.000000,,,,11,,0
0.0,3,true,24,23.000000,true,47,0.804167,true,15894,9.596000,true,192.61019897460938,0.124499,true,0.8711000084877014,0.083053,true,358,18.888889,true,98,1.800000,true,41,19.500000,,,,8,,0
0.1,1,true,29,28.000000,true,3274,0.786710,true,14950,8.966667,true,195.6562042236328,0.110654,true,0.8733999729156494,0.080632,true,383,20.277778,true,113,2.228571,true,43,20.500000,,,,11,,0
0.1,2,true,26,25.000000,true,54,0.792308,true,15927,9.618000,true,199.34530639648438,0.093885,true,0.8741999864578247,0.079789,true,305,15.944444,true,93,1.657143,true,44,21.000000,,,,12,,0
0.1,3,true,24,23.000000,true,3691,0.778850,true,16503,10.002000,true,186.44549560546875,0.152520,true,0.8712999820709229,0.082842,true,301,15.722222,true,95,1.714286,true,43,20.500000,,,,12,,0
0.2,1,true,29,28.000000,true,3274,0.786710,true,15027,9.018000,true,204.5991973876953,0.070004,true,0.8733999729156494,0.080632,true,287,14.944444,true,74,1.114286,true,43,20.500000,,,,9,,0
0.2,2,true,26,25.000000,true,55,0.788462,true,16664,10.109333,true,195.18170166015625,0.112810,true,0.8741999864578247,0.079789,true,250,12.888889,true,53,0.514286,true,44,21.000000,,,,11,,0
0.2,3,true,24,23.000000,true,4117,0.753325,true,15618,9.412000,true,186.77130126953125,0.151040,false,0.04390000179409981,-0.122000,true,337,17.722222,true,137,2.914286,true,42,20.000000,,,,11,,0
0.3,1,true,29,28.000000,true,3274,0.786710,true,15018,9.012000,true,218.19520568847656,0.008204,false,0.045899998396635056,-0.082000,true,302,15.777778,true,39,0.114286,true,43,20.500000,,,,7,,0
0.3,2,true,13,12.000000,true,3468,0.770179,true,16664,10.109333,false,220.15609741210938,-0.000710,true,0.8741999864578247,0.079789,true,234,12.000000,true,109,2.114286,true,44,21.000000,,,,11,,0
0.3,3,true,24,23.000000,true,3776,0.773757,true,15169,9.112667,true,207.31719970703125,0.057649,true,0.05169999971985817,0.034000,true,248,12.777778,true,120,2.428571,true,43,20.500000,,,,9,,0
0.4,1,true,5,4.000000,true,4007,0.738958,true,14883,8.922000,false,240.45970153808594,-0.092999,false,0.02630000002682209,-0.474000,true,184,9.222222,false,3,-0.914286,true,33,15.500000,,,,6,,0
0.4,2,true,6,5.000000,true,4260,0.717694,true,16087,9.724667,false,234.94679260253906,-0.067940,true,0.8741999864578247,0.079789,true,39,1.166667,false,4,-0.885714,true,44,21.000000,,,,8,,0
0.4,3,true,3,2.000000,true,4676,0.737451,true,13425,7.950000,false,236.81700134277344,-0.076441,true,0.869700014591217,0.084526,true,93,4.166667,true,39,0.114286,true,43,20.500000,,,,5,,0
0.5,1,false,0,-1.000000,true,3274,0.786710,true,4739,2.159333,false,254.75160217285156,-0.157962,false,0.01209999993443489,-0.758000,false,0,-1.000000,false,0,-1.000000,false,0,-1.000000,9306,trees,unrecorded,3,9680,0
0.5,2,false,0,-1.000000,true,46,0.823077,true,16086,9.724000,false,249.66969299316406,-0.134862,true,0.8809000253677368,0.072737,false,0,-1.000000,false,18,-0.485714,true,19,8.500000,17681,trees,unrecorded,6,,0
0.5,3,false,0,-1.000000,true,4225,0.762774,true,15023,9.015333,false,252.8249053955078,-0.149204,false,0.01360000018030405,-0.728000,false,0,-1.000000,true,90,1.571429,true,43,20.500000,13511,trees,unrecorded,5,,0
