disease.grazer_rate seed | peaks>4000 qualifying(>=1.5) | ratio min/median/max | answer | hunters@peaks
0.000 s1 | 7 6 | 1.44/1.63/3.52 | YES | 52,25,23,23,22,24
0.000 s2 | 6 3 | 1.33/1.77/2.29 | YES | 33,34,34
0.000 s3 | 2 0 | 1.10/1.27/1.44 | NO | -
0.001 s1 | 8 2 | 1.00/1.27/1.70 | YES | 36,34
0.001 s2 | 8 2 | 1.09/1.15/1.80 | YES | 35,34
0.001 s3 | 10 2 | 1.01/1.19/1.97 | YES | 49,45
0.002 s1 | 10 1 | 1.14/1.21/1.83 | NO | 31
0.002 s2 | 10 1 | 1.00/1.19/1.68 | NO | 32
0.002 s3 | 10 3 | 1.05/1.24/1.92 | YES | 47,35,39
0.003 s1 | 7 2 | 1.04/1.27/3.46 | YES | 28,26
0.003 s2 | 12 0 | 1.07/1.21/1.37 | NO | -
0.003 s3 | 8 2 | 1.00/1.37/1.71 | YES | 42,36
0.004 s1 | 10 1 | 1.00/1.11/3.45 | NO | 30
0.004 s2 | 9 1 | 1.06/1.21/3.07 | NO | 27
0.004 s3 | 0 0 | - | NO | -
0.005 s1 | 8 2 | 1.12/1.26/2.06 | YES | 32,24
0.005 s2 | 8 2 | 1.11/1.31/2.01 | YES | 45,36
0.005 s3 | 1 0 | 1.24/1.24/1.24 | NO | -
0.006 s1 | 8 1 | 1.11/1.26/1.84 | NO | 30
0.006 s2 | 10 3 | 1.00/1.25/2.44 | YES | 29,32,25
0.006 s3 | 1 0 | 1.01/1.01/1.01 | NO | -
0.007 s1 | 11 2 | 1.03/1.26/1.65 | YES | 44,26
0.007 s2 | 12 0 | 1.11/1.21/1.38 | NO | -
0.007 s3 | 10 2 | 1.06/1.21/1.88 | YES | 38,34
0.008 s1 | 8 2 | 1.04/1.21/3.56 | YES | 25,27
0.008 s2 | 13 2 | 1.00/1.23/1.73 | YES | 39,36
0.008 s3 | 1 0 | 1.11/1.11/1.11 | NO | -
0.009 s1 | 10 0 | 1.17/1.33/1.47 | NO | -
0.009 s2 | 11 2 | 1.00/1.32/1.64 | YES | 25,28
0.009 s3 | 0 0 | - | NO | -
0.010 s1 | 10 2 | 1.08/1.38/1.67 | YES | 43,27
0.010 s2 | 10 3 | 1.07/1.23/2.02 | YES | 38,33,31
0.010 s3 | 7 2 | 1.05/1.35/1.73 | YES | 42,45
