disease.grazer_rate,seed,no_extinction_pass,no_extinction_value,no_extinction_margin,max_10x_pass,max_10x_value,max_10x_margin,grazer_cycle_pass,grazer_cycle_value,grazer_cycle_margin,fertility_band_pass,fertility_band_value,fertility_band_margin,grass_band_pass,grass_band_value,grass_band_margin,tree_growth_pass,tree_growth_value,tree_growth_margin,mature_trees_10k_pass,mature_trees_10k_value,mature_trees_10k_margin,animals_10k_pass,animals_10k_value,animals_10k_margin,first_extinction_tick,first_extinction_species,first_extinction_dominant_cause,grazer_peaks,hunter_extinction_tick,hunter_immigrants
0.000,1,true,19,18.000000,true,58,0.824242,true,16520,10.013333,true,192.48109436035156,0.125086,true,0.873199999332428,0.080842,true,319,16.722222,true,131,2.742857,true,19,8.500000,,,,8,,0
0.000,2,true,28,27.000000,true,3749,0.804434,true,15736,9.490667,true,184.6116943359375,0.160856,true,0.8654000163078308,0.089053,true,359,18.944444,true,91,1.600000,true,31,14.500000,,,,7,,0
0.000,3,false,0,-1.000000,true,67,0.796970,true,3158,1.105333,true,213.2259979248047,0.030791,true,0.866599977016449,0.087789,true,341,17.944444,true,93,1.657143,true,211,20.100000,11451,grazers,eaten,3,12578,0
0.001,1,true,26,25.000000,true,54,0.831250,true,17722,10.814667,true,210.3271942138672,0.043967,true,0.8823000192642212,0.071263,true,398,21.111111,true,111,2.171429,true,36,17.000000,,,,10,,0
0.001,2,true,26,25.000000,true,55,0.842857,true,16665,10.110000,true,209.21299743652344,0.049032,true,0.8762999773025513,0.077579,true,396,21.000000,true,129,2.685714,true,33,15.500000,,,,9,,0
0.001,3,true,33,32.000000,true,65,0.803030,true,14960,8.973333,true,211.418701171875,0.039006,true,0.8812999725341797,0.072316,true,313,16.388889,true,106,2.028571,true,38,18.000000,,,,10,,0
0.002,1,true,22,21.000000,true,53,0.829032,true,14040,8.360000,true,216.78280639648438,0.014624,true,0.881600022315979,0.072000,true,419,22.277778,true,134,2.828571,true,32,15.000000,,,,10,,0
0.002,2,true,23,22.000000,true,562,0.843454,true,16313,9.875333,true,213.59829711914063,0.029099,true,0.8833000063896179,0.070211,true,396,21.000000,true,127,2.628571,true,31,14.500000,,,,11,,0
0.002,3,true,29,28.000000,true,60,0.812500,true,16915,10.276667,true,218.2935028076172,0.007757,true,0.8837000131607056,0.069789,true,329,17.277778,true,103,1.942857,true,49,23.500000,,,,11,,0
0.003,1,true,24,23.000000,true,587,0.819939,true,14215,8.476667,true,218.9010009765625,0.004995,true,0.8823000192642212,0.071263,true,371,19.611111,true,103,1.942857,true,29,13.500000,,,,7,,0
0.003,2,true,24,23.000000,true,548,0.844318,true,14279,8.519333,false,220.63079833984375,-0.002867,true,0.8823000192642212,0.071263,true,378,20.000000,true,90,1.571429,true,27,12.500000,,,,12,,0
0.003,3,true,28,27.000000,true,64,0.793548,true,16728,10.152000,true,219.3253936767578,0.003066,true,0.8858000040054321,0.067579,true,414,22.000000,true,100,1.857143,true,37,17.500000,,,,10,,0
0.004,1,true,20,19.000000,true,58,0.812903,true,15184,9.122667,true,218.1322021484375,0.008490,true,0.8841000199317932,0.069368,true,325,17.055556,true,109,2.114286,true,32,15.000000,,,,11,,0
0.004,2,true,23,22.000000,true,54,0.845714,true,15703,9.468667,true,216.6802978515625,0.015090,true,0.8848999738693237,0.068526,true,332,17.444444,true,58,0.657143,true,30,14.000000,,,,10,,0
0.004,3,false,0,-1.000000,true,68,0.793939,false,0,-1.000000,false,221.7397003173828,-0.007908,true,0.8831999897956848,0.070316,true,280,14.555556,true,59,0.685714,false,0,-1.000000,7709,grazers,eaten,0,8946,0
0.005,1,true,23,22.000000,true,56,0.819355,true,16815,10.210000,false,222.70989990234375,-0.012318,true,0.885699987411499,0.067684,true,363,19.166667,true,125,2.571429,true,37,17.500000,,,,10,,0
0.005,2,true,27,26.000000,true,537,0.846132,true,17466,10.644000,false,223.20620727539063,-0.014574,true,0.885699987411499,0.067684,true,385,20.388889,true,86,1.457143,true,38,18.000000,,,,10,,0
0.005,3,false,0,-1.000000,true,71,0.784848,false,0,-1.000000,false,224.4196014404297,-0.020089,true,0.883400022983551,0.070105,true,311,16.277778,true,85,1.428571,false,0,-1.000000,7795,grazers,eaten,1,8947,0
0.006,1,true,21,20.000000,true,54,0.836364,true,17692,10.794667,false,220.73959350585938,-0.003362,true,0.8866999745368958,0.066632,true,264,13.666667,true,61,0.742857,true,36,17.000000,,,,10,,0
0.006,2,true,22,21.000000,true,57,0.832353,true,17108,10.405333,true,218.05540466308594,0.008839,true,0.8834999799728394,0.070000,true,294,15.333333,true,89,1.542857,true,28,13.000000,,,,11,,0
0.006,3,false,0,-1.000000,true,66,0.800000,true,1621,0.080667,false,223.05540466308594,-0.013888,true,0.8865000009536743,0.066842,true,369,19.500000,true,98,1.800000,false,0,-1.000000,8934,grazers,eaten,2,10184,0
0.007,1,true,24,23.000000,true,576,0.846400,true,15191,9.127333,true,217.69679260253906,0.010469,true,0.8842999935150146,0.069158,true,367,19.388889,true,121,2.457143,true,26,12.000000,,,,11,,0
0.007,2,true,30,29.000000,true,542,0.850276,true,16952,10.301333,false,222.59620666503906,-0.011801,true,0.8837000131607056,0.069789,true,349,18.388889,true,106,2.028571,true,39,18.500000,,,,13,,0
0.007,3,true,30,29.000000,true,552,0.823642,true,15809,9.539333,true,219.17019653320313,0.003772,true,0.8848999738693237,0.068526,true,318,16.666667,true,84,1.400000,true,40,19.000000,,,,11,,0
0.008,1,true,16,15.000000,true,55,0.828125,true,16519,10.012667,false,220.3153076171875,-0.001433,true,0.885200023651123,0.068211,true,390,20.666667,true,128,2.657143,true,26,12.000000,,,,9,,0
0.008,2,true,23,22.000000,true,60,0.818182,true,16827,10.218000,false,223.768798828125,-0.017131,true,0.8866000175476074,0.066737,true,357,18.833333,true,117,2.342857,true,35,16.500000,,,,14,,0
0.008,3,false,0,-1.000000,true,61,0.815152,false,0,-1.000000,false,224.47689819335938,-0.020350,true,0.8863000273704529,0.067053,true,361,19.055556,true,51,0.457143,false,0,-1.000000,8411,grazers,eaten,1,9487,0
0.009,1,true,25,24.000000,true,52,0.826667,true,14376,8.584000,false,221.44119262695313,-0.006551,true,0.8865000009536743,0.066842,true,310,16.222222,true,115,2.285714,true,31,14.500000,,,,10,,0
0.009,2,true,23,22.000000,true,533,0.850700,true,17156,10.437333,false,224.11050415039063,-0.018684,true,0.8816999793052673,0.071895,true,367,19.388889,true,109,2.114286,true,30,14.000000,,,,13,,0
0.009,3,false,0,-1.000000,true,59,0.821212,false,1001,-0.332667,false,227.52720642089844,-0.034215,true,0.8876000046730042,0.065684,true,288,15.000000,true,90,1.571429,false,0,-1.000000,7958,grazers,eaten,2,9208,0
0.010,1,true,23,22.000000,true,597,0.835537,true,16678,10.118667,false,226.87069702148438,-0.031230,true,0.886900007724762,0.066421,true,410,21.777778,true,129,2.685714,true,26,12.000000,,,,12,,0
0.010,2,true,26,25.000000,true,52,0.837500,true,16108,9.738667,false,220.91859436035156,-0.004175,true,0.8873999714851379,0.065895,true,363,19.166667,true,117,2.342857,true,32,15.000000,,,,11,,0
0.010,3,true,30,29.000000,true,56,0.819355,true,13372,7.914667,true,216.45269775390625,0.016124,true,0.8884000182151794,0.064842,true,327,17.166667,true,96,1.742857,true,46,22.000000,,,,9,,0
