disease.grazer_threshold,seed,no_extinction_pass,no_extinction_value,no_extinction_margin,max_10x_pass,max_10x_value,max_10x_margin,grazer_cycle_pass,grazer_cycle_value,grazer_cycle_margin,fertility_band_pass,fertility_band_value,fertility_band_margin,grass_band_pass,grass_band_value,grass_band_margin,tree_growth_pass,tree_growth_value,tree_growth_margin,mature_trees_10k_pass,mature_trees_10k_value,mature_trees_10k_margin,animals_10k_pass,animals_10k_value,animals_10k_margin,first_extinction_tick,first_extinction_species,first_extinction_dominant_cause,grazer_peaks,hunter_extinction_tick,hunter_immigrants
4,1,true,21,20.000000,true,596,0.827246,true,16022,9.681333,false,226.09120178222656,-0.027687,true,0.8906000256538391,0.062526,true,371,19.611111,true,122,2.485714,true,29,13.500000,,,,10,,0
4,2,false,0,-1.000000,true,51,0.845455,false,0,-1.000000,false,227.4532928466797,-0.033879,true,0.8881000280380249,0.065158,true,403,21.388889,true,126,2.600000,false,0,-1.000000,7866,grazers,eaten,1,8791,0
4,3,false,0,-1.000000,true,62,0.812121,false,0,-1.000000,false,227.697998046875,-0.034991,true,0.8895000219345093,0.063684,true,267,13.833333,true,83,1.371429,false,0,-1.000000,7032,grazers,eaten,1,8258,0
8,1,true,21,20.000000,true,54,0.820000,true,17007,10.338000,false,222.32310485839844,-0.010560,true,0.8809999823570251,0.072632,true,290,15.111111,true,113,2.228571,true,25,11.500000,,,,12,,0
8,2,true,26,25.000000,true,542,0.849861,true,17661,10.774000,true,215.7917938232422,0.019128,true,0.8849999904632568,0.068421,true,361,19.055556,true,85,1.428571,true,32,15.000000,,,,11,,0
8,3,true,32,31.000000,true,63,0.803125,true,17877,10.918000,true,216.73789978027344,0.014828,true,0.8827999830245972,0.070737,true,373,19.722222,true,80,1.285714,true,47,22.500000,,,,8,,0
12,1,true,20,19.000000,true,55,0.838235,true,17315,10.543333,true,217.6717071533203,0.010583,true,0.8828999996185303,0.070632,true,345,18.166667,true,113,2.228571,true,29,13.500000,,,,11,,0
12,2,true,23,22.000000,true,54,0.841176,true,16854,10.236000,true,215.62640380859375,0.019880,true,0.8853999972343445,0.068000,true,353,18.611111,true,126,2.600000,true,25,11.500000,,,,11,,0
12,3,true,32,31.000000,true,62,0.806250,true,16267,9.844667,true,217.7447052001953,0.010251,true,0.882099986076355,0.071474,true,362,19.111111,true,79,1.257143,true,44,21.000000,,,,11,,0
16,1,true,26,25.000000,true,54,0.831250,true,17722,10.814667,true,210.3271942138672,0.043967,true,0.8823000192642212,0.071263,true,398,21.111111,true,111,2.171429,true,36,17.000000,,,,10,,0
16,2,true,26,25.000000,true,55,0.842857,true,16665,10.110000,true,209.21299743652344,0.049032,true,0.8762999773025513,0.077579,true,396,21.000000,true,129,2.685714,true,33,15.500000,,,,9,,0
16,3,true,33,32.000000,true,65,0.803030,true,14960,8.973333,true,211.418701171875,0.039006,true,0.8812999725341797,0.072316,true,313,16.388889,true,106,2.028571,true,38,18.000000,,,,10,,0
20,1,true,25,24.000000,true,587,0.839617,true,17789,10.859333,true,211.30870056152344,0.039506,true,0.8813999891281128,0.072211,true,372,19.666667,true,117,2.342857,true,31,14.500000,,,,14,,0
20,2,true,32,31.000000,true,56,0.835294,true,16912,10.274667,true,208.03460693359375,0.054388,true,0.880299985408783,0.073368,true,400,21.222222,true,110,2.142857,true,38,18.000000,,,,13,,0
20,3,true,33,32.000000,true,61,0.815152,true,17258,10.505333,true,208.37319946289063,0.052849,true,0.8795999884605408,0.074105,true,385,20.388889,true,92,1.628571,true,39,18.500000,,,,14,,0
24,1,true,21,20.000000,true,58,0.824242,true,16599,10.066000,true,211.03179931640625,0.040765,true,0.8812999725341797,0.072316,true,327,17.166667,true,119,2.400000,true,34,16.000000,,,,14,,0
24,2,true,28,27.000000,true,55,0.842857,true,16213,9.808667,true,207.71710205078125,0.055831,true,0.8779000043869019,0.075895,true,417,22.166667,true,129,2.685714,true,37,17.500000,,,,9,,0
24,3,true,31,30.000000,true,65,0.790323,true,16247,9.831333,true,206.98779296875,0.059146,true,0.8783000111579895,0.075474,true,360,19.000000,true,118,2.371429,true,45,21.500000,,,,8,,0
28,1,true,24,23.000000,true,61,0.815152,true,17426,10.617333,true,209.61300659179688,0.047214,true,0.8787999749183655,0.074947,true,321,16.833333,true,130,2.714286,true,34,16.000000,,,,12,,0
28,2,true,27,26.000000,true,58,0.834286,true,16922,10.281333,true,205.3345947265625,0.066661,true,0.8751000165939331,0.078842,true,401,21.277778,true,90,1.571429,true,35,16.500000,,,,11,,0
28,3,true,32,31.000000,true,77,0.759375,true,17432,10.621333,true,210.43299865722656,0.043486,true,0.8774999976158142,0.076316,true,306,16.000000,true,77,1.200000,true,45,21.500000,,,,9,,0
32,1,true,20,19.000000,true,58,0.824242,true,17325,10.550000,true,204.9989013671875,0.068187,true,0.8792999982833862,0.074421,true,352,18.555556,true,91,1.600000,true,30,14.000000,,,,10,,0
32,2,true,26,25.000000,true,54,0.841176,true,17137,10.424667,true,206.9311065673828,0.059404,true,0.8762999773025513,0.077579,true,302,15.777778,true,71,1.028571,true,37,17.500000,,,,12,,0
32,3,true,29,28.000000,true,71,0.755172,true,16201,9.800667,true,210.09629821777344,0.045017,true,0.8759999871253967,0.077895,true,276,14.333333,true,86,1.457143,true,44,21.000000,,,,11,,0
