disease.grazer_rate seed | peaks>4000 qualifying(>=1.5) | ratio min/median/max | answer | hunters@peaks
0.000 s1 | 8 6 | 1.19/1.78/2.47 | YES | 41,39,29,26,19,21
0.000 s2 | 10 4 | 1.00/1.39/2.03 | YES | 33,26,29,25
0.000 s3 | 1 0 | 1.08/1.08/1.08 | NO | -
0.001 s1 | 8 1 | 1.13/1.16/2.39 | NO | 32
0.001 s2 | 12 0 | 1.04/1.17/1.47 | NO | -
0.001 s3 | 8 2 | 1.05/1.14/4.19 | YES | 32,37
0.002 s1 | 5 1 | 1.22/1.37/3.04 | NO | 29
0.002 s2 | 10 2 | 1.10/1.31/1.58 | YES | 30,27
0.002 s3 | 10 4 | 1.09/1.32/1.64 | YES | 43,44,37,30
0.003 s1 | 7 1 | 1.17/1.23/6.59 | NO | 26
0.003 s2 | 11 2 | 1.04/1.17/1.60 | YES | 26,20
0.003 s3 | 0 0 | - | NO | -
0.004 s1 | 10 2 | 1.00/1.28/1.71 | YES | 27,25
0.004 s2 | 12 1 | 1.01/1.19/1.76 | NO | 27
0.004 s3 | 8 2 | 1.03/1.34/2.97 | YES | 40,28
0.005 s1 | 9 1 | 1.05/1.38/3.39 | NO | 21
0.005 s2 | 11 2 | 1.03/1.20/1.91 | YES | 28,28
0.005 s3 | 2 0 | 1.08/1.10/1.12 | NO | -
0.006 s1 | 1 0 | 1.23/1.23/1.23 | NO | -
0.006 s2 | 11 2 | 1.07/1.27/1.80 | YES | 28,22
0.006 s3 | 11 2 | 1.07/1.31/1.93 | YES | 45,35
0.007 s1 | 8 2 | 1.01/1.20/3.65 | YES | 23,20
0.007 s2 | 11 1 | 1.06/1.16/1.83 | NO | 22
0.007 s3 | 11 2 | 1.00/1.19/2.30 | YES | 41,34
0.008 s1 | 8 3 | 1.10/1.25/1.91 | YES | 27,21,18
0.008 s2 | 10 1 | 1.03/1.30/1.66 | NO | 26
0.008 s3 | 8 2 | 1.06/1.31/2.02 | YES | 42,26
0.009 s1 | 1 0 | 1.14/1.14/1.14 | NO | -
0.009 s2 | 9 1 | 1.06/1.16/1.65 | NO | 27
0.009 s3 | 2 0 | 1.10/1.13/1.16 | NO | -
0.010 s1 | 12 1 | 1.07/1.17/2.20 | NO | 26
0.010 s2 | 11 2 | 1.05/1.22/1.84 | YES | 28,26
0.010 s3 | 4 0 | 1.00/1.12/1.28 | NO | -
