disease.grazer_rate,seed,no_extinction_pass,no_extinction_value,no_extinction_margin,max_10x_pass,max_10x_value,max_10x_margin,grazer_cycle_pass,grazer_cycle_value,grazer_cycle_margin,fertility_band_pass,fertility_band_value,fertility_band_margin,grass_band_pass,grass_band_value,grass_band_margin,tree_growth_pass,tree_growth_value,tree_growth_margin,mature_trees_10k_pass,mature_trees_10k_value,mature_trees_10k_margin,animals_10k_pass,animals_10k_value,animals_10k_margin,first_extinction_tick,first_extinction_species,first_extinction_dominant_cause,grazer_peaks,hunter_extinction_tick,hunter_immigrants
0.000,1,true,16,15.000000,true,3331,0.810631,true,16157,9.771333,false,240.70269775390625,-0.094103,true,0.8676999807357788,0.086632,true,615,33.166667,true,439,11.542857,true,24,11.000000,,,,9,,0
0.000,2,true,19,18.000000,true,3238,0.831090,true,16365,9.910000,false,235.23570251464844,-0.069253,true,0.8654000163078308,0.089053,true,584,31.444444,true,420,11.000000,true,26,12.000000,,,,11,,0
0.000,3,false,0,-1.000000,true,70,0.781250,true,4598,2.065333,false,251.51060485839844,-0.143230,true,0.8690999746322632,0.085158,true,571,30.722222,true,397,10.342857,true,141,13.100000,12059,grazers,eaten,2,13133,0
0.001,1,true,15,14.000000,true,57,0.821875,true,13696,8.130667,false,247.33309936523438,-0.124241,true,0.8812999725341797,0.072316,true,601,32.388889,true,426,11.171429,true,29,13.500000,,,,8,,0
0.001,2,true,18,17.000000,true,618,0.853207,true,16343,9.895333,false,248.51840209960938,-0.129629,true,0.8794999718666077,0.074211,true,579,31.166667,true,409,10.685714,true,23,10.500000,,,,13,,0
0.001,3,true,28,27.000000,true,60,0.818182,true,14271,8.514000,false,249.78590393066406,-0.135390,true,0.8812999725341797,0.072316,true,581,31.277778,true,401,10.457143,true,43,20.500000,,,,8,,0
0.002,1,true,13,12.000000,true,55,0.838235,true,12898,7.598667,false,249.856201171875,-0.135710,true,0.883400022983551,0.070105,true,608,32.777778,true,445,11.714286,true,26,12.000000,,,,5,,0
0.002,2,true,18,17.000000,true,56,0.835294,true,16740,10.160000,false,249.96710205078125,-0.136214,true,0.8833000063896179,0.070211,true,614,33.111111,true,393,10.228571,true,28,13.000000,,,,11,,0
0.002,3,true,27,26.000000,true,62,0.812121,true,16711,10.140667,false,249.52499389648438,-0.134205,true,0.8852999806404114,0.068105,true,553,29.722222,true,405,10.571429,true,39,18.500000,,,,11,,0
0.003,1,true,18,17.000000,true,49,0.836667,true,16878,10.252000,false,249.04969787597656,-0.132044,true,0.8816999793052673,0.071895,true,593,31.944444,true,433,11.371429,true,28,13.000000,,,,8,,0
0.003,2,true,19,18.000000,true,53,0.844118,true,15495,9.330000,false,251.30889892578125,-0.142313,true,0.8837000131607056,0.069789,true,592,31.888889,true,401,10.457143,true,27,12.500000,,,,11,,0
0.003,3,false,0,-1.000000,true,65,0.796875,true,1510,0.006667,false,254.25390625,-0.155700,true,0.8845000267028809,0.068947,true,566,30.444444,true,372,9.628571,false,0,-1.000000,8325,grazers,eaten,2,9433,0
0.004,1,true,14,13.000000,true,52,0.832258,true,15480,9.320000,false,250.32839965820313,-0.137856,true,0.8841000199317932,0.069368,true,587,31.611111,true,442,11.628571,true,23,10.500000,,,,11,,0
0.004,2,true,20,19.000000,true,621,0.854225,true,15373,9.248667,false,251.5050048828125,-0.143205,true,0.883899986743927,0.069579,true,597,32.166667,true,403,10.514286,true,24,11.000000,,,,12,,0
0.004,3,true,24,23.000000,true,59,0.821212,true,17518,10.678667,false,252.66409301757813,-0.148473,true,0.8834999799728394,0.070000,true,577,31.055556,true,385,10.000000,true,38,18.000000,,,,9,,0
0.005,1,true,18,17.000000,true,636,0.843735,true,16321,9.880667,false,249.9709930419922,-0.136232,true,0.8881000280380249,0.065158,true,609,32.833333,true,438,11.514286,true,28,13.000000,,,,10,,0
0.005,2,true,18,17.000000,true,52,0.842424,true,17246,10.497333,false,250.67489624023438,-0.139431,true,0.8855000138282776,0.067895,true,576,31.000000,true,393,10.228571,true,28,13.000000,,,,12,,0
0.005,3,false,0,-1.000000,true,65,0.803030,true,2701,0.800667,false,253.914794921875,-0.154158,true,0.8831999897956848,0.070316,true,574,30.888889,true,367,9.485714,false,0,-1.000000,7964,grazers,eaten,3,9214,0
0.006,1,false,0,-1.000000,true,57,0.816129,true,3955,1.636667,false,253.94500732421875,-0.154295,true,0.8859999775886536,0.067368,true,602,32.444444,true,446,11.742857,false,0,-1.000000,8329,grazers,eaten,2,9579,0
0.006,2,true,19,18.000000,true,625,0.857955,true,17811,10.874000,false,252.63909912109375,-0.148360,true,0.8852999806404114,0.068105,true,588,31.666667,true,425,11.142857,true,28,13.000000,,,,12,,0
0.006,3,true,27,26.000000,true,58,0.824242,true,17081,10.387333,false,252.61070251464844,-0.148230,true,0.8865000009536743,0.066842,true,564,30.333333,true,387,10.057143,true,40,19.000000,,,,13,,0
0.007,1,true,16,15.000000,true,633,0.843704,true,17753,10.835333,false,252.13800048828125,-0.146082,true,0.8855999708175659,0.067790,true,603,32.500000,true,444,11.685714,true,23,10.500000,,,,9,,0
0.007,2,true,17,16.000000,true,47,0.848387,true,17340,10.560000,false,251.72349548339844,-0.144198,true,0.8863999843597412,0.066947,true,593,31.944444,true,412,10.771429,true,21,9.500000,,,,12,,0
0.007,3,true,31,30.000000,true,60,0.806452,true,15995,9.663333,false,252.88690185546875,-0.149486,true,0.8852999806404114,0.068105,true,568,30.555556,true,371,9.600000,true,37,17.500000,,,,12,,0
0.008,1,true,17,16.000000,true,642,0.846411,true,16274,9.849333,false,251.56190490722656,-0.143463,true,0.8877999782562256,0.065474,true,605,32.611111,true,460,12.142857,true,27,12.500000,,,,9,,0
0.008,2,true,19,18.000000,true,48,0.850000,true,17034,10.356000,false,252.45880126953125,-0.147540,true,0.8873000144958496,0.066000,true,579,31.166667,true,392,10.200000,true,26,12.000000,,,,11,,0
0.008,3,true,24,23.000000,true,62,0.793333,true,17304,10.536000,false,252.0885009765625,-0.145857,true,0.8853999972343445,0.068000,true,581,31.277778,true,386,10.028571,true,40,19.000000,,,,9,,0
0.009,1,false,0,-1.000000,true,58,0.824242,false,0,-1.000000,false,254.00320434570313,-0.154560,true,0.8863999843597412,0.066947,true,606,32.666667,true,438,11.514286,false,0,-1.000000,8164,grazers,eaten,1,9414,0
0.009,2,true,16,15.000000,true,626,0.848058,true,15479,9.319333,false,252.1654052734375,-0.146206,true,0.8841999769210815,0.069263,true,602,32.444444,true,382,9.914286,true,29,13.500000,,,,9,,0
0.009,3,false,0,-1.000000,true,62,0.812121,true,5297,2.531333,false,254.10150146484375,-0.155007,true,0.8870999813079834,0.066211,true,562,30.222222,true,359,9.257143,false,0,-1.000000,8692,grazers,eaten,3,9942,0
0.010,1,true,16,15.000000,true,50,0.848485,true,17151,10.434000,false,252.5063934326172,-0.147756,true,0.8867999911308289,0.066526,true,604,32.555556,true,436,11.457143,true,30,14.000000,,,,14,,0
0.010,2,true,21,20.000000,true,49,0.836667,true,15451,9.300667,false,253.0489959716797,-0.150223,true,0.8863000273704529,0.067053,true,593,31.944444,true,387,10.057143,true,26,12.000000,,,,12,,0
0.010,3,false,0,-1.000000,true,57,0.816129,true,9036,5.024000,false,254.0937957763672,-0.154972,true,0.8884000182151794,0.064842,true,573,30.833333,true,385,10.000000,true,50,4.000000,12966,grazers,eaten,5,14216,0
