hunter.refractory,seed,no_extinction_pass,no_extinction_value,no_extinction_margin,max_10x_pass,max_10x_value,max_10x_margin,grazer_cycle_pass,grazer_cycle_value,grazer_cycle_margin,fertility_band_pass,fertility_band_value,fertility_band_margin,grass_band_pass,grass_band_value,grass_band_margin,tree_growth_pass,tree_growth_value,tree_growth_margin,mature_trees_10k_pass,mature_trees_10k_value,mature_trees_10k_margin,animals_10k_pass,animals_10k_value,animals_10k_margin,first_extinction_tick,first_extinction_species,first_extinction_dominant_cause,grazer_peaks,hunter_extinction_tick,hunter_immigrants
100,1,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,225.25759887695313,-0.023898,true,0.9004999995231628,0.052105,true,376,19.888889,true,104,1.971429,false,0,-1.000000,649,grazers,eaten,0,1515,0
100,2,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,229.5731964111328,-0.043515,true,0.9031000137329102,0.049368,true,376,19.888889,true,134,2.828571,false,0,-1.000000,519,grazers,eaten,0,1428,0
100,3,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,229.88909912109375,-0.044950,true,0.902899980545044,0.049579,true,319,16.722222,true,109,2.114286,false,0,-1.000000,450,grazers,eaten,0,1441,0
250,1,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,227.06900024414063,-0.032132,true,0.9034000039100647,0.049053,true,397,21.055556,true,114,2.257143,false,0,-1.000000,1031,grazers,eaten,0,2129,0
250,2,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,229.51820373535156,-0.043265,true,0.902899980545044,0.049579,true,413,21.944444,true,144,3.114286,false,0,-1.000000,844,grazers,eaten,0,1872,0
250,3,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,223.4907989501953,-0.015867,true,0.9036999940872192,0.048737,true,368,19.444444,true,84,1.400000,false,0,-1.000000,959,grazers,eaten,0,2011,0
400,1,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,222.33779907226563,-0.010626,true,0.9020000100135803,0.050526,true,306,16.000000,true,104,1.971429,false,0,-1.000000,1483,grazers,eaten,0,2534,0
400,2,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,224.68809509277344,-0.021310,true,0.902999997138977,0.049474,true,322,16.888889,true,90,1.571429,false,0,-1.000000,1494,grazers,eaten,0,2642,0
400,3,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,224.47450256347656,-0.020339,true,0.9032999873161316,0.049158,true,346,18.222222,true,130,2.714286,false,0,-1.000000,1303,grazers,eaten,0,2450,0
550,1,false,0,-1.000000,true,571,0.843132,false,0,-1.000000,false,225.07020568847656,-0.023046,true,0.9003999829292297,0.052211,true,370,19.555556,true,109,2.114286,false,0,-1.000000,2202,grazers,eaten,0,3361,0
550,2,false,0,-1.000000,true,534,0.849153,false,0,-1.000000,false,226.84970092773438,-0.031135,true,0.9003000259399414,0.052316,true,365,19.277778,true,108,2.085714,false,0,-1.000000,2009,grazers,eaten,0,3259,0
550,3,false,0,-1.000000,true,2,0.800000,false,0,-1.000000,false,228.2230987548828,-0.037378,true,0.901199996471405,0.051368,true,335,17.611111,true,97,1.771429,false,0,-1.000000,2028,grazers,eaten,0,3214,0
700,1,false,0,-1.000000,true,595,0.841333,false,0,-1.000000,true,219.885498046875,0.000520,true,0.8963000178337097,0.056526,true,373,19.722222,true,88,1.514286,false,0,-1.000000,2832,grazers,eaten,0,3971,0
700,2,false,0,-1.000000,true,536,0.847293,false,0,-1.000000,false,226.39019775390625,-0.029046,true,0.8953999876976013,0.057474,true,357,18.833333,true,100,1.857143,false,0,-1.000000,2675,grazers,eaten,0,3813,0
700,3,false,0,-1.000000,true,542,0.829560,false,0,-1.000000,false,226.47569274902344,-0.029435,true,0.8970999717712402,0.055684,true,369,19.500000,true,90,1.571429,false,0,-1.000000,2676,grazers,eaten,0,3861,0
850,1,false,0,-1.000000,true,574,0.843169,false,0,-1.000000,false,227.7761993408203,-0.035346,true,0.89410001039505,0.058842,true,415,22.055556,true,97,1.771429,false,0,-1.000000,2868,grazers,eaten,0,4115,0
850,2,false,0,-1.000000,true,580,0.826347,false,0,-1.000000,false,221.1645050048828,-0.005293,true,0.8920999765396118,0.060947,true,335,17.611111,true,83,1.371429,false,0,-1.000000,3154,grazers,eaten,0,4404,0
850,3,false,0,-1.000000,true,549,0.825159,false,0,-1.000000,false,228.09030151367188,-0.036774,true,0.8981999754905701,0.054526,true,275,14.277778,true,78,1.228571,false,0,-1.000000,2489,grazers,eaten,0,3737,0
1000,1,false,0,-1.000000,true,612,0.839370,false,0,-1.000000,false,222.5561981201172,-0.011619,true,0.88919997215271,0.064000,true,332,17.444444,true,109,2.114286,false,0,-1.000000,3542,grazers,eaten,0,4778,0
1000,2,false,0,-1.000000,true,537,0.851657,false,0,-1.000000,false,224.06350708007813,-0.018470,true,0.8870999813079834,0.066211,true,364,19.222222,true,82,1.342857,false,0,-1.000000,4493,grazers,eaten,0,5743,0
1000,3,false,0,-1.000000,true,513,0.843119,false,0,-1.000000,false,221.3892059326172,-0.006315,true,0.890500009059906,0.062632,true,322,16.888889,true,90,1.571429,false,0,-1.000000,3367,grazers,eaten,0,4568,0
