heredity.mutation,seed,no_extinction_pass,no_extinction_value,no_extinction_margin,max_10x_pass,max_10x_value,max_10x_margin,grazer_cycle_pass,grazer_cycle_value,grazer_cycle_margin,fertility_band_pass,fertility_band_value,fertility_band_margin,grass_band_pass,grass_band_value,grass_band_margin,tree_growth_pass,tree_growth_value,tree_growth_margin,mature_trees_10k_pass,mature_trees_10k_value,mature_trees_10k_margin,animals_10k_pass,animals_10k_value,animals_10k_margin,first_extinction_tick,first_extinction_species,first_extinction_dominant_cause,grazer_peaks,hunter_extinction_tick,hunter_immigrants
0.000,1,true,26,25.000000,true,54,0.831250,true,17722,10.814667,true,210.3271942138672,0.043967,true,0.8823000192642212,0.071263,true,398,21.111111,true,111,2.171429,true,36,17.000000,,,,10,,0
0.000,2,true,26,25.000000,true,55,0.842857,true,16665,10.110000,true,209.21299743652344,0.049032,true,0.8762999773025513,0.077579,true,396,21.000000,true,129,2.685714,true,33,15.500000,,,,9,,0
0.000,3,true,33,32.000000,true,65,0.803030,true,14960,8.973333,true,211.418701171875,0.039006,true,0.8812999725341797,0.072316,true,313,16.388889,true,106,2.028571,true,38,18.000000,,,,10,,0
0.025,1,true,19,18.000000,true,51,0.835484,true,16972,10.314667,true,211.6627960205078,0.037896,true,0.8815000057220459,0.072105,true,391,20.722222,true,122,2.485714,true,30,14.000000,,,,12,,0
0.025,2,true,27,26.000000,true,62,0.817647,true,17487,10.658000,true,211.673095703125,0.037850,true,0.880299985408783,0.073368,true,365,19.277778,true,114,2.257143,true,43,20.500000,,,,11,,0
0.025,3,true,30,29.000000,true,57,0.810000,true,17407,10.604667,true,206.97500610351563,0.059205,true,0.8784000277519226,0.075368,true,324,17.000000,true,76,1.171429,true,37,17.500000,,,,10,,0
0.050,1,true,23,22.000000,true,60,0.812500,true,17370,10.580000,true,210.54119873046875,0.042995,true,0.8798999786376953,0.073789,true,342,18.000000,true,109,2.114286,true,30,14.000000,,,,10,,0
0.050,2,true,25,24.000000,true,53,0.834375,true,17274,10.516000,true,212.2344970703125,0.035298,true,0.8799999952316284,0.073684,true,371,19.611111,true,108,2.085714,true,27,12.500000,,,,11,,0
0.050,3,true,33,32.000000,true,65,0.803030,true,14520,8.680000,true,208.4582977294922,0.052462,true,0.8774999976158142,0.076316,true,347,18.277778,true,91,1.600000,true,44,21.000000,,,,9,,0
0.075,1,true,20,19.000000,true,567,0.847581,true,15398,9.265333,true,211.7624053955078,0.037444,true,0.8826000094413757,0.070947,true,390,20.666667,true,135,2.857143,true,20,9.000000,,,,9,,0
0.075,2,true,26,25.000000,true,57,0.837143,true,16725,10.150000,true,211.59530639648438,0.038203,true,0.8812000155448914,0.072421,true,337,17.722222,true,105,2.000000,true,30,14.000000,,,,11,,0
0.075,3,true,33,32.000000,true,75,0.772727,true,16450,9.966667,true,209.16619873046875,0.049245,true,0.8802000284194946,0.073474,true,366,19.333333,true,93,1.657143,true,52,25.000000,,,,12,,0
0.100,1,true,16,15.000000,true,54,0.831250,true,17180,10.453333,true,211.06939697265625,0.040594,true,0.8802000284194946,0.073474,true,368,19.444444,true,88,1.514286,true,27,12.500000,,,,13,,0
0.100,2,true,28,27.000000,true,57,0.832353,true,15520,9.346667,true,205.28460693359375,0.066888,true,0.8810999989509583,0.072526,true,329,17.277778,true,95,1.714286,true,30,14.000000,,,,10,,0
0.100,3,true,31,30.000000,true,73,0.764516,true,17244,10.496000,true,208.43829345703125,0.052553,true,0.8824999928474426,0.071053,true,338,17.777778,true,87,1.485714,true,49,23.500000,,,,8,,0
0.125,1,true,23,22.000000,true,56,0.819355,true,17536,10.690667,true,208.94020080566406,0.050272,true,0.8805999755859375,0.073053,true,316,16.555556,true,84,1.400000,true,30,14.000000,,,,13,,0
0.125,2,true,26,25.000000,true,560,0.838150,true,16049,9.699333,true,205.72950744628906,0.064866,true,0.8794999718666077,0.074211,true,317,16.611111,true,90,1.571429,true,30,14.000000,,,,16,,0
0.125,3,true,32,31.000000,true,71,0.784848,true,15965,9.643333,true,214.08419799804688,0.026890,true,0.8784000277519226,0.075368,true,290,15.111111,true,86,1.457143,true,48,23.000000,,,,11,,0
0.150,1,true,22,21.000000,true,591,0.826176,true,17601,10.734000,true,210.39930725097656,0.043640,true,0.8824999928474426,0.071053,true,331,17.388889,true,93,1.657143,true,25,11.500000,,,,15,,0
0.150,2,true,29,28.000000,true,56,0.825000,true,15557,9.371333,true,212.41909790039063,0.034459,true,0.8816999793052673,0.071895,true,349,18.388889,true,102,1.914286,true,30,14.000000,,,,13,,0
0.150,3,true,30,29.000000,true,67,0.776667,true,15984,9.656000,true,210.48379516601563,0.043255,true,0.882099986076355,0.071474,true,342,18.000000,true,71,1.028571,true,40,19.000000,,,,13,,0
0.175,1,true,20,19.000000,true,596,0.827246,true,16064,9.709333,true,211.88040161132813,0.036907,true,0.8812000155448914,0.072421,true,322,16.888889,true,121,2.457143,true,33,15.500000,,,,12,,0
0.175,2,true,19,18.000000,true,53,0.844118,true,16312,9.874667,true,208.57020568847656,0.051954,true,0.8815000057220459,0.072105,true,367,19.388889,true,90,1.571429,true,36,17.000000,,,,13,,0
0.175,3,true,28,27.000000,true,64,0.786667,true,17508,10.672000,true,214.8883056640625,0.023235,true,0.8831999897956848,0.070316,true,323,16.944444,true,56,0.600000,true,50,24.000000,,,,10,,0
0.200,1,true,24,23.000000,true,58,0.829412,true,17288,10.525333,true,214.08749389648438,0.026875,true,0.8812999725341797,0.072316,true,344,18.111111,true,111,2.171429,true,36,17.000000,,,,14,,0
0.200,2,true,24,23.000000,true,56,0.840000,true,17223,10.482000,true,209.51210021972656,0.047672,true,0.8826000094413757,0.070947,true,402,21.333333,true,150,3.285714,true,38,18.000000,,,,14,,0
