hunter.handling_ticks,seed,no_extinction_pass,no_extinction_value,no_extinction_margin,max_10x_pass,max_10x_value,max_10x_margin,grazer_cycle_pass,grazer_cycle_value,grazer_cycle_margin,fertility_band_pass,fertility_band_value,fertility_band_margin,grass_band_pass,grass_band_value,grass_band_margin,tree_growth_pass,tree_growth_value,tree_growth_margin,mature_trees_10k_pass,mature_trees_10k_value,mature_trees_10k_margin,animals_10k_pass,animals_10k_value,animals_10k_margin,first_extinction_tick,first_extinction_species,first_extinction_dominant_cause,grazer_peaks,hunter_extinction_tick,hunter_immigrants,pp_lag,pp_corr,pp_undefined,pp_period
0,1,false,0,-1.000000,true,117,0.655882,true,2932,0.954667,false,255,-0.159091,true,0.8827000260353088,0.070842,true,306,16.000000,true,137,2.914286,false,0,-1.000000,7347,grazers,eaten,3,8581,0,,,grazers eaten,
0,2,false,0,-1.000000,true,60,0.828571,true,55972,36.314667,false,255,-0.159091,true,0.8790000081062317,0.074737,true,382,20.222222,true,78,1.228571,true,13,5.500000,32725,hunters,starved,33,32725,0,,,hunters starved,
0,3,false,0,-1.000000,true,71,0.784848,true,56269,36.512667,false,255,-0.159091,true,0.8799999952316284,0.073684,true,295,15.388889,true,89,1.542857,true,32,15.000000,20779,hunters,starved,27,20779,0,,,hunters starved,
25,1,false,0,-1.000000,true,113,0.667647,false,0,-1.000000,false,255,-0.159091,true,0.8808000087738037,0.072842,true,438,23.333333,true,111,2.171429,false,0,-1.000000,8339,grazers,eaten,0,9632,0,,,grazers eaten,
25,2,false,0,-1.000000,true,558,0.846281,true,55321,35.880667,false,255,-0.159091,true,0.8810999989509583,0.072526,true,399,21.166667,true,122,2.485714,true,11,4.500000,20825,hunters,starved,30,20825,0,,,hunters starved,
25,3,false,0,-1.000000,true,70,0.787879,true,57471,37.314000,false,255,-0.159091,true,0.8787999749183655,0.074947,true,281,14.611111,true,91,1.600000,true,23,10.500000,20985,hunters,starved,28,20985,0,,,hunters starved,
50,1,false,0,-1.000000,true,123,0.638235,true,2908,0.938667,false,255,-0.159091,true,0.8823000192642212,0.071263,true,383,20.277778,true,135,2.857143,false,0,-1.000000,9497,grazers,eaten,3,10678,0,,,grazers eaten,
50,2,false,0,-1.000000,true,58,0.834286,true,56629,36.752667,false,255,-0.159091,true,0.8835999965667725,0.069895,true,340,17.888889,true,100,1.857143,true,10,4.000000,20691,hunters,starved,36,20691,0,,,hunters starved,
50,3,false,0,-1.000000,true,63,0.809091,true,57836,37.557333,false,255,-0.159091,true,0.8824999928474426,0.071053,true,389,20.611111,true,82,1.342857,true,33,15.500000,21498,hunters,starved,28,21498,0,,,hunters starved,
75,1,false,0,-1.000000,true,115,0.661765,true,56587,36.724667,false,255,-0.159091,true,0.8809000253677368,0.072737,true,398,21.111111,true,146,3.171429,true,324,31.400000,25533,hunters,starved,35,25533,0,,,hunters starved,
75,2,false,0,-1.000000,true,60,0.828571,true,57421,37.280667,false,255,-0.159091,true,0.880299985408783,0.073368,true,385,20.388889,true,76,1.171429,true,12,5.000000,19535,hunters,starved,32,19535,0,,,hunters starved,
75,3,false,0,-1.000000,true,77,0.766667,true,57381,37.254000,false,255,-0.159091,true,0.8762999773025513,0.077579,true,248,12.777778,true,100,1.857143,true,36,17.000000,23837,hunters,old_age,33,23837,0,,,hunters old_age,
100,1,false,0,-1.000000,true,118,0.652941,true,56960,36.973333,false,255,-0.159091,true,0.8828999996185303,0.070632,true,454,24.222222,true,157,3.485714,true,44,21.000000,31345,hunters,old_age,32,31345,0,,,hunters old_age,
100,2,false,0,-1.000000,true,72,0.794286,true,53372,34.581333,false,255,-0.159091,true,0.8809000253677368,0.072737,true,269,13.944444,true,91,1.600000,true,45,21.500000,41484,hunters,starved,32,41484,0,,,hunters starved,
100,3,false,0,-1.000000,true,71,0.784848,true,55846,36.230667,false,255,-0.159091,true,0.8805999755859375,0.073053,true,375,19.833333,true,126,2.600000,true,28,13.000000,25585,hunters,starved,31,25585,0,,,hunters starved,
125,1,false,0,-1.000000,true,145,0.573529,true,2835,0.890000,false,255,-0.159091,true,0.8834999799728394,0.070000,true,334,17.555556,true,98,1.800000,false,2,-0.800000,10089,grazers,eaten,3,11406,0,,,grazers eaten,
125,2,false,0,-1.000000,true,58,0.834286,true,57254,37.169333,false,255,-0.159091,true,0.8813999891281128,0.072211,true,290,15.111111,true,109,2.114286,true,12,5.000000,33661,hunters,starved,39,33661,0,,,hunters starved,
125,3,false,0,-1.000000,true,68,0.793939,true,57605,37.403333,false,255,-0.159091,true,0.881600022315979,0.072000,true,331,17.388889,true,83,1.371429,true,37,17.500000,24796,hunters,starved,40,24796,0,,,hunters starved,
150,1,false,0,-1.000000,true,107,0.685294,true,57344,37.229333,false,255,-0.159091,true,0.8855000138282776,0.067895,true,338,17.777778,true,121,2.457143,true,60,29.000000,27934,hunters,old_age,32,27934,0,,,hunters old_age,
150,2,false,0,-1.000000,true,58,0.834286,true,57555,37.370000,false,255,-0.159091,true,0.8830999732017517,0.070421,true,387,20.500000,true,93,1.657143,true,16,7.000000,18255,hunters,starved,37,18255,0,,,hunters starved,
150,3,false,0,-1.000000,true,78,0.763636,true,54477,35.318000,false,255,-0.159091,true,0.8827999830245972,0.070737,true,414,22.000000,true,110,2.142857,true,56,27.000000,21348,hunters,starved,27,21348,0,,,hunters starved,
175,1,false,0,-1.000000,true,125,0.632353,true,3148,1.098667,false,255,-0.159091,true,0.8842999935150146,0.069158,true,481,25.722222,true,118,2.371429,false,0,-1.000000,9719,grazers,eaten,4,10973,0,,,grazers eaten,
175,2,false,0,-1.000000,true,64,0.811765,true,56391,36.594000,false,255,-0.159091,true,0.881600022315979,0.072000,true,391,20.722222,true,62,0.771429,true,21,9.500000,41846,hunters,starved,37,41846,0,,,hunters starved,
175,3,false,0,-1.000000,true,64,0.806061,true,56703,36.802000,false,255,-0.159091,true,0.8845999836921692,0.068842,true,326,17.111111,true,90,1.571429,true,32,15.000000,24032,hunters,starved,34,24032,0,,,hunters starved,
200,1,true,1,0.000000,true,103,0.697059,true,57271,37.180667,false,255,-0.159091,true,0.8837000131607056,0.069789,true,440,23.444444,true,91,1.600000,true,55,26.500000,,,,38,,0,-3450,0.2492,,3200
200,2,false,0,-1.000000,true,60,0.828571,true,56559,36.706000,false,255,-0.159091,true,0.8827000260353088,0.070842,true,280,14.555556,true,104,1.971429,true,23,10.500000,29975,hunters,starved,32,29975,0,,,hunters starved,
200,3,false,0,-1.000000,true,64,0.806061,true,57290,37.193333,false,255,-0.159091,true,0.8837000131607056,0.069789,true,396,21.000000,true,105,2.000000,true,43,20.500000,27100,hunters,starved,37,27100,0,,,hunters starved,
