hunter.handling_ticks,hunter.hunt_cost,seed,no_extinction_pass,no_extinction_value,no_extinction_margin,max_10x_pass,max_10x_value,max_10x_margin,grazer_cycle_pass,grazer_cycle_value,grazer_cycle_margin,fertility_band_pass,fertility_band_value,fertility_band_margin,grass_band_pass,grass_band_value,grass_band_margin,tree_growth_pass,tree_growth_value,tree_growth_margin,mature_trees_10k_pass,mature_trees_10k_value,mature_trees_10k_margin,animals_10k_pass,animals_10k_value,animals_10k_margin,first_extinction_tick,first_extinction_species,first_extinction_dominant_cause,grazer_peaks,hunter_extinction_tick,hunter_immigrants,pp_lag,pp_corr,pp_undefined,pp_period
25,0.6,1,false,0,-1.000000,true,131,0.614706,true,2752,0.834667,false,255,-0.159091,true,0.8815000057220459,0.072105,true,411,21.833333,true,117,2.342857,false,0,-1.000000,7390,grazers,eaten,2,8601,0,,,grazers eaten,
25,0.6,2,false,0,-1.000000,true,113,0.677143,true,2796,0.864000,false,255,-0.159091,true,0.8810999989509583,0.072526,true,340,17.888889,true,111,2.171429,false,0,-1.000000,9127,grazers,eaten,2,10418,0,,,grazers eaten,
25,0.6,3,false,0,-1.000000,true,94,0.715152,true,2022,0.348000,false,255,-0.159091,true,0.8797000050544739,0.074000,true,360,19.000000,true,106,2.028571,false,0,-1.000000,8531,grazers,eaten,2,9776,0,,,grazers eaten,
25,0.6,42,true,11,10.000000,true,76,0.788889,true,56601,36.734000,false,255,-0.159091,true,0.8792999982833862,0.074421,true,250,12.888889,true,75,1.142857,true,47,22.500000,,,,34,,0,4950,0.3497,,3700
25,0.8,1,false,0,-1.000000,true,119,0.650000,false,0,-1.000000,false,255,-0.159091,true,0.882099986076355,0.071474,true,337,17.722222,true,118,2.371429,false,0,-1.000000,7150,grazers,eaten,1,8383,0,,,grazers eaten,
25,0.8,2,true,2,1.000000,true,68,0.805714,true,55013,35.675333,false,255,-0.159091,true,0.8799999952316284,0.073684,true,358,18.888889,true,77,1.200000,true,27,12.500000,,,,36,,0,-6950,0.2800,,2050
25,0.8,3,false,0,-1.000000,true,106,0.678788,false,0,-1.000000,false,255,-0.159091,true,0.8804000020027161,0.073263,true,326,17.111111,true,86,1.457143,false,0,-1.000000,8607,grazers,eaten,1,9921,0,,,grazers eaten,
25,0.8,42,false,0,-1.000000,true,68,0.811111,true,56636,36.757333,false,255,-0.159091,true,0.8806999921798706,0.072947,true,286,14.888889,true,62,0.771429,true,42,20.000000,41375,hunters,starved,33,41375,0,,,hunters starved,
25,1.0,1,false,0,-1.000000,true,113,0.667647,false,0,-1.000000,false,255,-0.159091,true,0.8808000087738037,0.072842,true,438,23.333333,true,111,2.171429,false,0,-1.000000,8339,grazers,eaten,0,9632,0,,,grazers eaten,
25,1.0,2,false,0,-1.000000,true,558,0.846281,true,55321,35.880667,false,255,-0.159091,true,0.8810999989509583,0.072526,true,399,21.166667,true,122,2.485714,true,11,4.500000,20825,hunters,starved,30,20825,0,,,hunters starved,
25,1.0,3,false,0,-1.000000,true,70,0.787879,true,57471,37.314000,false,255,-0.159091,true,0.8787999749183655,0.074947,true,281,14.611111,true,91,1.600000,true,23,10.500000,20985,hunters,starved,28,20985,0,,,hunters starved,
25,1.0,42,false,0,-1.000000,true,68,0.811111,true,56759,36.839333,false,255,-0.159091,true,0.8816999793052673,0.071895,true,235,12.055556,true,76,1.171429,true,14,6.000000,19957,hunters,starved,32,19957,0,,,hunters starved,
25,1.2,1,false,0,-1.000000,true,122,0.641176,false,1282,-0.145333,false,255,-0.159091,true,0.8812000155448914,0.072421,true,396,21.000000,true,130,2.714286,false,0,-1.000000,8531,grazers,eaten,2,9748,0,,,grazers eaten,
25,1.2,2,false,0,-1.000000,true,65,0.814286,true,57032,37.021333,false,255,-0.159091,true,0.8794999718666077,0.074211,true,325,17.055556,true,79,1.257143,true,11,4.500000,15803,hunters,starved,30,15803,0,,,hunters starved,
25,1.2,3,false,0,-1.000000,true,60,0.818182,true,57312,37.208000,false,255,-0.159091,true,0.8822000026702881,0.071368,true,307,16.055556,true,84,1.400000,true,17,7.500000,18506,hunters,starved,32,18506,0,,,hunters starved,
25,1.2,42,false,0,-1.000000,true,68,0.811111,true,57643,37.428667,false,255,-0.159091,true,0.8802000284194946,0.073474,true,163,8.055556,true,73,1.085714,true,37,17.500000,22725,hunters,starved,34,22725,0,,,hunters starved,
50,0.6,1,false,0,-1.000000,true,127,0.626471,true,2937,0.958000,false,255,-0.159091,true,0.8820000290870667,0.071579,true,293,15.277778,true,117,2.342857,false,0,-1.000000,8407,grazers,eaten,3,9646,0,,,grazers eaten,
50,0.6,2,false,0,-1.000000,true,102,0.708571,false,0,-1.000000,false,255,-0.159091,true,0.878600001335144,0.075158,true,370,19.555556,true,116,2.314286,false,0,-1.000000,9028,grazers,eaten,1,10227,0,,,grazers eaten,
50,0.6,3,false,0,-1.000000,true,110,0.666667,true,1881,0.254000,false,255,-0.159091,true,0.879800021648407,0.073895,true,334,17.555556,true,80,1.285714,false,0,-1.000000,9512,grazers,eaten,3,10811,0,,,grazers eaten,
50,0.6,42,false,0,-1.000000,true,85,0.763889,true,16847,10.231333,false,255,-0.159091,true,0.880299985408783,0.073368,true,320,16.777778,true,54,0.542857,true,57,27.500000,23225,grazers,eaten,10,24445,0,,,grazers eaten,
50,0.8,1,false,0,-1.000000,true,113,0.667647,false,0,-1.000000,false,255,-0.159091,true,0.8833000063896179,0.070211,true,319,16.722222,true,119,2.400000,false,0,-1.000000,7575,grazers,eaten,1,8675,0,,,grazers eaten,
50,0.8,2,false,0,-1.000000,true,137,0.608571,true,8383,4.588667,false,255,-0.159091,true,0.8805999755859375,0.073053,true,361,19.055556,true,106,2.028571,true,368,35.800000,12847,grazers,eaten,5,14164,0,,,grazers eaten,
50,0.8,3,false,0,-1.000000,true,83,0.748485,true,56403,36.602000,false,255,-0.159091,true,0.8805999755859375,0.073053,true,394,20.888889,true,87,1.485714,true,46,22.000000,25777,hunters,starved,32,25777,0,,,hunters starved,
50,0.8,42,false,0,-1.000000,true,64,0.822222,true,54284,35.189333,false,255,-0.159091,true,0.8772000074386597,0.076632,true,302,15.777778,true,62,0.771429,true,25,11.500000,32966,hunters,starved,32,32966,0,,,hunters starved,
50,1.0,1,false,0,-1.000000,true,123,0.638235,true,2908,0.938667,false,255,-0.159091,true,0.8823000192642212,0.071263,true,383,20.277778,true,135,2.857143,false,0,-1.000000,9497,grazers,eaten,3,10678,0,,,grazers eaten,
