hunter.kill_energy,hunter.hunt_cost,seed,no_extinction_pass,no_extinction_value,no_extinction_margin,max_10x_pass,max_10x_value,max_10x_margin,grazer_cycle_pass,grazer_cycle_value,grazer_cycle_margin,fertility_band_pass,fertility_band_value,fertility_band_margin,grass_band_pass,grass_band_value,grass_band_margin,tree_growth_pass,tree_growth_value,tree_growth_margin,mature_trees_10k_pass,mature_trees_10k_value,mature_trees_10k_margin,animals_10k_pass,animals_10k_value,animals_10k_margin,first_extinction_tick,first_extinction_species,first_extinction_dominant_cause,grazer_peaks,hunter_extinction_tick,hunter_immigrants,pp_lag,pp_corr,pp_undefined
40,0.00,1,true,23,22.000000,true,60,0.812500,true,17370,10.580000,true,210.54119873046875,0.042995,true,0.8798999786376953,0.073789,true,342,18.000000,true,109,2.114286,true,30,14.000000,,,,10,,0,2000,-0.0815,
40,0.00,2,true,25,24.000000,true,53,0.834375,true,17274,10.516000,true,212.2344970703125,0.035298,true,0.8799999952316284,0.073684,true,371,19.611111,true,108,2.085714,true,27,12.500000,,,,11,,0,2000,0.3422,
40,0.00,3,true,33,32.000000,true,65,0.803030,true,14520,8.680000,true,208.4582977294922,0.052462,true,0.8774999976158142,0.076316,true,347,18.277778,true,91,1.600000,true,44,21.000000,,,,9,,0,-2000,-0.5048,
40,0.00,42,true,29,28.000000,true,60,0.833333,true,16673,10.115333,true,212.6094970703125,0.033593,true,0.8792999982833862,0.074421,true,380,20.111111,true,85,1.428571,true,41,19.500000,,,,11,,0,2000,-0.1500,
40,0.25,1,true,16,15.000000,true,53,0.839394,true,15082,9.054667,true,213.47360229492188,0.029665,true,0.8805000185966492,0.073158,true,431,22.944444,true,113,2.228571,true,22,10.000000,,,,11,,0,2000,-0.2192,
40,0.25,2,true,23,22.000000,true,570,0.847594,true,16964,10.309333,true,214.29209899902344,0.025945,true,0.8808000087738037,0.072842,true,412,21.888889,true,145,3.142857,true,32,15.000000,,,,10,,0,1050,-0.0367,
40,0.25,3,true,32,31.000000,true,67,0.790625,true,17785,10.856667,true,212.25450134277344,0.035207,true,0.8812999725341797,0.072316,true,326,17.111111,true,72,1.057143,true,40,19.000000,,,,11,,0,2000,0.1181,
40,0.25,42,true,21,20.000000,true,52,0.851429,true,17258,10.505333,true,215.01870727539063,0.022642,true,0.8787999749183655,0.074947,true,400,21.222222,true,88,1.514286,true,31,14.500000,,,,16,,0,2000,-0.4893,
40,0.50,1,true,14,13.000000,true,586,0.834463,true,17354,10.569333,true,212.92669677734375,0.032151,true,0.8817999958992004,0.071789,true,323,16.944444,true,104,1.971429,true,32,15.000000,,,,13,,0,2000,-0.2839,
40,0.50,2,true,4,3.000000,true,543,0.844413,true,15914,9.609333,true,212.71389770507813,0.033119,true,0.8809000253677368,0.072737,true,380,20.111111,true,132,2.771429,true,17,7.500000,,,,10,,0,1300,-0.4190,
40,0.50,3,true,13,12.000000,true,63,0.809091,true,16147,9.764667,true,214.62860107421875,0.024415,true,0.8808000087738037,0.072842,true,435,23.166667,true,135,2.857143,true,37,17.500000,,,,9,,0,2000,-0.5610,
40,0.50,42,true,8,7.000000,true,57,0.841667,true,15026,9.017333,true,209.3509979248047,0.048405,true,0.8772000074386597,0.076632,true,321,16.833333,true,49,0.400000,true,27,12.500000,,,,11,,0,2000,-0.2550,
40,0.75,1,true,13,12.000000,true,56,0.830303,true,15658,9.438667,true,210.72039794921875,0.042180,true,0.8830000162124634,0.070526,true,356,18.777778,true,106,2.028571,true,31,14.500000,,,,10,,0,2000,-0.5193,
40,0.75,2,true,1,0.000000,true,47,0.857576,true,14077,8.384667,true,207.17050170898438,0.058316,true,0.8809000253677368,0.072737,true,409,21.722222,true,113,2.228571,true,6,2.000000,,,,11,,0,-2000,0.1259,
40,0.75,3,false,0,-1.000000,true,536,0.825407,true,17693,10.795333,true,210.09249877929688,0.045034,true,0.881600022315979,0.072000,true,339,17.833333,true,112,2.200000,true,27,12.500000,14884,hunters,starved,7,14884,0,,,hunters starved
40,0.75,42,false,0,-1.000000,true,581,0.838162,true,15337,9.224667,true,217.45790100097656,0.011555,true,0.8808000087738037,0.072842,true,155,7.611111,false,27,-0.228571,true,2,0.000000,12403,hunters,starved,9,12403,0,,,hunters starved
40,1.00,1,false,0,-1.000000,true,52,0.826667,true,16611,10.074000,true,211.89109802246094,0.036859,true,0.8792999982833862,0.074421,true,417,22.166667,true,125,2.571429,true,19,8.500000,18156,hunters,starved,10,18156,0,,,hunters starved
40,1.00,2,false,0,-1.000000,true,565,0.839031,true,16717,10.144667,true,210.28570556640625,0.044156,true,0.8798999786376953,0.073789,true,306,16.000000,true,89,1.542857,true,2,0.000000,16222,hunters,starved,11,16222,0,,,hunters starved
40,1.00,3,false,0,-1.000000,true,514,0.835783,true,16036,9.690667,true,209.74400329589844,0.046618,true,0.8805999755859375,0.073053,true,404,21.444444,true,103,1.942857,true,7,2.500000,12778,hunters,starved,9,12778,0,,,hunters starved
40,1.00,42,false,0,-1.000000,true,554,0.839420,true,15267,9.178000,true,216.66949462890625,0.015139,true,0.8770999908447266,0.076737,true,321,16.833333,true,68,0.942857,false,1,-0.500000,10141,hunters,starved,10,10141,0,,,hunters starved
40,1.25,1,false,0,-1.000000,true,585,0.830435,true,17317,10.544667,true,207.8804931640625,0.055089,true,0.8808000087738037,0.072842,true,435,23.166667,true,80,1.285714,true,4,1.000000,12682,hunters,starved,12,12682,0,,,hunters starved
40,1.25,2,false,0,-1.000000,true,49,0.855882,true,17780,10.853333,true,210.0312957763672,0.045312,true,0.879800021648407,0.073895,true,386,20.444444,true,107,2.057143,false,1,-0.500000,12669,hunters,starved,9,12669,0,,,hunters starved
40,1.25,3,false,0,-1.000000,true,528,0.829126,true,17853,10.902000,true,205.9727020263672,0.063760,true,0.8797000050544739,0.074000,true,350,18.444444,true,119,2.400000,false,0,-1.000000,9640,hunters,starved,10,9640,0,,,hunters starved
40,1.25,42,false,0,-1.000000,true,565,0.849734,true,16561,10.040667,true,209.73789978027344,0.046646,true,0.8784000277519226,0.075368,true,277,14.388889,true,46,0.314286,true,2,0.000000,13271,hunters,starved,11,13271,0,,,hunters starved
40,1.50,1,false,0,-1.000000,true,595,0.837875,true,15774,9.516000,true,213.24249267578125,0.030716,true,0.8812000155448914,0.072421,true,375,19.833333,true,122,2.485714,true,8,3.000000,14863,hunters,starved,15,14863,0,,,hunters starved
40,1.50,2,false,0,-1.000000,true,553,0.848077,true,17039,10.359333,true,212.58450317382813,0.033707,true,0.880299985408783,0.073368,true,321,16.833333,true,86,1.457143,false,0,-1.000000,8990,hunters,starved,9,8990,0,,,hunters starved
40,1.50,3,false,0,-1.000000,true,519,0.834713,true,15337,9.224667,true,205.79249572753906,0.064580,true,0.8805000185966492,0.073158,true,347,18.277778,true,88,1.514286,true,7,2.500000,11214,hunters,starved,10,11214,0,,,hunters starved
40,1.50,42,false,0,-1.000000,true,53,0.844118,true,15388,9.258667,true,208.68040466308594,0.051453,true,0.8794000148773193,0.074316,true,317,16.611111,true,79,1.257143,true,4,1.000000,12225,hunters,starved,8,12225,0,,,hunters starved
50,0.00,1,true,23,22.000000,true,58,0.829412,true,14603,8.735333,true,208.70120239257813,0.051358,true,0.8805999755859375,0.073053,true,376,19.888889,true,124,2.542857,true,33,15.500000,,,,11,,0,2000,0.0225,
50,0.00,2,true,27,26.000000,true,53,0.844118,true,17170,10.446667,true,207.18310546875,0.058259,true,0.8822000026702881,0.071368,true,343,18.055556,true,83,1.371429,true,34,16.000000,,,,15,,0,1800,-0.0043,
50,0.00,3,true,31,30.000000,true,68,0.780645,true,17382,10.588000,true,210.36849975585938,0.043780,true,0.8810999989509583,0.072526,true,341,17.944444,true,102,1.914286,true,40,19.000000,,,,12,,0,2000,0.1964,
50,0.00,42,true,25,24.000000,true,65,0.819444,true,17400,10.600000,true,211.1042022705078,0.040435,true,0.8792999982833862,0.074421,true,353,18.611111,true,83,1.371429,true,39,18.500000,,,,15,,0,2000,0.0643,
50,0.25,1,true,24,23.000000,true,52,0.842424,true,17178,10.452000,true,212.75599670410156,0.032927,true,0.8823999762535095,0.071158,true,393,20.833333,true,127,2.628571,true,36,17.000000,,,,11,,0,2000,0.0567,
50,0.25,2,true,19,18.000000,true,51,0.850000,true,16871,10.247333,true,211.43479919433594,0.038933,true,0.8817999958992004,0.071789,true,365,19.277778,true,94,1.685714,true,31,14.500000,,,,17,,0,1150,-0.1758,
50,0.25,3,true,30,29.000000,true,72,0.781818,true,16647,10.098000,true,214.18699645996094,0.026423,true,0.8776999711990356,0.076105,true,327,17.166667,true,92,1.628571,true,48,23.000000,,,,10,,0,2000,0.2453,
50,0.25,42,true,29,28.000000,true,55,0.842857,true,16768,10.178667,true,212.46620178222656,0.034245,true,0.8776000142097473,0.076211,true,288,15.000000,true,85,1.428571,true,47,22.500000,,,,11,,0,2000,-0.0902,
50,0.50,1,true,14,13.000000,true,63,0.796774,true,16936,10.290667,true,214.82650756835938,0.023516,true,0.8819000124931335,0.071684,true,352,18.555556,true,123,2.514286,true,35,16.500000,,,,15,,0,2000,-0.3189,
50,0.50,2,true,24,23.000000,true,552,0.841379,true,16325,9.883333,true,206.9678955078125,0.059237,true,0.8810999989509583,0.072526,true,356,18.777778,true,59,0.685714,true,24,11.000000,,,,11,,0,2000,-0.0505,
50,0.50,3,true,26,25.000000,true,62,0.800000,true,16544,10.029333,true,209.3354949951172,0.048475,true,0.8830000162124634,0.070526,true,381,20.166667,true,117,2.342857,true,35,16.500000,,,,12,,0,2000,-0.2497,
50,0.50,42,true,10,9.000000,true,58,0.838889,true,16507,10.004667,true,211.30990600585938,0.039500,true,0.878600001335144,0.075158,true,346,18.222222,true,85,1.428571,true,24,11.000000,,,,13,,0,2000,-0.4371,
50,0.75,1,true,2,1.000000,true,58,0.829412,true,13782,8.188000,true,212.07049560546875,0.036043,true,0.8791999816894531,0.074526,true,412,21.888889,true,120,2.428571,true,29,13.500000,,,,11,,0,2000,-0.4972,
50,0.75,2,true,1,0.000000,true,562,0.845604,true,16488,9.992000,true,212.62969970703125,0.033501,true,0.882099986076355,0.071474,true,311,16.277778,true,102,1.914286,true,11,4.500000,,,,12,,0,-2000,0.6940,
50,0.75,3,true,2,1.000000,true,544,0.824516,true,17738,10.825333,true,209.6907958984375,0.046860,true,0.879800021648407,0.073895,true,331,17.388889,true,110,2.142857,true,18,8.000000,,,,13,,0,-2000,-0.6132,
50,0.75,42,false,0,-1.000000,true,52,0.847059,true,13403,7.935333,true,216.71409606933594,0.014936,true,0.8779000043869019,0.075895,true,253,13.055556,true,89,1.542857,true,7,2.500000,17437,hunters,starved,11,17437,0,,,hunters starved
50,1.00,1,true,5,4.000000,true,51,0.835484,true,14295,8.530000,true,211.4344940185547,0.038934,true,0.8812000155448914,0.072421,true,420,22.333333,true,139,2.971429,true,19,8.500000,,,,10,,0,1900,-0.5946,
50,1.00,2,true,1,0.000000,true,42,0.860000,true,13746,8.164000,true,210.4674072265625,0.043330,true,0.8791000247001648,0.074632,true,404,21.444444,true,106,2.028571,true,14,6.000000,,,,12,,0,-2000,-0.1642,
50,1.00,3,true,1,0.000000,true,520,0.822526,true,17125,10.416667,true,212.22860717773438,0.035325,true,0.8794999718666077,0.074211,true,340,17.888889,true,103,1.942857,true,32,15.000000,,,,12,,0,-2000,-0.3904,
50,1.00,42,false,0,-1.000000,true,566,0.849468,true,17405,10.603333,true,211.9947967529297,0.036387,true,0.8791000247001648,0.074632,true,279,14.500000,true,53,0.514286,true,5,1.500000,14683,hunters,starved,13,14683,0,,,hunters starved
50,1.25,1,true,1,0.000000,true,55,0.838235,true,17171,10.447333,true,209.98289489746094,0.045532,true,0.8788999915122986,0.074842,true,374,19.777778,true,128,2.657143,true,17,7.500000,,,,12,,0,2000,-0.4528,
50,1.25,2,true,1,0.000000,true,571,0.838244,true,15228,9.152000,true,211.6490936279297,0.037959,true,0.8804000020027161,0.073263,true,300,15.666667,true,87,1.485714,true,5,1.500000,,,,9,,0,-1850,0.6150,
50,1.25,3,false,0,-1.000000,true,532,0.834268,true,17514,10.676000,true,214.24420166015625,0.026163,true,0.8805999755859375,0.073053,true,404,21.444444,true,80,1.285714,true,9,3.500000,13947,hunters,starved,11,13947,0,,,hunters starved
50,1.25,42,false,0,-1.000000,true,48,0.858824,true,17001,10.334000,true,207.9593963623047,0.054730,true,0.8773000240325928,0.076526,true,267,13.833333,true,81,1.314286,true,3,0.500000,14178,hunters,starved,10,14178,0,,,hunters starved
50,1.50,1,false,0,-1.000000,true,569,0.841061,true,16163,9.775333,true,212.0653076171875,0.036067,true,0.8794999718666077,0.074211,true,380,20.111111,true,101,1.885714,true,19,8.500000,16442,hunters,starved,11,16442,0,,,hunters starved
50,1.50,2,false,0,-1.000000,true,550,0.854111,true,15689,9.459333,true,213.64950561523438,0.028866,true,0.8797000050544739,0.074000,true,380,20.111111,true,121,2.457143,false,1,-0.500000,10168,hunters,starved,9,10168,0,,,hunters starved
50,1.50,3,false,0,-1.000000,true,548,0.827129,true,17316,10.544000,true,209.80259704589844,0.046352,true,0.8820000290870667,0.071579,true,285,14.833333,true,65,0.857143,false,0,-1.000000,9853,hunters,starved,9,9853,0,,,hunters starved
50,1.50,42,false,0,-1.000000,true,50,0.852941,true,17301,10.534000,true,213.6029052734375,0.029078,true,0.8797000050544739,0.074000,true,288,15.000000,true,56,0.600000,false,0,-1.000000,9223,hunters,starved,10,9223,0,,,hunters starved
60,0.00,1,true,21,20.000000,true,593,0.819207,true,16435,9.956667,true,209.86219787597656,0.046081,true,0.8810999989509583,0.072526,true,329,17.277778,true,99,1.828571,true,31,14.500000,,,,13,,0,2000,-0.2224,
60,0.00,2,true,27,26.000000,true,557,0.845706,true,17630,10.753333,true,207.5487060546875,0.056597,true,0.8809999823570251,0.072632,true,362,19.111111,true,93,1.657143,true,33,15.500000,,,,12,,0,2000,-0.1537,
60,0.00,3,true,33,32.000000,true,72,0.781818,true,15685,9.456667,true,211.46380615234375,0.038801,true,0.8805000185966492,0.073158,true,350,18.444444,true,124,2.542857,true,51,24.500000,,,,12,,0,2000,-0.2574,
60,0.00,42,true,29,28.000000,true,59,0.836111,true,16639,10.092667,true,212.1251983642578,0.035795,true,0.8787000179290771,0.075053,true,330,17.333333,true,71,1.028571,true,38,18.000000,,,,11,,0,2000,0.0727,
60,0.25,1,true,17,16.000000,true,51,0.830000,true,16688,10.125333,true,211.73109436035156,0.037586,true,0.8812000155448914,0.072421,true,312,16.333333,true,148,3.228571,true,22,10.000000,,,,14,,0,2000,-0.3862,
60,0.25,2,true,25,24.000000,true,59,0.831429,true,17488,10.658667,true,208.8262939453125,0.050790,true,0.878600001335144,0.075158,true,395,20.944444,true,91,1.600000,true,33,15.500000,,,,13,,0,2000,0.2164,
60,0.25,3,true,33,32.000000,true,72,0.781818,true,17216,10.477333,true,209.60360717773438,0.047256,true,0.8802000284194946,0.073474,true,286,14.888889,true,92,1.628571,true,45,21.500000,,,,13,,0,2000,0.1912,
60,0.25,42,true,29,28.000000,true,59,0.836111,true,16645,10.096667,true,210.19970703125,0.044547,true,0.876800000667572,0.077053,true,329,17.277778,true,77,1.200000,true,34,16.000000,,,,12,,0,2000,-0.1360,
60,0.50,1,true,20,19.000000,true,61,0.815152,true,15463,9.308667,true,212.22470092773438,0.035342,true,0.8794999718666077,0.074211,true,392,20.777778,true,140,3.000000,true,34,16.000000,,,,11,,0,2000,-0.1838,
60,0.50,2,true,14,13.000000,true,51,0.840625,true,17045,10.363333,true,209.1605987548828,0.049270,true,0.8804000020027161,0.073263,true,362,19.111111,true,117,2.342857,true,22,10.000000,,,,14,,0,2000,0.0298,
