hunter.kill_energy,hunter.hunt_cost,seed,no_extinction_pass,no_extinction_value,no_extinction_margin,max_10x_pass,max_10x_value,max_10x_margin,grazer_cycle_pass,grazer_cycle_value,grazer_cycle_margin,fertility_band_pass,fertility_band_value,fertility_band_margin,grass_band_pass,grass_band_value,grass_band_margin,tree_growth_pass,tree_growth_value,tree_growth_margin,mature_trees_10k_pass,mature_trees_10k_value,mature_trees_10k_margin,animals_10k_pass,animals_10k_value,animals_10k_margin,first_extinction_tick,first_extinction_species,first_extinction_dominant_cause,grazer_peaks,hunter_extinction_tick,hunter_immigrants,pp_lag,pp_corr,pp_undefined
20,0.5,1,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,224.8105010986328,-0.021866,true,0.902899980545044,0.049579,true,360,19.000000,true,113,2.228571,false,0,-1.000000,1444,grazers,eaten,0,2656,0,,,grazers eaten
20,0.5,2,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,227.34840393066406,-0.033402,true,0.9035999774932861,0.048842,true,388,20.555556,true,124,2.542857,false,0,-1.000000,1249,grazers,eaten,0,2354,0,,,grazers eaten
20,0.5,3,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,225.49429321289063,-0.024974,true,0.9023000001907349,0.050211,true,269,13.944444,true,85,1.428571,false,0,-1.000000,1306,grazers,eaten,0,2412,0,,,grazers eaten
20,0.5,42,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,225.76980590820313,-0.026226,true,0.9031999707221985,0.049263,true,269,13.944444,true,76,1.171429,false,0,-1.000000,1362,grazers,eaten,0,2432,0,,,grazers eaten
20,1,1,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,226.66119384765625,-0.030278,true,0.9028000235557556,0.049684,true,378,20.000000,true,93,1.657143,false,0,-1.000000,1544,grazers,eaten,0,2751,0,,,grazers eaten
20,1,2,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,227.95289611816406,-0.036150,true,0.9032999873161316,0.049158,true,348,18.333333,true,84,1.400000,false,0,-1.000000,1608,grazers,eaten,0,2590,0,,,grazers eaten
20,1,3,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,228.206298828125,-0.037301,true,0.902999997138977,0.049474,true,284,14.777778,true,91,1.600000,false,0,-1.000000,1377,grazers,eaten,0,2536,0,,,grazers eaten
20,1,42,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,230.0135040283203,-0.045516,true,0.9017999768257141,0.050737,true,345,18.166667,true,100,1.857143,false,0,-1.000000,1364,grazers,eaten,0,2481,0,,,grazers eaten
20,1.5,1,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,227.38180541992188,-0.033554,true,0.9031000137329102,0.049368,true,439,23.388889,true,125,2.571429,false,0,-1.000000,1297,grazers,eaten,0,2450,0,,,grazers eaten
20,1.5,2,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,227.88229370117188,-0.035829,true,0.9039000272750854,0.048526,true,300,15.666667,true,91,1.600000,false,0,-1.000000,1233,grazers,eaten,0,2303,0,,,grazers eaten
20,1.5,3,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,225.02659606933594,-0.022848,true,0.9028000235557556,0.049684,true,273,14.166667,true,87,1.485714,false,0,-1.000000,1435,grazers,eaten,0,2577,0,,,grazers eaten
20,1.5,42,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,222.13670349121094,-0.009712,true,0.9023000001907349,0.050211,true,321,16.833333,true,58,0.657143,false,0,-1.000000,1298,grazers,eaten,0,2338,0,,,grazers eaten
20,2,1,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,226.77940368652344,-0.030815,true,0.9038000106811523,0.048632,true,327,17.166667,true,137,2.914286,false,0,-1.000000,1285,grazers,eaten,0,2372,0,,,grazers eaten
20,2,2,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,223.37649536132813,-0.015348,true,0.902899980545044,0.049579,true,403,21.388889,true,117,2.342857,false,0,-1.000000,1304,grazers,eaten,0,2407,0,,,grazers eaten
20,2,3,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,227.1002960205078,-0.032274,true,0.902899980545044,0.049579,true,356,18.777778,true,113,2.228571,false,0,-1.000000,1225,grazers,eaten,0,2335,0,,,grazers eaten
20,2,42,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,224.781494140625,-0.021734,true,0.9031000137329102,0.049368,true,307,16.055556,true,68,0.942857,false,0,-1.000000,1216,grazers,eaten,0,2191,0,,,grazers eaten
40,0.5,1,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,227.37930297851563,-0.033542,true,0.9032999873161316,0.049158,true,402,21.333333,true,119,2.400000,false,0,-1.000000,1724,grazers,eaten,0,2837,0,,,grazers eaten
40,0.5,2,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,227.0406036376953,-0.032003,true,0.9028000235557556,0.049684,true,377,19.944444,true,144,3.114286,false,0,-1.000000,1802,grazers,eaten,0,2961,0,,,grazers eaten
40,0.5,3,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,false,226.17930603027344,-0.028088,true,0.9027000069618225,0.049789,true,332,17.444444,true,91,1.600000,false,0,-1.000000,1691,grazers,eaten,0,3018,0,,,grazers eaten
