hunter.hunt_cost,seed,no_extinction_pass,no_extinction_value,no_extinction_margin,max_10x_pass,max_10x_value,max_10x_margin,grazer_cycle_pass,grazer_cycle_value,grazer_cycle_margin,fertility_band_pass,fertility_band_value,fertility_band_margin,grass_band_pass,grass_band_value,grass_band_margin,tree_growth_pass,tree_growth_value,tree_growth_margin,mature_trees_10k_pass,mature_trees_10k_value,mature_trees_10k_margin,animals_10k_pass,animals_10k_value,animals_10k_margin,first_extinction_tick,first_extinction_species,first_extinction_dominant_cause,grazer_peaks,hunter_extinction_tick,hunter_immigrants,pp_lag,pp_corr,pp_undefined
0,1,false,0,-1.000000,true,130,0.617647,false,0,-1.000000,false,228.18209838867188,-0.037191,true,0.881600022315979,0.072000,true,366,19.333333,true,125,2.571429,false,0,-1.000000,7283,grazers,eaten,1,8567,0,,,grazers eaten
0,2,false,0,-1.000000,true,122,0.651429,true,3017,1.011333,true,217.81289672851563,0.009941,true,0.8795999884605408,0.074105,true,327,17.166667,true,103,1.942857,false,0,-1.000000,7198,grazers,eaten,2,8410,0,,,grazers eaten
0,3,false,0,-1.000000,true,118,0.642424,false,0,-1.000000,false,221.68980407714844,-0.007681,true,0.8797000050544739,0.074000,true,347,18.277778,true,98,1.800000,false,0,-1.000000,7330,grazers,eaten,1,8406,0,,,grazers eaten
1,1,false,0,-1.000000,true,116,0.658824,false,0,-1.000000,true,219.70339965820313,0.001348,true,0.8802000284194946,0.073474,true,359,18.944444,true,122,2.485714,false,0,-1.000000,8604,grazers,eaten,1,9814,0,,,grazers eaten
1,2,true,1,0.000000,true,60,0.828571,true,15756,9.504000,true,210.75360107421875,0.042029,true,0.8797000050544739,0.074000,true,376,19.888889,true,74,1.114286,true,24,11.000000,,,,11,,0,2000,-0.2176,
1,3,false,0,-1.000000,true,61,0.815152,true,17593,10.728667,true,212.84730529785156,0.032512,true,0.8810999989509583,0.072526,true,381,20.166667,true,99,1.828571,true,29,13.500000,16319,hunters,starved,10,16319,0,,,hunters starved
2,1,false,0,-1.000000,true,99,0.708824,false,0,-1.000000,false,226.0482940673828,-0.027492,true,0.8812999725341797,0.072316,true,394,20.888889,true,119,2.400000,false,0,-1.000000,7105,grazers,eaten,1,8361,0,,,grazers eaten
2,2,false,0,-1.000000,true,555,0.850000,true,17120,10.413333,true,210.39930725097656,0.043640,true,0.8802000284194946,0.073474,true,281,14.611111,true,84,1.400000,false,0,-1.000000,7541,hunters,starved,7,7541,0,,,hunters starved
2,3,false,0,-1.000000,true,525,0.839939,true,17222,10.481333,true,206.3433074951172,0.062076,true,0.8834999799728394,0.070000,true,321,16.833333,true,88,1.514286,false,0,-1.000000,9349,hunters,starved,9,9349,0,,,hunters starved
3,1,false,0,-1.000000,true,55,0.838235,true,16485,9.990000,true,211.40040588378906,0.039089,true,0.8812999725341797,0.072316,true,375,19.833333,true,122,2.485714,false,1,-0.500000,10002,hunters,starved,8,10002,0,,,hunters starved
3,2,false,0,-1.000000,true,53,0.834375,true,17316,10.544000,true,212.05050659179688,0.036134,true,0.8802000284194946,0.073474,true,362,19.111111,true,87,1.485714,false,0,-1.000000,8214,hunters,starved,6,8214,0,,,hunters starved
3,3,false,0,-1.000000,true,546,0.832000,true,16365,9.910000,true,210.03720092773438,0.045285,true,0.8805000185966492,0.073158,true,339,17.833333,true,95,1.714286,false,0,-1.000000,8407,hunters,starved,6,8407,0,,,hunters starved
4,1,false,0,-1.000000,true,596,0.832584,true,17761,10.840667,true,210.35780334472656,0.043828,true,0.8833000063896179,0.070211,true,293,15.277778,true,115,2.285714,false,0,-1.000000,8606,hunters,starved,7,8606,0,,,hunters starved
4,2,false,0,-1.000000,true,541,0.859845,true,15358,9.238667,true,219.4792938232422,0.002367,true,0.880299985408783,0.073368,true,390,20.666667,true,119,2.400000,false,0,-1.000000,6271,hunters,starved,7,6271,0,,,hunters starved
4,3,false,0,-1.000000,true,515,0.849854,true,15374,9.249333,true,206.9282989501953,0.059417,true,0.8809000253677368,0.072737,true,396,21.000000,true,121,2.457143,false,0,-1.000000,4955,hunters,starved,5,4955,0,,,hunters starved
5,1,false,0,-1.000000,true,583,0.839835,true,16462,9.974667,true,210.23289489746094,0.044396,true,0.880299985408783,0.073368,true,338,17.777778,true,124,2.542857,false,0,-1.000000,9828,hunters,starved,12,9828,0,,,hunters starved
5,2,false,0,-1.000000,true,539,0.858901,true,16973,10.315333,true,210.89190673828125,0.041400,true,0.8812000155448914,0.072421,true,381,20.166667,true,121,2.457143,false,0,-1.000000,5086,hunters,starved,8,5086,0,,,hunters starved
5,3,false,0,-1.000000,true,521,0.830844,true,14818,8.878667,true,209.7548065185547,0.046569,true,0.8830999732017517,0.070421,true,304,15.888889,true,80,1.285714,false,0,-1.000000,5778,hunters,starved,8,5778,0,,,hunters starved
