hunter.kill_energy,seed,no_extinction_pass,no_extinction_value,no_extinction_margin,max_10x_pass,max_10x_value,max_10x_margin,grazer_cycle_pass,grazer_cycle_value,grazer_cycle_margin,fertility_band_pass,fertility_band_value,fertility_band_margin,grass_band_pass,grass_band_value,grass_band_margin,tree_growth_pass,tree_growth_value,tree_growth_margin,mature_trees_10k_pass,mature_trees_10k_value,mature_trees_10k_margin,animals_10k_pass,animals_10k_value,animals_10k_margin,first_extinction_tick,first_extinction_species,first_extinction_dominant_cause,grazer_peaks,hunter_extinction_tick,hunter_immigrants,pp_lag,pp_corr,pp_undefined
20,1,false,0,-1.000000,true,78,0.770588,false,0,-1.000000,false,221.30960083007813,-0.005953,true,0.8838000297546387,0.069684,true,358,18.888889,true,108,2.085714,false,0,-1.000000,6773,grazers,eaten,0,7963,0,,,grazers eaten
20,2,false,0,-1.000000,true,550,0.849727,true,16638,10.092000,true,209.25079345703125,0.048860,true,0.8824999928474426,0.071053,true,352,18.555556,true,120,2.428571,false,0,-1.000000,8326,hunters,starved,7,8326,0,,,hunters starved
20,3,false,0,-1.000000,true,532,0.842604,true,17040,10.360000,true,209.80859375,0.046325,true,0.8812999725341797,0.072316,true,344,18.111111,true,98,1.800000,false,0,-1.000000,8082,hunters,starved,7,8082,0,,,hunters starved
30,1,false,0,-1.000000,true,95,0.720588,false,1173,-0.218000,false,225.3542022705078,-0.024337,true,0.8805000185966492,0.073158,true,374,19.777778,true,137,2.914286,false,0,-1.000000,6967,grazers,eaten,3,8025,0,,,grazers eaten
30,2,false,0,-1.000000,true,540,0.842105,true,17404,10.602667,true,212.6529998779297,0.033395,true,0.8810999989509583,0.072526,true,377,19.944444,true,117,2.342857,true,4,1.000000,14537,hunters,starved,11,14537,0,,,hunters starved
30,3,false,0,-1.000000,true,52,0.842424,true,17467,10.644667,true,211.01519775390625,0.040840,true,0.881600022315979,0.072000,true,383,20.277778,true,57,0.628571,true,28,13.000000,14355,hunters,starved,9,14355,0,,,hunters starved
40,1,false,0,-1.000000,true,116,0.658824,false,0,-1.000000,true,219.70339965820313,0.001348,true,0.8802000284194946,0.073474,true,359,18.944444,true,122,2.485714,false,0,-1.000000,8604,grazers,eaten,1,9814,0,,,grazers eaten
40,2,true,1,0.000000,true,60,0.828571,true,15756,9.504000,true,210.75360107421875,0.042029,true,0.8797000050544739,0.074000,true,376,19.888889,true,74,1.114286,true,24,11.000000,,,,11,,0,2000,-0.2176,
40,3,false,0,-1.000000,true,61,0.815152,true,17593,10.728667,true,212.84730529785156,0.032512,true,0.8810999989509583,0.072526,true,381,20.166667,true,99,1.828571,true,29,13.500000,16319,hunters,starved,10,16319,0,,,hunters starved
50,1,false,0,-1.000000,true,113,0.667647,false,697,-0.535333,true,218.41769409179688,0.007192,true,0.8812000155448914,0.072421,true,382,20.222222,true,100,1.857143,false,0,-1.000000,6845,grazers,eaten,2,8053,0,,,grazers eaten
50,2,false,0,-1.000000,true,62,0.822857,true,16872,10.248000,true,214.35450744628906,0.025661,true,0.8794999718666077,0.074211,true,297,15.500000,true,105,2.000000,true,5,1.500000,17889,hunters,starved,12,17889,0,,,hunters starved
50,3,true,1,0.000000,true,62,0.812121,true,17352,10.568000,true,215.3459014892578,0.021155,true,0.8822000026702881,0.071368,true,360,19.000000,true,112,2.200000,true,16,7.000000,,,,10,,0,2000,-0.5183,
60,1,false,0,-1.000000,true,117,0.655882,true,2932,0.954667,false,224.72560119628906,-0.021480,true,0.8827000260353088,0.070842,true,364,19.222222,true,137,2.914286,false,0,-1.000000,7347,grazers,eaten,3,8581,0,,,grazers eaten
60,2,true,1,0.000000,true,60,0.828571,true,16567,10.044667,true,214.0240020751953,0.027164,true,0.8790000081062317,0.074737,true,337,17.722222,true,78,1.228571,true,13,5.500000,,,,9,,0,2000,-0.3547,
60,3,true,1,0.000000,true,71,0.784848,true,16679,10.119333,true,212.34649658203125,0.034789,true,0.8799999952316284,0.073684,true,330,17.333333,true,89,1.542857,true,32,15.000000,,,,8,,0,2000,-0.5342,
70,1,false,0,-1.000000,true,118,0.652941,false,0,-1.000000,false,224.65330505371094,-0.021151,true,0.8822000026702881,0.071368,true,374,19.777778,true,113,2.228571,false,0,-1.000000,7163,grazers,eaten,1,8382,0,,,grazers eaten
70,2,true,17,16.000000,true,95,0.728571,true,17344,10.562667,true,210.7133026123047,0.042212,true,0.8813999891281128,0.072211,true,388,20.555556,true,118,2.371429,true,36,17.000000,,,,9,,0,2000,-0.2668,
70,3,false,0,-1.000000,true,87,0.736364,false,0,-1.000000,false,223.09559631347656,-0.014071,true,0.8801000118255615,0.073579,true,293,15.277778,true,88,1.514286,false,0,-1.000000,6876,grazers,eaten,1,8113,0,,,grazers eaten
80,1,false,0,-1.000000,true,118,0.652941,false,0,-1.000000,false,224.21299743652344,-0.019150,true,0.8802000284194946,0.073474,true,409,21.722222,true,133,2.800000,false,0,-1.000000,7927,grazers,eaten,1,9174,0,,,grazers eaten
80,2,true,2,1.000000,true,60,0.828571,true,16653,10.102000,true,215.11920166015625,0.022185,true,0.8788999915122986,0.074842,true,371,19.611111,true,144,3.114286,true,12,5.000000,,,,11,,0,2000,-0.1902,
80,3,true,1,0.000000,true,71,0.784848,true,14090,8.393333,true,208.2657928466797,0.053337,true,0.8816999793052673,0.071895,true,297,15.500000,true,96,1.742857,true,29,13.500000,,,,11,,0,2000,-0.5683,
