sweep,cell,first_extinction_tick,pp_lag,pp_corr,pp_period,pp_pass,undefined
handling_ticks,hunter.handling_ticks=0_s=1,7347,,,,false,"signature: undefined, grazers extinct at tick 7347 (dominant cause: eaten) pp_pass false"
handling_ticks,hunter.handling_ticks=0_s=2,32725,,,,false,"signature: undefined, hunters extinct at tick 32725 (dominant cause: starved) pp_pass false"
handling_ticks,hunter.handling_ticks=0_s=3,20779,,,,false,"signature: undefined, hunters extinct at tick 20779 (dominant cause: starved) pp_pass false"
handling_ticks,hunter.handling_ticks=25_s=1,8339,,,,false,"signature: undefined, grazers extinct at tick 8339 (dominant cause: eaten) pp_pass false"
handling_ticks,hunter.handling_ticks=25_s=2,20825,,,,false,"signature: undefined, hunters extinct at tick 20825 (dominant cause: starved) pp_pass false"
handling_ticks,hunter.handling_ticks=25_s=3,20985,,,,false,"signature: undefined, hunters extinct at tick 20985 (dominant cause: starved) pp_pass false"
handling_ticks,hunter.handling_ticks=50_s=1,9497,,,,false,"signature: undefined, grazers extinct at tick 9497 (dominant cause: eaten) pp_pass false"
handling_ticks,hunter.handling_ticks=50_s=2,20691,,,,false,"signature: undefined, hunters extinct at tick 20691 (dominant cause: starved) pp_pass false"
handling_ticks,hunter.handling_ticks=50_s=3,21498,,,,false,"signature: undefined, hunters extinct at tick 21498 (dominant cause: starved) pp_pass false"
handling_ticks,hunter.handling_ticks=75_s=1,25533,,,,false,"signature: undefined, hunters extinct at tick 25533 (dominant cause: starved) pp_pass false"
handling_ticks,hunter.handling_ticks=75_s=2,19535,,,,false,"signature: undefined, hunters extinct at tick 19535 (dominant cause: starved) pp_pass false"
handling_ticks,hunter.handling_ticks=75_s=3,23837,,,,false,"signature: undefined, hunters extinct at tick 23837 (dominant cause: old_age) pp_pass false"
handling_ticks,hunter.handling_ticks=100_s=1,31345,,,,false,"signature: undefined, hunters extinct at tick 31345 (dominant cause: old_age) pp_pass false"
handling_ticks,hunter.handling_ticks=100_s=2,41484,,,,false,"signature: undefined, hunters extinct at tick 41484 (dominant cause: starved) pp_pass false"
handling_ticks,hunter.handling_ticks=100_s=3,25585,,,,false,"signature: undefined, hunters extinct at tick 25585 (dominant cause: starved) pp_pass false"
handling_ticks,hunter.handling_ticks=125_s=1,10089,,,,false,"signature: undefined, grazers extinct at tick 10089 (dominant cause: eaten) pp_pass false"
handling_ticks,hunter.handling_ticks=125_s=2,33661,,,,false,"signature: undefined, hunters extinct at tick 33661 (dominant cause: starved) pp_pass false"
handling_ticks,hunter.handling_ticks=125_s=3,24796,,,,false,"signature: undefined, hunters extinct at tick 24796 (dominant cause: starved) pp_pass false"
handling_ticks,hunter.handling_ticks=150_s=1,27934,,,,false,"signature: undefined, hunters extinct at tick 27934 (dominant cause: old_age) pp_pass false"
handling_ticks,hunter.handling_ticks=150_s=2,18255,,,,false,"signature: undefined, hunters extinct at tick 18255 (dominant cause: starved) pp_pass false"
handling_ticks,hunter.handling_ticks=150_s=3,21348,,,,false,"signature: undefined, hunters extinct at tick 21348 (dominant cause: starved) pp_pass false"
handling_ticks,hunter.handling_ticks=175_s=1,9719,,,,false,"signature: undefined, grazers extinct at tick 9719 (dominant cause: eaten) pp_pass false"
handling_ticks,hunter.handling_ticks=175_s=2,41846,,,,false,"signature: undefined, hunters extinct at tick 41846 (dominant cause: starved) pp_pass false"
handling_ticks,hunter.handling_ticks=175_s=3,24032,,,,false,"signature: undefined, hunters extinct at tick 24032 (dominant cause: starved) pp_pass false"
handling_ticks,hunter.handling_ticks=200_s=1,,4000,0.5045,7300,false,
handling_ticks,hunter.handling_ticks=200_s=2,29975,,,,false,"signature: undefined, hunters extinct at tick 29975 (dominant cause: starved) pp_pass false"
handling_ticks,hunter.handling_ticks=200_s=3,27100,,,,false,"signature: undefined, hunters extinct at tick 27100 (dominant cause: starved) pp_pass false"
refractory,hunter.refractory=300_s=1,1450,,,,false,"signature: undefined, grazers extinct at tick 1450 (dominant cause: eaten) pp_pass false"
refractory,hunter.refractory=300_s=2,1424,,,,false,"signature: undefined, grazers extinct at tick 1424 (dominant cause: eaten) pp_pass false"
refractory,hunter.refractory=300_s=3,1430,,,,false,"signature: undefined, grazers extinct at tick 1430 (dominant cause: eaten) pp_pass false"
refractory,hunter.refractory=600_s=1,2675,,,,false,"signature: undefined, grazers extinct at tick 2675 (dominant cause: eaten) pp_pass false"
refractory,hunter.refractory=600_s=2,2585,,,,false,"signature: undefined, grazers extinct at tick 2585 (dominant cause: eaten) pp_pass false"
refractory,hunter.refractory=600_s=3,2720,,,,false,"signature: undefined, grazers extinct at tick 2720 (dominant cause: eaten) pp_pass false"
refractory,hunter.refractory=900_s=1,3834,,,,false,"signature: undefined, grazers extinct at tick 3834 (dominant cause: eaten) pp_pass false"
refractory,hunter.refractory=900_s=2,3963,,,,false,"signature: undefined, grazers extinct at tick 3963 (dominant cause: eaten) pp_pass false"
refractory,hunter.refractory=900_s=3,3732,,,,false,"signature: undefined, grazers extinct at tick 3732 (dominant cause: eaten) pp_pass false"
refractory,hunter.refractory=1200_s=1,4921,,,,false,"signature: undefined, grazers extinct at tick 4921 (dominant cause: eaten) pp_pass false"
refractory,hunter.refractory=1200_s=2,5196,,,,false,"signature: undefined, grazers extinct at tick 5196 (dominant cause: eaten) pp_pass false"
refractory,hunter.refractory=1200_s=3,5114,,,,false,"signature: undefined, grazers extinct at tick 5114 (dominant cause: eaten) pp_pass false"
refractory,hunter.refractory=1500_s=1,6287,,,,false,"signature: undefined, grazers extinct at tick 6287 (dominant cause: eaten) pp_pass false"
refractory,hunter.refractory=1500_s=2,7065,,,,false,"signature: undefined, grazers extinct at tick 7065 (dominant cause: eaten) pp_pass false"
refractory,hunter.refractory=1500_s=3,6479,,,,false,"signature: undefined, grazers extinct at tick 6479 (dominant cause: eaten) pp_pass false"
handling_x_cost,hunter.handling_ticks=25_hunter.hunt_cost=0.6_s=1,7390,,,,false,"signature: undefined, grazers extinct at tick 7390 (dominant cause: eaten) pp_pass false"
handling_x_cost,hunter.handling_ticks=25_hunter.hunt_cost=0.6_s=2,9127,,,,false,"signature: undefined, grazers extinct at tick 9127 (dominant cause: eaten) pp_pass false"
handling_x_cost,hunter.handling_ticks=25_hunter.hunt_cost=0.6_s=3,8531,,,,false,"signature: undefined, grazers extinct at tick 8531 (dominant cause: eaten) pp_pass false"
handling_x_cost,hunter.handling_ticks=25_hunter.hunt_cost=0.6_s=42,,-5700,0.5367,7550,false,
handling_x_cost,hunter.handling_ticks=25_hunter.hunt_cost=0.8_s=1,7150,,,,false,"signature: undefined, grazers extinct at tick 7150 (dominant cause: eaten) pp_pass false"
handling_x_cost,hunter.handling_ticks=25_hunter.hunt_cost=0.8_s=2,,-4750,0.5588,8250,false,
handling_x_cost,hunter.handling_ticks=25_hunter.hunt_cost=0.8_s=3,8607,,,,false,"signature: undefined, grazers extinct at tick 8607 (dominant cause: eaten) pp_pass false"
handling_x_cost,hunter.handling_ticks=25_hunter.hunt_cost=0.8_s=42,41375,,,,false,"signature: undefined, hunters extinct at tick 41375 (dominant cause: starved) pp_pass false"
handling_x_cost,hunter.handling_ticks=25_hunter.hunt_cost=1.0_s=1,8339,,,,false,"signature: undefined, grazers extinct at tick 8339 (dominant cause: eaten) pp_pass false"
handling_x_cost,hunter.handling_ticks=25_hunter.hunt_cost=1.0_s=2,20825,,,,false,"signature: undefined, hunters extinct at tick 20825 (dominant cause: starved) pp_pass false"
handling_x_cost,hunter.handling_ticks=25_hunter.hunt_cost=1.0_s=3,20985,,,,false,"signature: undefined, hunters extinct at tick 20985 (dominant cause: starved) pp_pass false"
