climate.rain_gradient,seed,no_extinction_pass,no_extinction_value,no_extinction_margin,max_10x_pass,max_10x_value,max_10x_margin,grazer_cycle_pass,grazer_cycle_value,grazer_cycle_margin,fertility_band_pass,fertility_band_value,fertility_band_margin,grass_band_pass,grass_band_value,grass_band_margin,tree_growth_pass,tree_growth_value,tree_growth_margin,mature_trees_10k_pass,mature_trees_10k_value,mature_trees_10k_margin,animals_10k_pass,animals_10k_value,animals_10k_margin,first_extinction_tick,first_extinction_species,first_extinction_dominant_cause,grazer_peaks,hunter_extinction_tick,hunter_immigrants,pp_lag,pp_corr,pp_undefined,pp_period,pp_pass
0.0,1,true,32,31.000000,true,158,0.506250,true,17305,10.536667,true,207.5229949951172,0.056714,true,0.8888000249862671,0.064421,true,1142,62.444444,true,281,7.028571,true,117,57.500000,,,,11,,0,-7550,0.4995,,2200,false
0.0,2,true,37,36.000000,true,128,0.654054,true,16615,10.076667,true,205.4438934326172,0.066164,true,0.8898000121116638,0.063368,true,1240,67.888889,true,344,8.828571,true,103,50.500000,,,,11,,0,8000,0.5537,,7800,false
0.0,3,true,36,35.000000,true,2005,0.645760,true,16521,10.014000,true,204.70440673828125,0.069525,true,0.890500009059906,0.062632,true,1330,72.888889,true,390,10.142857,true,61,29.500000,,,,10,,0,8000,0.4933,,5600,false
0.2,1,true,32,31.000000,true,157,0.509375,true,16651,10.100667,true,209.14100646972656,0.049359,true,0.8845999836921692,0.068842,true,944,51.444444,true,432,11.342857,true,129,63.500000,,,,12,,0,8000,0.8566,,12100,false
0.2,2,true,37,36.000000,true,145,0.608108,true,16808,10.205333,true,204.26519775390625,0.071522,true,0.8840000033378601,0.069474,true,1014,55.333333,true,405,10.571429,true,118,58.000000,,,,12,,0,3800,0.6062,,5050,false
0.2,3,true,36,35.000000,true,1418,0.559627,true,16885,10.256667,true,203.71380615234375,0.074028,true,0.8853999972343445,0.068000,true,1103,60.277778,true,460,12.142857,true,112,55.000000,,,,13,,0,8000,0.6596,,2450,false
0.4,1,true,32,31.000000,true,184,0.425000,true,16722,10.148000,true,204.5718994140625,0.070128,true,0.8590999841690063,0.095684,true,957,52.166667,true,441,11.600000,true,124,61.000000,,,,10,,0,8000,0.6051,,8300,false
0.4,2,true,37,36.000000,true,167,0.548649,true,16999,10.332667,true,201.66859436035156,0.083325,true,0.8608999848365784,0.093789,true,851,46.277778,true,409,10.685714,true,124,61.000000,,,,15,,0,4000,0.5172,,2750,false
0.4,3,true,34,33.000000,true,1402,0.581493,true,16939,10.292667,true,200.0876007080078,0.090511,true,0.8709999918937683,0.083158,true,979,53.388889,true,503,13.371429,true,112,55.000000,,,,14,,0,4250,0.4677,,5500,false
0.6,1,true,32,31.000000,true,193,0.396875,true,17014,10.342667,true,198.54269409179688,0.097533,true,0.8597000241279602,0.095053,true,873,47.500000,true,424,11.114286,true,140,69.000000,,,,11,,0,6100,0.7652,,10500,false
0.6,2,true,37,36.000000,true,168,0.545946,true,17251,10.500667,true,194.58200073242188,0.115536,true,0.8686000108718872,0.085684,true,894,48.666667,true,441,11.600000,true,124,61.000000,,,,14,,0,3750,0.5773,,5500,false
0.6,3,true,36,35.000000,true,1250,0.614198,true,15430,9.286667,true,193.59970092773438,0.120001,true,0.8700000047683716,0.084211,true,978,53.333333,true,505,13.428571,true,117,57.500000,,,,10,,0,-4850,0.2984,,8250,false
0.8,1,true,32,31.000000,true,191,0.403125,true,16905,10.270000,true,192.2427978515625,0.126169,true,0.854200005531311,0.100842,true,834,45.333333,true,394,10.257143,true,134,66.000000,,,,11,,0,8000,0.6137,,9700,false
0.8,2,true,37,36.000000,true,175,0.527027,true,16906,10.270667,true,188.131103515625,0.144859,true,0.847599983215332,0.107789,true,827,44.944444,true,414,10.828571,true,105,51.500000,,,,14,,0,-6750,0.3705,,2750,false
0.8,3,true,36,35.000000,true,1225,0.562500,true,17068,10.378667,true,189.1761016845703,0.140109,true,0.8561999797821045,0.098737,true,965,52.611111,true,506,13.457143,true,93,45.500000,,,,13,,0,8000,0.5065,,2450,false
1.0,1,true,32,31.000000,true,160,0.500000,true,15511,9.340667,true,189.460205078125,0.138817,true,0.7595000267028809,0.200526,true,834,45.333333,true,431,11.314286,true,140,69.000000,,,,10,,0,4000,0.5720,,2750,false
1.0,2,true,36,35.000000,true,181,0.497222,true,17505,10.670000,true,181.656494140625,0.174289,true,0.7542999982833862,0.206000,true,839,45.611111,true,422,11.057143,true,115,56.500000,,,,13,,0,950,0.5040,,2750,true
1.0,3,true,36,35.000000,true,1186,0.608581,true,17724,10.816000,true,178.77740478515625,0.187375,true,0.7669000029563904,0.192737,true,945,51.500000,true,496,13.171429,true,67,32.500000,,,,12,,0,4000,0.5533,,9750,true
