hunter.immigration_floor,seed,no_extinction_pass,no_extinction_value,no_extinction_margin,max_10x_pass,max_10x_value,max_10x_margin,grazer_cycle_pass,grazer_cycle_value,grazer_cycle_margin,fertility_band_pass,fertility_band_value,fertility_band_margin,grass_band_pass,grass_band_value,grass_band_margin,tree_growth_pass,tree_growth_value,tree_growth_margin,mature_trees_10k_pass,mature_trees_10k_value,mature_trees_10k_margin,animals_10k_pass,animals_10k_value,animals_10k_margin,first_extinction_tick,grazer_peaks,hunter_extinction_tick,hunter_immigrants
0,1,true,1,0.000000,true,3530,0.792231,true,16245,9.830000,true,196.17239379882813,0.108307,true,0.8712000250816345,0.082947,true,313,16.388889,true,108,2.085714,true,32,15.000000,,11,,0
0,2,false,0,-1.000000,true,2607,0.842287,true,16354,9.902667,true,196.96890258789063,0.104687,true,0.8680999875068665,0.086211,true,403,21.388889,true,127,2.628571,true,12,5.000000,18109,9,18109,0
0,3,false,0,-1.000000,true,3411,0.779366,true,9964,5.642667,true,192.6905059814453,0.124134,true,0.8733999729156494,0.080632,true,365,19.277778,true,107,2.057143,true,23,10.500000,18355,5,18355,0
4,1,true,1,0.000000,true,3530,0.792231,true,16203,9.802000,true,196.17239379882813,0.108307,true,0.8712000250816345,0.082947,true,296,15.444444,true,108,2.085714,true,32,15.000000,,11,,2
4,2,true,3,2.000000,true,2607,0.842287,true,16458,9.972000,true,196.72390747070313,0.105800,true,0.8680999875068665,0.086211,true,419,22.277778,true,127,2.628571,true,12,5.000000,,11,,2
4,3,true,2,1.000000,true,3411,0.779366,true,15270,9.180000,true,192.03219604492188,0.127126,true,0.8733999729156494,0.080632,true,342,18.000000,true,107,2.057143,true,23,10.500000,,9,,5
8,1,true,4,3.000000,true,3530,0.792231,true,16409,9.939333,true,197.1519012451172,0.103855,true,0.8712000250816345,0.082947,true,281,14.611111,true,108,2.085714,true,32,15.000000,,11,,6
8,2,true,2,1.000000,true,2607,0.842287,true,16508,10.005333,true,194.4221954345703,0.116263,true,0.8680999875068665,0.086211,true,429,22.833333,true,127,2.628571,true,12,5.000000,,11,,10
8,3,true,1,0.000000,true,3411,0.779366,true,15270,9.180000,true,190.5050048828125,0.134068,true,0.8733999729156494,0.080632,true,290,15.111111,true,107,2.057143,true,23,10.500000,,9,,11
12,1,true,9,8.000000,true,3530,0.792231,true,15969,9.646000,true,193.7969970703125,0.119105,true,0.8712000250816345,0.082947,true,266,13.777778,true,108,2.085714,true,32,15.000000,,10,,7
12,2,true,9,8.000000,true,2607,0.842287,true,16508,10.005333,true,192.94650268554688,0.122970,true,0.8680999875068665,0.086211,true,400,21.222222,true,127,2.628571,true,12,5.000000,,10,,9
12,3,true,6,5.000000,true,3411,0.779366,true,15270,9.180000,true,190.16380310058594,0.135619,true,0.8733999729156494,0.080632,true,331,17.388889,true,107,2.057143,true,23,10.500000,,8,,13
16,1,true,11,10.000000,true,3530,0.792231,true,16409,9.939333,true,195.14480590820313,0.112978,true,0.8712000250816345,0.082947,true,304,15.888889,true,108,2.085714,true,32,15.000000,,9,,10
16,2,true,5,4.000000,true,2607,0.842287,true,16508,10.005333,true,195.39129638671875,0.111858,true,0.8680999875068665,0.086211,true,406,21.555556,true,125,2.571429,true,10,4.000000,,11,,22
16,3,true,4,3.000000,true,3411,0.779366,true,15270,9.180000,true,188.0023956298828,0.145444,true,0.8733999729156494,0.080632,true,348,18.333333,true,107,2.057143,true,23,10.500000,,10,,15
