grazer.energy_cost,seed,no_extinction_pass,no_extinction_value,no_extinction_margin,max_10x_pass,max_10x_value,max_10x_margin,grazer_cycle_pass,grazer_cycle_value,grazer_cycle_margin,fertility_band_pass,fertility_band_value,fertility_band_margin,grass_band_pass,grass_band_value,grass_band_margin,tree_growth_pass,tree_growth_value,tree_growth_margin,mature_trees_10k_pass,mature_trees_10k_value,mature_trees_10k_margin,animals_10k_pass,animals_10k_value,animals_10k_margin,first_extinction_tick,grazer_peaks,hunter_extinction_tick,hunter_immigrants
0.04,1,true,29,28.000000,true,4312,0.722701,true,12677,7.451333,true,214.03370666503906,0.027120,true,0.8877999782562256,0.065474,true,418,22.222222,true,144,3.114286,true,42,20.000000,,8,,0
0.04,2,true,26,25.000000,true,3621,0.767437,true,13175,7.783333,true,211.98179626464844,0.036446,true,0.8883000016212463,0.064947,true,389,20.611111,true,139,2.971429,true,43,20.500000,,7,,0
0.04,3,true,24,23.000000,true,4498,0.727394,true,11858,6.905333,true,209.3636932373047,0.048347,true,0.8863999843597412,0.066947,true,296,15.444444,true,110,2.142857,true,43,20.500000,,6,,0
0.06,1,true,29,28.000000,true,4391,0.740638,true,13880,8.253333,true,210.4633026123047,0.043349,true,0.8795999884605408,0.074105,true,385,20.388889,true,123,2.514286,true,43,20.500000,,6,,0
0.06,2,true,26,25.000000,true,3832,0.738787,true,14556,8.704000,true,205.0236053466797,0.068075,true,0.8828999996185303,0.070632,true,415,22.055556,true,118,2.371429,true,43,20.500000,,6,,0
0.06,3,true,24,23.000000,true,4109,0.736771,true,13720,8.146667,true,202.39649963378906,0.080016,true,0.8806999921798706,0.072947,true,366,19.333333,true,102,1.914286,true,43,20.500000,,8,,0
0.08,1,true,29,28.000000,true,3970,0.762275,true,14112,8.408000,true,202.40199279785156,0.079991,true,0.8777999877929688,0.076000,true,286,14.888889,true,98,1.800000,true,42,20.000000,,10,,0
0.08,2,true,26,25.000000,true,3891,0.759220,true,13830,8.220000,true,196.29690551757813,0.107741,true,0.8762999773025513,0.077579,true,372,19.666667,true,130,2.714286,true,42,20.000000,,6,,0
0.08,3,true,24,23.000000,true,3295,0.796228,true,15005,9.003333,true,200.03439331054688,0.090753,true,0.8765000104904175,0.077368,true,369,19.500000,true,109,2.114286,true,42,20.000000,,8,,0
0.10,1,true,29,28.000000,true,59,0.796552,true,16373,9.915333,true,202.3800048828125,0.080091,true,0.8709999918937683,0.083158,true,338,17.777778,true,125,2.571429,true,43,20.500000,,8,,0
0.10,2,true,26,25.000000,true,55,0.788462,true,16327,9.884667,true,199.41220092773438,0.093581,true,0.8744999766349792,0.079474,true,373,19.722222,true,126,2.600000,true,44,21.000000,,11,,0
0.10,3,true,24,23.000000,true,3968,0.761108,true,14571,8.714000,true,192.99510192871094,0.122750,true,0.8695999979972839,0.084632,true,304,15.888889,true,86,1.457143,true,43,20.500000,,8,,0
0.12,1,true,29,28.000000,true,3822,0.760976,true,14730,8.820000,true,195.635498046875,0.110748,true,0.8669999837875366,0.087368,true,353,18.611111,true,123,2.514286,true,43,20.500000,,11,,0
0.12,2,true,26,25.000000,true,55,0.788462,true,16192,9.794667,true,197.71270751953125,0.101306,true,0.8686000108718872,0.085684,true,389,20.611111,true,125,2.571429,true,44,21.000000,,9,,0
0.12,3,true,24,23.000000,true,48,0.800000,true,16848,10.232000,true,194.335693359375,0.116656,true,0.8636000156402588,0.090947,true,310,16.222222,true,92,1.628571,true,43,20.500000,,10,,0
0.14,1,true,29,28.000000,true,60,0.793103,true,15716,9.477333,true,190.1190948486328,0.135822,true,0.86080002784729,0.093895,true,376,19.888889,true,118,2.371429,true,43,20.500000,,10,,0
0.14,2,true,26,25.000000,true,54,0.792308,true,16309,9.872667,true,189.33030700683594,0.139408,true,0.8621000051498413,0.092526,true,369,19.500000,true,122,2.485714,true,44,21.000000,,11,,0
0.14,3,true,24,23.000000,true,48,0.800000,true,16387,9.924667,true,185.51559448242188,0.156747,true,0.862500011920929,0.092105,true,363,19.166667,true,104,1.971429,true,43,20.500000,,13,,0
0.16,1,true,29,28.000000,true,60,0.793103,true,17034,10.356000,true,199.9499969482422,0.091136,true,0.8565000295639038,0.098421,true,444,23.666667,true,144,3.114286,true,42,20.000000,,10,,0
0.16,2,true,26,25.000000,true,54,0.792308,true,16468,9.978667,true,191.14939880371094,0.131139,true,0.8597999811172485,0.094947,true,411,21.833333,true,139,2.971429,true,44,21.000000,,11,,0
0.16,3,true,24,23.000000,true,48,0.800000,true,16397,9.931333,true,190.7928009033203,0.132760,true,0.8611000180244446,0.093579,true,342,18.000000,true,97,1.771429,true,43,20.500000,,11,,0
