hunter.kill_prob,seed,no_extinction_pass,no_extinction_value,no_extinction_margin,max_10x_pass,max_10x_value,max_10x_margin,grazer_cycle_pass,grazer_cycle_value,grazer_cycle_margin,fertility_band_pass,fertility_band_value,fertility_band_margin,grass_band_pass,grass_band_value,grass_band_margin,tree_growth_pass,tree_growth_value,tree_growth_margin,mature_trees_10k_pass,mature_trees_10k_value,mature_trees_10k_margin,animals_10k_pass,animals_10k_value,animals_10k_margin,first_extinction_tick,grazer_peaks,hunter_extinction_tick,hunter_immigrants
0.1,1,true,4,3.000000,true,60,0.793103,true,17228,10.485333,true,199.47369384765625,0.093301,true,0.8741999864578247,0.079789,true,395,20.944444,true,140,3.000000,true,33,15.500000,,6,,10
0.1,2,true,6,5.000000,true,549,0.850000,true,17465,10.643333,true,196.82989501953125,0.105319,true,0.8702999949455261,0.083895,true,341,17.944444,true,94,1.685714,true,8,3.000000,,8,,12
0.1,3,true,4,3.000000,true,524,0.834177,true,16674,10.116000,true,196.87510681152344,0.105113,true,0.8773000240325928,0.076526,true,349,18.388889,true,97,1.771429,true,12,5.000000,,8,,16
0.2,1,true,29,28.000000,true,58,0.800000,true,15523,9.348667,true,202.41659545898438,0.079925,true,0.8676999807357788,0.086632,true,359,18.944444,true,111,2.171429,true,42,20.000000,,12,,0
0.2,2,true,26,25.000000,true,52,0.800000,true,15246,9.164000,true,191.1407928466797,0.131178,true,0.8687999844551086,0.085474,true,336,17.666667,true,126,2.600000,true,36,17.000000,,9,,0
0.2,3,true,24,23.000000,true,48,0.800000,true,15440,9.293333,true,191.63369750976563,0.128938,true,0.8701000213623047,0.084105,true,305,15.944444,true,94,1.685714,true,42,20.000000,,7,,0
0.3,1,true,29,28.000000,true,59,0.796552,true,16373,9.915333,true,202.3800048828125,0.080091,true,0.8709999918937683,0.083158,true,338,17.777778,true,125,2.571429,true,43,20.500000,,8,,0
0.3,2,true,26,25.000000,true,55,0.788462,true,16327,9.884667,true,199.41220092773438,0.093581,true,0.8744999766349792,0.079474,true,373,19.722222,true,126,2.600000,true,44,21.000000,,11,,0
0.3,3,true,24,23.000000,true,3968,0.761108,true,14571,8.714000,true,192.99510192871094,0.122750,true,0.8695999979972839,0.084632,true,304,15.888889,true,86,1.457143,true,43,20.500000,,8,,0
0.4,1,true,29,28.000000,true,3823,0.782784,true,14989,8.992667,true,202.69540405273438,0.078657,true,0.867900013923645,0.086421,true,348,18.333333,true,139,2.971429,true,43,20.500000,,8,,0
0.4,2,true,26,25.000000,true,55,0.788462,true,15822,9.548000,true,196.8520050048828,0.105218,true,0.8733000159263611,0.080737,true,376,19.888889,true,130,2.714286,true,44,21.000000,,8,,0
0.4,3,true,24,23.000000,true,4152,0.725941,true,16157,9.771333,true,193.54510498046875,0.120250,true,0.875,0.078947,true,326,17.111111,true,100,1.857143,true,42,20.000000,,8,,0
0.5,1,true,29,28.000000,true,3861,0.764573,true,16150,9.766667,true,202.5084991455078,0.079507,true,0.8708000183105469,0.083368,true,395,20.944444,true,120,2.428571,true,43,20.500000,,8,,0
0.5,2,true,26,25.000000,true,3404,0.773369,true,13936,8.290667,true,197.11610412597656,0.104018,true,0.8723000288009644,0.081789,true,372,19.666667,true,103,1.942857,true,44,21.000000,,7,,0
0.5,3,true,24,23.000000,true,3347,0.789629,true,15730,9.486667,true,195.19970703125,0.112729,true,0.8720999956130981,0.082000,true,342,18.000000,true,93,1.657143,true,43,20.500000,,11,,0
