season.amplitude,seed,no_extinction_pass,no_extinction_value,no_extinction_margin,max_10x_pass,max_10x_value,max_10x_margin,grazer_cycle_pass,grazer_cycle_value,grazer_cycle_margin,fertility_band_pass,fertility_band_value,fertility_band_margin,grass_band_pass,grass_band_value,grass_band_margin,tree_growth_pass,tree_growth_value,tree_growth_margin,mature_trees_10k_pass,mature_trees_10k_value,mature_trees_10k_margin,animals_10k_pass,animals_10k_value,animals_10k_margin,first_extinction_tick,grazer_peaks,hunter_extinction_tick,hunter_immigrants
0,1,true,29,28.000000,true,60,0.793103,true,15293,9.195333,false,237.58819580078125,-0.079946,true,0.873199999332428,0.080842,true,626,33.777778,true,429,11.257143,true,43,20.500000,,10,,0
0,2,true,26,25.000000,true,3276,0.786301,true,13433,7.955333,false,233.52420043945313,-0.061474,true,0.8723000288009644,0.081789,true,570,30.666667,true,401,10.457143,true,43,20.500000,,9,,0
0,3,true,24,23.000000,true,3809,0.761191,true,14721,8.814000,false,234.70359802246094,-0.066835,true,0.8733000159263611,0.080737,true,562,30.222222,true,384,9.971429,true,43,20.500000,,8,,0
3,1,true,29,28.000000,true,3408,0.785390,true,15085,9.056667,false,232.10049438476563,-0.055002,true,0.873199999332428,0.080842,true,607,32.722222,true,444,11.685714,true,42,20.000000,,9,,0
3,2,true,26,25.000000,true,3276,0.786301,true,13433,7.955333,false,231.05479431152344,-0.050249,true,0.8723000288009644,0.081789,true,570,30.666667,true,401,10.457143,true,43,20.500000,,9,,0
3,3,true,24,23.000000,true,3861,0.757931,true,14132,8.421333,false,232.50030517578125,-0.056820,true,0.8733000159263611,0.080737,true,572,30.777778,true,418,10.942857,true,43,20.500000,,8,,0
6,1,true,29,28.000000,true,3589,0.773992,true,14747,8.831333,false,232.88429260253906,-0.058565,true,0.873199999332428,0.080842,true,602,32.444444,true,421,11.028571,true,43,20.500000,,7,,0
6,2,true,26,25.000000,true,52,0.800000,true,15046,9.030667,false,226.73519897460938,-0.030615,true,0.8723000288009644,0.081789,true,597,32.166667,true,411,10.742857,true,38,18.000000,,8,,0
6,3,true,24,23.000000,true,3655,0.770846,true,15109,9.072667,false,225.3000946044922,-0.024091,true,0.8733000159263611,0.080737,true,556,29.888889,true,396,10.314286,true,42,20.000000,,8,,0
9,1,true,29,28.000000,true,4039,0.745655,true,14581,8.720667,false,223.96240234375,-0.018011,true,0.873199999332428,0.080842,true,598,32.222222,true,439,11.542857,true,40,19.000000,,8,,0
9,2,true,26,25.000000,true,3399,0.778278,true,15474,9.316000,false,221.16900634765625,-0.005314,true,0.8723000288009644,0.081789,true,594,32.000000,true,402,10.485714,true,44,21.000000,,9,,0
9,3,true,24,23.000000,true,3752,0.764765,true,14644,8.762667,false,225.8070068359375,-0.026395,true,0.8733000159263611,0.080737,true,551,29.611111,true,377,9.771429,true,40,19.000000,,9,,0
12,1,true,29,28.000000,true,60,0.793103,true,14865,8.910000,true,213.67340087890625,0.028757,true,0.873199999332428,0.080842,true,545,29.277778,true,351,9.028571,true,43,20.500000,,8,,0
12,2,true,26,25.000000,true,3460,0.774299,true,14611,8.740667,true,204.17059326171875,0.071952,true,0.8723000288009644,0.081789,true,507,27.166667,true,329,8.400000,true,42,20.000000,,7,,0
12,3,true,24,23.000000,true,3764,0.764013,true,14966,8.977333,true,207.9174041748047,0.054921,true,0.8733000159263611,0.080737,true,524,28.111111,true,306,7.742857,true,43,20.500000,,9,,0
15,1,true,29,28.000000,true,59,0.796552,true,16373,9.915333,true,202.3800048828125,0.080091,true,0.8709999918937683,0.083158,true,338,17.777778,true,125,2.571429,true,43,20.500000,,8,,0
15,2,true,26,25.000000,true,55,0.788462,true,16327,9.884667,true,199.41220092773438,0.093581,true,0.8744999766349792,0.079474,true,373,19.722222,true,126,2.600000,true,44,21.000000,,11,,0
15,3,true,24,23.000000,true,3968,0.761108,true,14571,8.714000,true,192.99510192871094,0.122750,true,0.8695999979972839,0.084632,true,304,15.888889,true,86,1.457143,true,43,20.500000,,8,,0
18,1,true,29,28.000000,true,4581,0.719817,true,14167,8.444667,true,185.48089599609375,0.156905,true,0.8740000128746033,0.080000,true,171,8.500000,true,75,1.142857,true,43,20.500000,,10,,0
18,2,true,26,25.000000,true,55,0.788462,true,15850,9.566667,true,192.24249267578125,0.126170,true,0.8751999735832214,0.078737,true,308,16.111111,true,72,1.057143,true,44,21.000000,,9,,0
18,3,true,24,23.000000,true,3527,0.786888,true,16609,10.072667,true,179.79420471191406,0.182754,true,0.8725000023841858,0.081579,true,264,13.666667,true,65,0.857143,true,43,20.500000,,11,,0
