tree.crowding_mortality,seed,no_extinction_pass,no_extinction_value,no_extinction_margin,max_10x_pass,max_10x_value,max_10x_margin,grazer_cycle_pass,grazer_cycle_value,grazer_cycle_margin,fertility_band_pass,fertility_band_value,fertility_band_margin,grass_band_pass,grass_band_value,grass_band_margin,tree_growth_pass,tree_growth_value,tree_growth_margin,mature_trees_10k_pass,mature_trees_10k_value,mature_trees_10k_margin,animals_10k_pass,animals_10k_value,animals_10k_margin,first_extinction_tick,grazer_peaks,hunter_extinction_tick,hunter_immigrants
0.00,1,true,29,28.000000,true,60,0.793103,true,16592,10.061333,true,196.5576934814453,0.106556,true,0.8709999918937683,0.083158,true,365,19.277778,true,136,2.885714,true,43,20.500000,,9,,0
0.00,2,true,26,25.000000,true,54,0.792308,true,16028,9.685333,true,196.52000427246094,0.106727,true,0.8747000098228455,0.079263,true,358,18.888889,true,104,1.971429,true,44,21.000000,,10,,0
0.00,3,true,24,23.000000,true,48,0.800000,true,15988,9.658667,true,193.54190063476563,0.120264,true,0.8738999962806702,0.080105,true,268,13.888889,true,85,1.428571,true,43,20.500000,,12,,0
0.01,1,true,29,28.000000,true,4077,0.765285,true,14701,8.800667,true,196.77859497070313,0.105552,true,0.8709999918937683,0.083158,true,348,18.333333,true,145,3.142857,true,43,20.500000,,12,,0
0.01,2,true,26,25.000000,true,3976,0.718812,true,14025,8.350000,true,188.0225067138672,0.145352,true,0.8744999766349792,0.079474,true,411,21.833333,true,128,2.657143,true,41,19.500000,,7,,0
0.01,3,true,24,23.000000,true,3535,0.787176,true,14747,8.831333,true,194.0299072265625,0.118046,true,0.8695999979972839,0.084632,true,390,20.666667,true,94,1.685714,true,43,20.500000,,9,,0
0.02,1,true,29,28.000000,true,59,0.796552,true,16373,9.915333,true,202.3800048828125,0.080091,true,0.8709999918937683,0.083158,true,338,17.777778,true,125,2.571429,true,43,20.500000,,8,,0
0.02,2,true,26,25.000000,true,55,0.788462,true,16327,9.884667,true,199.41220092773438,0.093581,true,0.8744999766349792,0.079474,true,373,19.722222,true,126,2.600000,true,44,21.000000,,11,,0
0.02,3,true,24,23.000000,true,3968,0.761108,true,14571,8.714000,true,192.99510192871094,0.122750,true,0.8695999979972839,0.084632,true,304,15.888889,true,86,1.457143,true,43,20.500000,,8,,0
0.03,1,true,29,28.000000,true,4016,0.768797,true,14833,8.888667,true,202.38600158691406,0.080064,true,0.8709999918937683,0.083158,true,362,19.111111,true,144,3.114286,true,42,20.000000,,9,,0
0.03,2,true,26,25.000000,true,54,0.792308,true,15283,9.188667,true,203.4748992919922,0.075114,true,0.8744999766349792,0.079474,true,349,18.388889,true,121,2.457143,true,43,20.500000,,10,,0
0.03,3,true,24,23.000000,true,48,0.800000,true,14531,8.687333,true,191.44239807128906,0.129807,true,0.8695999979972839,0.084632,true,356,18.777778,true,102,1.914286,true,42,20.000000,,8,,0
0.04,1,true,29,28.000000,true,3680,0.788140,true,14868,8.912000,true,203.14630126953125,0.076608,true,0.8709999918937683,0.083158,true,355,18.722222,true,109,2.114286,true,42,20.000000,,7,,0
0.04,2,true,26,25.000000,true,55,0.788462,true,15447,9.298000,true,200.7667999267578,0.087424,true,0.8744999766349792,0.079474,true,387,20.500000,true,119,2.400000,true,44,21.000000,,11,,0
0.04,3,true,24,23.000000,true,48,0.800000,true,15490,9.326667,true,194.16400146484375,0.117436,true,0.8695999979972839,0.084632,true,321,16.833333,true,81,1.314286,true,43,20.500000,,7,,0
0.05,1,true,29,28.000000,true,3917,0.774496,true,16274,9.849333,true,207.6649932861328,0.056068,true,0.8709999918937683,0.083158,true,330,17.333333,true,124,2.542857,true,43,20.500000,,10,,0
0.05,2,true,26,25.000000,true,53,0.796154,true,15921,9.614000,true,203.5478057861328,0.074783,true,0.8744999766349792,0.079474,true,391,20.722222,true,114,2.257143,true,42,20.000000,,9,,0
0.05,3,true,24,23.000000,true,3778,0.772547,true,14916,8.944000,true,198.80880737304688,0.096324,true,0.8695999979972839,0.084632,true,339,17.833333,true,92,1.628571,true,43,20.500000,,9,,0
