tree.mature_age,seed,no_extinction_pass,no_extinction_value,no_extinction_margin,max_10x_pass,max_10x_value,max_10x_margin,grazer_cycle_pass,grazer_cycle_value,grazer_cycle_margin,fertility_band_pass,fertility_band_value,fertility_band_margin,grass_band_pass,grass_band_value,grass_band_margin,tree_growth_pass,tree_growth_value,tree_growth_margin,mature_trees_10k_pass,mature_trees_10k_value,mature_trees_10k_margin,animals_10k_pass,animals_10k_value,animals_10k_margin,first_extinction_tick,grazer_peaks,hunter_extinction_tick,hunter_immigrants
500,1,true,29,28.000000,true,3619,0.770368,true,16843,10.228667,true,196.98910522460938,0.104595,true,0.8489000201225281,0.106421,true,420,22.333333,true,201,4.742857,true,43,20.500000,,10,,0
500,2,true,26,25.000000,true,54,0.792308,true,15910,9.606667,true,197.25709533691406,0.103377,true,0.8425999879837036,0.113053,true,381,20.166667,true,151,3.314286,true,44,21.000000,,9,,0
500,3,true,24,23.000000,true,3768,0.770104,true,14029,8.352667,true,196.77670288085938,0.105560,true,0.8407999873161316,0.114947,true,392,20.777778,true,175,4.000000,true,43,20.500000,,9,,0
1000,1,true,29,28.000000,true,59,0.796552,true,16373,9.915333,true,202.3800048828125,0.080091,true,0.8709999918937683,0.083158,true,338,17.777778,true,125,2.571429,true,43,20.500000,,8,,0
1000,2,true,26,25.000000,true,55,0.788462,true,16327,9.884667,true,199.41220092773438,0.093581,true,0.8744999766349792,0.079474,true,373,19.722222,true,126,2.600000,true,44,21.000000,,11,,0
1000,3,true,24,23.000000,true,3968,0.761108,true,14571,8.714000,true,192.99510192871094,0.122750,true,0.8695999979972839,0.084632,true,304,15.888889,true,86,1.457143,true,43,20.500000,,8,,0
1500,1,true,29,28.000000,true,543,0.736408,true,13761,8.174000,true,208.3632049560547,0.052895,true,0.8766999840736389,0.077158,true,317,16.611111,true,93,1.657143,true,43,20.500000,,8,,0
1500,2,true,26,25.000000,true,566,0.733019,true,13419,7.946000,true,192.24249267578125,0.126170,true,0.8791999816894531,0.074526,true,249,12.833333,true,77,1.200000,true,43,20.500000,,9,,0
1500,3,true,24,23.000000,true,524,0.728497,true,12856,7.570667,true,184.91310119628906,0.159486,true,0.8773000240325928,0.076526,true,294,15.333333,true,74,1.114286,true,43,20.500000,,9,,0
2000,1,true,29,28.000000,true,561,0.686592,true,16609,10.072667,true,204.95260620117188,0.068397,true,0.880299985408783,0.073368,true,315,16.500000,true,77,1.200000,true,43,20.500000,,6,,0
2000,2,true,26,25.000000,true,3858,0.753009,true,13051,7.700667,true,193.58279418945313,0.120078,true,0.8787999749183655,0.074947,true,243,12.500000,true,52,0.485714,true,44,21.000000,,7,,0
2000,3,true,24,23.000000,true,451,0.768718,true,16411,9.940667,true,191.9759063720703,0.127382,true,0.8776999711990356,0.076105,true,356,18.777778,true,55,0.571429,true,43,20.500000,,7,,0
2500,1,true,12,11.000000,true,511,0.450538,true,13965,8.310000,true,203.40069580078125,0.075451,true,0.8794000148773193,0.074316,true,397,21.055556,true,52,0.485714,true,43,20.500000,,8,,0
2500,2,true,12,11.000000,true,471,0.493548,true,12136,7.090667,true,187.326904296875,0.148514,true,0.8791999816894531,0.074526,true,283,14.722222,true,47,0.342857,true,44,21.000000,,9,,0
2500,3,true,12,11.000000,true,438,0.523913,true,15284,9.189333,true,189.0666961669922,0.140606,true,0.8801000118255615,0.073579,true,315,16.500000,true,45,0.285714,true,42,20.000000,,7,,0
