run,trees_end,trees_mean_last2y,trees_min,grazers_end,hunters_end,soil_water_winter_mm,soil_water_summer_mm,drainage_mm_total,tree_deaths,tree_drought,tree_crowded,tree_burnt,tree_old_age,tree_extinct,grazer_extinct,hunter_extinct
d0-s1,572,781.9,12,1725,110,105.88,75.99,1837.2,4200,618,2245,1157,180,,,
d0-s2,782,700.4,12,2380,146,106.81,81.38,1707.9,2960,683,1855,261,161,,,
d0-s3,901,1024.3,12,2763,62,120.68,99.27,1756.8,4055,475,3087,209,284,,,
d0.25-s1,666,804.2,12,1459,116,103.96,75.08,1703.4,3798,707,2140,778,173,,,
d0.25-s2,647,554.4,12,2389,199,112.1,89.15,1636.1,1976,122,1674,24,156,,,
d0.25-s3,1036,1025.9,12,2726,66,115.33,89.57,1656.5,4111,713,2917,219,262,,,
d0.5-s1,182,303.2,12,1758,98,103.59,75.4,1952.6,3301,1170,1385,676,70,,,
d0.5-s2,658,551.7,11,2374,170,105.69,86.33,1461.6,1908,120,1523,89,176,,,
d0.5-s3,924,776.2,12,2733,58,115.84,90.85,1805.6,3193,436,2398,150,209,,,
d0.75-s1,503,574.5,12,1341,128,103.88,88.82,1822.7,2187,456,1531,73,127,,,
d0.75-s2,0,0.0,0,2150,207,108.23,87.62,1888.3,25,25,0,0,0,1600,,
d0.75-s3,277,493.9,12,3020,68,119.83,88.83,1657.1,2652,258,1542,714,138,,,
d1-s1,797,675.5,12,1667,116,103.1,85.3,1757.0,3193,1381,1574,126,112,,,
d1-s2,0,0.0,0,2462,196,107.25,85.04,1497.6,25,25,0,0,0,1650,,
d1-s3,889,702.1,12,2746,67,121.39,91.15,1678.5,3141,757,1968,257,159,,,
cap-d0,1522,1715.3,77,0,0,96.4,72.52,1546.4,10324,3314,3682,3144,184,,,
cap-d0.5,3207,3220.9,79,0,0,94.86,74.12,1466.2,14679,5638,7189,1464,388,,,
cap-d1,1690,1596.0,40,0,0,94.18,83.66,1517.9,7234,3242,3312,519,161,,,
