tick,grazers,hunters,trees,grass_mean,shrub_mean,moisture_mean,fertility_mean,detritus_total,temperature,hunter_immigrants,grazer_starved,grazer_eaten,grazer_old_age,grazer_crowded,grazer_burnt,hunter_starved,hunter_eaten,hunter_old_age,hunter_crowded,hunter_burnt,patches_burning,total_burnt,grazer_energy_cost_mult_mean,grazer_energy_cost_mult_sd,grazer_flee_distance_mean,grazer_flee_distance_sd,grazer_repro_threshold_mean,grazer_repro_threshold_sd,hunter_energy_cost_mult_mean,hunter_energy_cost_mult_sd,hunter_flee_distance_mean,hunter_flee_distance_sd,hunter_repro_threshold_mean,hunter_repro_threshold_sd,rain_mm,runoff_mm,ponded_mm,soil_water_mm,drainage_mm,outflow_mm
0,300,20,12,0.1000,0.0200,127.5000,128.0000,0.0000,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0000,4.0000,0.0000,70.0000,0.0000,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,62.2559,0.0000,0.0000
1,300,20,12,0.1045,0.0200,127.4361,127.9149,15.2295,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0000,4.0000,0.0000,70.0000,0.0000,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,62.2247,0.0000,0.0000
2,299,20,12,0.1089,0.0200,127.3734,127.8312,45.1925,11.9978,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0000,0.0000,4.0000,0.0000,70.0000,0.0000,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,62.1941,0.0000,0.0000
3,298,20,12,0.1132,0.0200,127.3064,127.7419,76.1574,11.9978,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0000,0.0000,4.0000,0.0000,70.0000,0.0000,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,62.1613,0.0000,0.0000
4,298,20,12,0.1178,0.0200,127.2416,127.6554,91.6001,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0000,4.0000,0.0000,70.0000,0.0000,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,62.1297,0.0000,0.0000
5,298,20,12,0.1221,0.0200,127.1734,127.5646,107.8160,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0000,4.0000,0.0000,70.0000,0.0000,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,62.0964,0.0000,0.0000
6,300,20,12,0.1265,0.0200,127.1056,127.4741,123.9399,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999,0.0029,4.0012,0.0143,70.0055,0.1721,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,62.0633,0.0000,0.0000
7,301,20,12,0.1306,0.0199,127.0375,127.3833,140.1359,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9998,0.0030,4.0014,0.0149,70.0147,0.2338,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,62.0300,0.0000,0.0000
8,301,20,12,0.1348,0.0199,126.9704,127.2939,156.0526,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9998,0.0030,4.0014,0.0149,70.0147,0.2338,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,61.9973,0.0000,0.0000
9,302,20,12,0.1389,0.0199,126.9057,127.2076,171.3895,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999,0.0034,4.0016,0.0152,70.0254,0.2987,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,61.9657,0.0000,0.0000
10,302,20,12,0.1433,0.0199,125.3614,127.1186,186.6792,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999,0.0034,4.0016,0.0152,70.0254,0.2987,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,61.2116,0.0000,0.0000
11,302,20,12,0.1476,0.0199,125.3009,127.0379,207.5117,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999,0.0034,4.0016,0.0152,70.0254,0.2987,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,61.1821,0.0000,0.0000
12,302,20,12,0.1516,0.0199,125.2415,126.9588,228.0637,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999,0.0034,4.0016,0.0152,70.0254,0.2987,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,61.1531,0.0000,0.0000
13,304,20,12,0.1558,0.0199,125.1781,126.8742,249.9624,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0045,4.0021,0.0164,70.0288,0.3352,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,61.1221,0.0000,0.0000
14,305,20,12,0.1601,0.0199,125.1167,126.7924,271.1803,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999,0.0051,4.0024,0.0173,70.0293,0.3347,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,61.0921,0.0000,0.0000
15,305,20,12,0.1643,0.0199,125.0522,126.7064,308.4645,11.9978,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9999,0.0051,4.0018,0.0204,70.0224,0.3559,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,61.0606,0.0000,0.0000
