npk.n_deposition,seed,no_extinction_pass,no_extinction_value,no_extinction_margin,max_10x_pass,max_10x_value,max_10x_margin,grazer_cycle_pass,grazer_cycle_value,grazer_cycle_margin,moisture_band_pass,moisture_band_value,moisture_band_margin,fertility_band_pass,fertility_band_value,fertility_band_margin,grass_band_pass,grass_band_value,grass_band_margin,tree_growth_pass,tree_growth_value,tree_growth_margin,mature_trees_10k_pass,mature_trees_10k_value,mature_trees_10k_margin,animals_10k_pass,animals_10k_value,animals_10k_margin,tree_footing_pass,tree_footing_value,tree_footing_margin,first_extinction_tick,first_extinction_species,first_extinction_dominant_cause,grazer_peaks,hunter_extinction_tick,hunter_immigrants,pp_lag,pp_corr,pp_undefined,pp_period,pp_pass
0,1,true,32,31.000000,true,187,0.415625,true,17177,10.451333,true,82.26000213623047,0.000000,false,30.612499237060547,-0.234688,true,0.8198000192642212,0.137053,true,1143,62.500000,true,445,11.714286,true,142,70.000000,n/a,,,,,,14,,0,3950,0.6524,,12100,true
0,2,true,36,35.000000,true,1288,0.237870,true,16180,9.786667,true,125.26920318603516,0.000000,false,29.081899642944336,-0.272953,true,0.8306999802589417,0.125579,true,728,39.444444,true,397,10.342857,true,106,52.000000,n/a,,,,,,14,,0,3950,0.5453,,5500,false
0,3,true,34,33.000000,true,1326,0.259218,true,16797,10.198000,true,117.62359619140625,0.000000,false,33.66230010986328,-0.158442,true,0.829200029373169,0.127158,true,799,43.388889,true,285,7.142857,true,99,48.500000,n/a,,,,,,15,,0,4850,0.4822,,2300,false
0.5,1,true,24,23.000000,true,1072,0.193985,true,15054,9.036000,true,78.99690246582031,0.000000,true,43.137699127197266,0.078442,true,0.8359000086784363,0.120105,true,963,52.500000,true,243,5.942857,true,140,69.000000,n/a,,,,,,8,,0,8000,0.5937,,13250,false
0.5,2,true,37,36.000000,true,1096,0.470531,true,17065,10.376667,true,92.53559875488281,0.000000,true,194.9532928466797,0.113849,true,0.8274000287055969,0.129053,true,930,50.666667,true,268,6.657143,true,140,69.000000,n/a,,,,,,13,,0,1250,0.4638,,2750,true
0.5,3,true,36,35.000000,true,1381,0.466795,true,17070,10.380000,true,84.63899993896484,0.000000,false,38.722801208496094,-0.031930,true,0.8241999745368958,0.132421,true,1190,65.111111,true,367,9.485714,true,99,48.500000,n/a,,,,,,9,,0,-6200,0.4722,,9000,false
1,1,true,28,27.000000,true,225,0.296875,true,16080,9.720000,true,56.641998291015625,0.000000,true,201.7552032470703,0.082931,true,0.8307999968528748,0.125474,true,716,38.777778,true,81,1.314286,true,148,73.000000,n/a,,,,,,10,,0,8000,0.6553,,13200,false
1,2,true,37,36.000000,true,172,0.535135,true,16792,10.194667,true,35.444698333740234,0.000000,true,202.21670532226563,0.080833,true,0.8163999915122986,0.140632,true,586,31.555556,true,254,6.257143,true,123,60.500000,n/a,,,,,,12,,0,850,0.4131,,2750,true
1,3,true,36,35.000000,true,1192,0.556877,true,16940,10.293333,true,51.90629959106445,0.000000,true,207.6457061767578,0.056156,true,0.8266000151634216,0.129895,true,868,47.222222,true,281,7.028571,true,139,68.500000,n/a,,,,,,10,,0,8000,0.8124,,6350,false
2,1,true,32,31.000000,true,218,0.318750,true,16383,9.922000,true,6.974400043487549,0.000000,true,206.331298828125,0.062130,true,0.8205999732017517,0.136211,true,448,23.888889,true,100,1.857143,true,142,70.000000,n/a,,,,,,10,,0,850,0.4867,,2150,true
2,2,true,37,36.000000,true,1213,0.542264,true,17887,10.924667,true,87.82019805908203,0.000000,true,201.32960510253906,0.084865,true,0.8330000042915344,0.123158,true,985,53.722222,true,242,5.914286,true,106,52.000000,n/a,,,,,,10,,0,5050,0.4955,,8550,false
2,3,true,36,35.000000,true,916,0.651711,true,16245,9.830000,true,42.1427001953125,0.000000,true,210.18280029296875,0.044624,true,0.8374999761581421,0.118421,true,741,40.166667,true,74,1.114286,true,98,48.000000,n/a,,,,,,12,,0,-6050,0.4725,,7300,false
4,1,true,32,31.000000,true,984,0.219048,true,17297,10.531333,true,95.84970092773438,0.000000,true,218.3199005126953,0.007637,true,0.8511000275611877,0.104105,true,477,25.500000,true,289,7.257143,true,150,74.000000,n/a,,,,,,12,,0,4000,0.5429,,13250,true
4,2,true,23,22.000000,true,191,0.483784,true,16880,10.253333,true,61.68040084838867,0.000000,true,219.30230712890625,0.003171,true,0.8447999954223633,0.110737,true,645,34.833333,true,254,6.257143,true,130,64.000000,n/a,,,,,,14,,0,3800,0.4103,,2750,false
4,3,true,21,20.000000,true,727,0.663426,true,17749,10.832667,true,17.61210060119629,0.000000,true,218.26480102539063,0.007887,true,0.8440999984741211,0.111474,true,380,20.111111,true,239,5.828571,true,103,50.500000,n/a,,,,,,10,,0,7500,0.5837,,9950,false
