scale,seed,trees_end,tree_deaths,tree_causes,pipe_events,storms,captured_m3,overflow_m3,storms_overflowing,captured_by_pipe_m3,pipe_in_mm,outflow_mm,ponded_mm_mean,ponded_mm_max,waterlogged_mean,waterlogged_last2y,n_pipe_g,n_edge_g,p_pipe_g,p_edge_g,grass_inlet_patches,moisture_near_inlets
0,1,3531,15622,crowded:8351 drought:5398 burnt:1473 old_age:400,0,601,0,0,0,,0.0,796.3,2.6712,6.307,0.0,0.0,0,16914.1,0,271404.0,0.4945,90.44
0,2,3437,14898,drought:7408 crowded:5878 burnt:1467 old_age:145,0,679,0,0,0,,0.0,806.7,2.5749,5.221,0.0,0.0,0,16650.7,0,193810.5,0.587,92.66
0,3,1434,16428,drought:5864 crowded:5566 burnt:4812 old_age:186,0,647,0,0,0,,0.0,944.7,3.1126,6.818,0.0,0.0,0,15219.4,0,277858.5,0.5671,86.1
0.001,1,3531,15622,crowded:8351 drought:5398 burnt:1473 old_age:400,2404,601,22.79,46.89,127,19.45 0.89 0.92 1.53,0.347,796.0,2.67,6.305,0.0,0.0,27.7,16886.6,222.2,271182.2,0.4951,90.34
0.001,2,3437,14898,drought:7408 crowded:5878 burnt:1467 old_age:145,2716,679,24.71,36.98,139,21.37 0.93 0.93 1.48,0.375,806.3,2.5737,5.22,0.0,0.0,31.7,16618.9,240.3,193570.9,0.5873,92.48
0.001,3,1434,16428,drought:5864 crowded:5566 burnt:4812 old_age:186,2588,647,27.2,61.75,166,23.13 1.03 1.03 2.02,0.413,944.3,3.1107,6.814,0.0,0.0,27.5,15192.0,259.4,277597.7,0.5672,85.94
0.005,1,3531,15622,crowded:8351 drought:5398 burnt:1473 old_age:400,2404,601,48.94,20.73,28,44.67 0.89 0.92 2.47,0.745,795.6,2.6696,6.305,0.0,0.0,65.5,16848.8,659.9,270745.4,0.4954,90.31
0.005,2,3437,14898,drought:7408 crowded:5878 burnt:1467 old_age:145,2716,679,50.15,11.54,25,46.67 0.93 0.93 1.62,0.764,806.0,2.5731,5.219,0.0,0.0,73.5,16577.2,640.8,193170.7,0.5874,92.48
0.005,3,1434,16428,drought:5864 crowded:5566 burnt:4812 old_age:186,2588,647,63.35,25.6,43,58.45 1.03 1.03 2.84,0.965,943.8,3.1101,6.814,0.0,0.0,68.8,15150.7,796.1,277063.2,0.5673,85.94
0.02,1,3531,15622,crowded:8351 drought:5398 burnt:1473 old_age:400,2404,601,63.69,5.98,3,59.42 0.89 0.92 2.47,0.97,795.4,2.669,6.305,0.0,0.0,91.0,16823.3,998.4,270406.9,0.4954,90.31
0.02,2,3437,14898,drought:7408 crowded:5878 burnt:1467 old_age:145,2716,679,61.56,0.13,1,58.08 0.93 0.93 1.62,0.937,805.8,2.5727,5.219,0.0,0.0,100.9,16549.7,877.9,192933.6,0.5874,92.48
0.02,3,1434,16428,drought:5864 crowded:5566 burnt:4812 old_age:186,2588,647,85.12,3.83,6,80.22 1.03 1.03 2.84,1.297,943.5,3.1097,6.814,0.0,0.0,91.3,15128.2,1205.9,276653.5,0.5673,85.94
0.25,1,3531,15622,crowded:8351 drought:5398 burnt:1473 old_age:400,2404,601,69.68,0.0,0,65.40 0.89 0.92 2.47,1.061,795.3,2.6689,6.304,0.0,0.0,101.1,16813.2,1154.3,270250.9,0.4954,90.31
0.25,2,3437,14898,drought:7408 crowded:5878 burnt:1467 old_age:145,2716,679,61.69,0.0,0,58.21 0.93 0.93 1.62,0.939,805.8,2.5726,5.218,0.0,0.0,102.1,16548.6,881.4,192930.2,0.5874,92.48
0.25,3,1434,16428,drought:5864 crowded:5566 burnt:4812 old_age:186,2588,647,88.95,0.0,0,84.05 1.03 1.03 2.84,1.355,943.4,3.1096,6.813,0.0,0.0,93.1,15126.4,1280.5,276578.8,0.5673,85.94
0.5,1,3531,15622,crowded:8351 drought:5398 burnt:1473 old_age:400,2404,601,69.68,0.0,0,65.40 0.89 0.92 2.47,1.061,795.3,2.6689,6.304,0.0,0.0,101.1,16813.2,1154.3,270250.9,0.4954,90.31
0.5,2,3437,14898,drought:7408 crowded:5878 burnt:1467 old_age:145,2716,679,61.69,0.0,0,58.21 0.93 0.93 1.62,0.939,805.8,2.5726,5.218,0.0,0.0,102.1,16548.6,881.4,192930.2,0.5874,92.48
0.5,3,1434,16428,drought:5864 crowded:5566 burnt:4812 old_age:186,2588,647,88.95,0.0,0,84.05 1.03 1.03 2.84,1.355,943.4,3.1096,6.813,0.0,0.0,93.1,15126.4,1280.5,276578.8,0.5673,85.94
1,1,3531,15622,crowded:8351 drought:5398 burnt:1473 old_age:400,2404,601,69.68,0.0,0,65.40 0.89 0.92 2.47,1.061,795.3,2.6689,6.304,0.0,0.0,101.1,16813.2,1154.3,270250.9,0.4954,90.31
1,2,3437,14898,drought:7408 crowded:5878 burnt:1467 old_age:145,2716,679,61.69,0.0,0,58.21 0.93 0.93 1.62,0.939,805.8,2.5726,5.218,0.0,0.0,102.1,16548.6,881.4,192930.2,0.5874,92.48
1,3,1434,16428,drought:5864 crowded:5566 burnt:4812 old_age:186,2588,647,88.95,0.0,0,84.05 1.03 1.03 2.84,1.355,943.4,3.1096,6.813,0.0,0.0,93.1,15126.4,1280.5,276578.8,0.5673,85.94
2,1,3531,15622,crowded:8351 drought:5398 burnt:1473 old_age:400,2404,601,69.68,0.0,0,65.40 0.89 0.92 2.47,1.061,795.3,2.6689,6.304,0.0,0.0,101.1,16813.2,1154.3,270250.9,0.4954,90.31
2,2,3437,14898,drought:7408 crowded:5878 burnt:1467 old_age:145,2716,679,61.69,0.0,0,58.21 0.93 0.93 1.62,0.939,805.8,2.5726,5.218,0.0,0.0,102.1,16548.6,881.4,192930.2,0.5874,92.48
2,3,1434,16428,drought:5864 crowded:5566 burnt:4812 old_age:186,2588,647,88.95,0.0,0,84.05 1.03 1.03 2.84,1.355,943.4,3.1096,6.813,0.0,0.0,93.1,15126.4,1280.5,276578.8,0.5673,85.94
4,1,3531,15622,crowded:8351 drought:5398 burnt:1473 old_age:400,2404,601,69.68,0.0,0,65.40 0.89 0.92 2.47,1.061,795.3,2.6689,6.304,0.0,0.0,101.1,16813.2,1154.3,270250.9,0.4954,90.31
4,2,3437,14898,drought:7408 crowded:5878 burnt:1467 old_age:145,2716,679,61.69,0.0,0,58.21 0.93 0.93 1.62,0.939,805.8,2.5726,5.218,0.0,0.0,102.1,16548.6,881.4,192930.2,0.5874,92.48
4,3,1434,16428,drought:5864 crowded:5566 burnt:4812 old_age:186,2588,647,88.95,0.0,0,84.05 1.03 1.03 2.84,1.355,943.4,3.1096,6.813,0.0,0.0,93.1,15126.4,1280.5,276578.8,0.5673,85.94
