group,cond,seed,stream,trees_end,trees_min,trees_max,deaths,crowded,drought,burnt,old_age,cover,stems_ha,mature_10k
threshold,base,42,0,4082,79,4461,15405,23.62,58.55,10.46,7.37,2.6646,622.86,325
threshold,0.25,42,0,964,12,964,2581,61.91,32.08,1.94,4.07,0.5382,147.09,122
threshold,0.50,42,0,1734,19,2120,5528,45.69,39.51,11.94,2.86,0.7035,264.59,113
threshold,0.55,42,0,2378,79,4160,15295,33.76,51.98,13.25,1.01,0.9619,362.85,295
threshold,0.60,42,0,2304,51,3496,10996,35.98,57.06,5.75,1.22,0.8649,351.56,134
threshold,0.65,42,0,3013,79,4071,17170,36.98,46.37,15.27,1.37,1.365,459.75,884
threshold,0.70,42,0,4041,79,4041,16482,41.58,44.63,11.44,2.34,2.3522,616.61,226
threshold,0.75,42,0,3818,79,4251,15650,43.78,46.14,7.86,2.22,2.3597,582.58,125
threshold,1.0,42,0,4691,79,5463,15060,31.16,31.7,4.93,32.21,3.8787,715.79,3182
seeds,0.50,1,0,2261,79,2454,8487,37.7,47.73,12.77,1.79,1.3823,345.0,70
seeds,0.55,1,0,3283,38,3510,9102,48.63,45.86,4.01,1.51,2.2428,500.95,496
seeds,0.65,1,0,3831,79,4370,16517,40.38,51.08,7.1,1.44,2.3189,584.56,374
seeds,0.50,2,0,3995,79,4894,18233,71.47,20.21,2.09,6.24,2.5525,609.59,761
seeds,0.55,2,0,1821,16,1821,4443,40.22,49.83,8.62,1.33,0.8542,277.86,151
seeds,0.65,2,0,2475,23,2475,5290,55.84,38.28,3.18,2.7,1.5926,377.66,358
seeds,0.50,3,0,3630,79,4184,17332,45.01,44.66,8.21,2.12,2.0982,553.89,166
seeds,0.55,3,0,1390,79,3124,14752,31.3,55.51,11.2,1.99,0.4927,212.1,196
seeds,0.65,3,0,3750,79,4916,16530,66.45,25.28,3.16,5.11,3.0863,572.2,367
replicates,base,42,1,2098,21,2688,5621,31.13,56.79,3.01,9.07,1.0988,320.13,
replicates,base,42,2,2640,19,2785,5760,43.14,36.42,3.49,16.94,1.7746,402.83,
replicates,base,42,3,4032,79,4475,13547,31.59,57.87,5.41,5.13,4.0514,615.23,
replicates,base,42,4,4524,79,5261,14936,53.63,18.5,4.28,23.59,4.194,690.31,
replicates,base,42,5,3332,79,4554,16594,18.48,66.49,10.93,4.1,1.6727,508.42,
replicates,base,42,6,3270,53,4436,10070,39.3,39.31,6.25,15.13,2.1717,498.96,
replicates,base,42,7,4508,79,5048,14544,37.87,40.88,9.23,12.02,4.3567,687.87,
replicates,base,42,8,4364,79,4432,13269,21.84,62.49,9.55,6.12,3.8244,665.89,
replicates,0.45,42,1,4084,79,4475,16047,65.26,19.79,10.64,4.32,2.8241,623.17,
replicates,0.45,42,2,704,22,733,2341,37.38,54.38,6.32,1.92,0.3842,107.42,
replicates,0.45,42,3,268,24,1780,4171,23.33,61.45,14.0,1.22,0.1017,40.89,
replicates,0.45,42,4,3970,79,4596,16962,46.83,45.81,6.26,1.11,2.1378,605.77,
replicates,0.45,42,5,2566,62,3153,10414,45.68,43.3,7.93,3.09,1.1402,391.54,
replicates,0.45,42,6,3091,79,4491,17743,59.21,31.53,4.82,4.43,1.3352,471.65,
replicates,0.45,42,7,2823,25,2967,6218,61.51,33.97,1.08,3.44,1.9885,430.76,
replicates,0.45,42,8,3288,79,3318,11734,43.25,41.5,14.22,1.03,1.9749,501.71,
replicates,0.55,42,1,4215,79,4466,16255,59.64,34.98,2.31,3.07,2.7642,643.16,
replicates,0.55,42,2,3267,33,3660,10208,65.96,25.21,4.28,4.56,1.9437,498.5,
replicates,0.55,42,3,3736,79,4776,16058,63.46,25.43,5.9,5.22,3.0241,570.07,
replicates,0.55,42,4,4085,79,4723,15442,64.73,24.98,5.48,4.81,3.0797,623.32,
replicates,0.55,42,5,2651,62,3495,10096,43.28,47.33,7.79,1.6,1.7354,404.51,
replicates,0.55,42,6,3681,79,4536,18251,69.1,16.45,7.63,6.82,2.0472,561.68,
replicates,0.55,42,7,3988,79,4796,17656,69.21,21.86,3.15,5.78,3.1725,608.52,
replicates,0.55,42,8,3704,79,4672,17297,72.05,18.21,2.28,7.46,2.2881,565.19,
replicates,0.65,42,1,2722,30,2785,8149,41.53,47.29,9.38,1.8,1.4057,415.34,
replicates,0.65,42,2,1630,8,1766,3832,61.27,31.03,3.76,3.94,1.117,248.72,
replicates,0.65,42,3,3853,79,4742,14239,66.01,24.67,3.57,5.74,3.0843,587.92,
replicates,0.65,42,4,481,34,2929,8678,44.25,46.2,6.42,3.13,0.1979,73.39,
replicates,0.65,42,5,1988,13,1988,4630,45.51,45.16,7.82,1.51,1.0959,303.34,
replicates,0.65,42,6,3909,79,4699,17122,53.13,37.31,7.29,2.27,3.152,596.47,
replicates,0.65,42,7,3388,79,3561,14922,33.35,57.04,7.56,2.04,1.7945,516.97,
replicates,0.65,42,8,3920,79,4716,14447,61.91,28.52,4.51,5.06,2.3523,598.14,
replicates,0.75,42,1,1561,23,1880,5256,37.2,51.29,8.26,3.25,0.7208,238.19,
replicates,0.75,42,2,1894,15,1894,4532,40.58,48.19,9.09,2.14,1.1363,289.0,
