condition,stream,peak,peak_tick,trough,trough_tick,lost_pct,min_moisture_200_1500,min_soil_water_200_1500_mm,rain_0_2000_mm,drought_deaths,trees_2500
on,1,562,2000,562,2000,0.0,121.6,47.0,279.7,185,892
on,2,402,1700,239,2000,40.5,88.0,33.5,279.4,308,323
on,3,606,1900,349,2100,42.4,95.0,36.8,244.9,353,488
on,4,303,1000,10,2100,96.7,30.8,11.5,198.2,301,17
on,5,526,1500,166,2100,68.4,107.8,41.7,337.1,433,249
on,6,239,800,10,1400,95.8,20.4,7.5,223.1,234,30
on,7,252,850,12,2150,95.2,16.4,6.0,159.5,245,17
on,8,387,1150,49,1800,87.3,52.5,19.9,249.6,360,118
on,9,273,900,13,1550,95.2,22.3,8.1,184.3,256,28
on,10,534,1500,436,1800,18.4,120.5,46.7,309.3,199,873
on,11,678,1750,517,2150,23.7,135.5,52.6,348.3,301,708
on,12,682,2000,682,2000,0.0,150.1,57.9,358.9,118,1018
on,13,351,1050,161,1600,54.1,92.1,35.3,272.3,237,431
on,14,711,1900,495,1950,30.4,116.1,44.8,284.0,229,698
on,15,276,950,31,2250,88.8,40.6,15.4,209.8,276,41
on,16,398,1200,120,1900,69.8,91.8,35.1,270.7,356,240
off,1,368,1200,21,1750,94.3,13.5,5.3,183.9,342,41
off,2,330,1200,19,2100,94.2,48.1,18.4,202.9,328,31
off,3,441,1350,188,1900,57.4,97.6,37.5,262.4,322,386
off,4,801,2000,752,2100,6.1,156.1,60.3,336.9,103,971
off,5,610,2000,610,2000,0.0,47.0,17.9,312.8,96,869
off,6,386,1200,53,2050,86.3,74.8,28.6,242.9,376,86
off,7,826,2000,826,2000,0.0,121.4,47.0,391.9,6,1080
off,8,667,2000,667,2000,0.0,117.6,44.7,343.1,94,931
off,9,570,1500,309,2100,45.8,123.9,47.8,272.6,394,468
off,10,659,1650,559,2000,15.2,130.6,50.8,311.6,237,864
off,11,321,1050,101,2350,68.5,68.5,26.2,232.1,360,108
off,12,409,1200,130,2300,68.2,78.5,30.0,256.0,393,175
off,13,819,2000,819,2000,0.0,81.1,31.8,303.3,9,1139
off,14,470,2000,470,2000,0.0,95.0,36.4,309.2,182,763
off,15,505,1400,192,2050,62.0,92.0,35.6,239.7,401,306
off,16,271,850,76,1950,72.0,23.8,8.9,265.0,254,108
fill,1,486,1500,135,1950,72.2,68.9,26.7,197.7,386,219
fill,2,566,1600,367,1850,35.2,94.1,36.6,264.3,250,629
fill,3,733,2000,733,2000,0.0,53.9,20.9,282.0,13,1011
fill,4,712,2000,712,2000,0.0,48.2,18.8,241.1,58,993
fill,5,642,1650,503,1950,21.7,146.5,56.5,326.4,263,771
fill,6,811,2000,811,2000,0.0,152.2,58.7,298.4,11,1126
fill,7,553,2000,553,2000,0.0,124.3,47.9,252.6,192,851
fill,8,543,1600,88,2150,83.8,90.9,35.5,207.3,464,128
