tree.mature_age,seed,no_extinction_pass,no_extinction_value,no_extinction_margin,max_10x_pass,max_10x_value,max_10x_margin,grazer_cycle_pass,grazer_cycle_value,grazer_cycle_margin,fertility_band_pass,fertility_band_value,fertility_band_margin,grass_band_pass,grass_band_value,grass_band_margin,tree_growth_pass,tree_growth_value,tree_growth_margin,mature_trees_10k_pass,mature_trees_10k_value,mature_trees_10k_margin,animals_10k_pass,animals_10k_value,animals_10k_margin,first_extinction_tick,grazer_peaks
500,1,true,7,6.000000,true,84,0.580000,true,10761,6.174000,true,203.12950134277344,0.076684,false,0.046300001442432404,-0.074000,true,565,30.388889,true,307,7.771429,true,55,26.500000,,5
500,2,true,20,19.000000,true,86,0.570000,true,14044,8.362667,true,202.83779907226563,0.078010,true,0.8500000238418579,0.105263,true,597,32.166667,true,290,7.285714,true,70,34.000000,,7
500,3,false,0,-1.000000,true,109,0.480952,true,15540,9.360000,true,202.92160034179688,0.077629,true,0.8503999710083008,0.104842,true,562,30.222222,true,261,6.457143,true,84,41.000000,15061,6
1000,1,true,22,21.000000,true,686,0.340385,true,13751,8.167333,true,208.17239379882813,0.053762,true,0.8816999793052673,0.071895,true,545,29.277778,true,257,6.342857,true,79,38.500000,,4
1000,2,true,19,18.000000,true,658,0.348515,true,14351,8.567333,true,205.17160034179688,0.067402,true,0.8776999711990356,0.076105,true,532,28.555556,true,228,5.514286,true,65,31.500000,,7
1000,3,true,21,20.000000,true,647,0.296739,true,13546,8.030667,true,208.80450439453125,0.050889,true,0.8787000179290771,0.075053,true,513,27.500000,true,233,5.657143,true,68,33.000000,,6
1500,1,true,14,13.000000,false,656,-0.237736,true,13740,8.160000,true,205.7490997314453,0.064777,true,0.8830999732017517,0.070421,true,519,27.833333,true,211,5.028571,true,75,36.500000,,5
1500,2,true,20,19.000000,false,658,-0.196364,true,13459,7.972667,true,201.6685028076172,0.083325,true,0.8822000026702881,0.071368,true,414,22.000000,true,194,4.542857,true,55,26.500000,,4
1500,3,true,20,19.000000,false,613,-0.277083,true,13913,8.275333,true,212.86990356445313,0.032410,true,0.8831999897956848,0.070316,true,542,29.111111,true,221,5.314286,true,76,37.000000,,8
2000,1,true,21,20.000000,false,660,-0.650000,true,12860,7.573333,true,204.5153045654297,0.070385,true,0.8848999738693237,0.068526,true,462,24.666667,true,161,3.600000,true,72,35.000000,,7
2000,2,false,0,-1.000000,false,635,-0.628205,true,11686,6.790667,true,205.69540405273438,0.065021,true,0.8845000267028809,0.068947,true,474,25.333333,true,165,3.714286,true,75,36.500000,18108,4
2000,3,true,20,19.000000,false,605,-0.635135,true,12795,7.530000,true,209.1033935546875,0.049530,true,0.883899986743927,0.069579,true,481,25.722222,true,153,3.371429,true,84,41.000000,,5
2500,1,true,12,11.000000,false,606,-4.050000,true,13388,7.925333,true,210.51170349121094,0.043129,true,0.8841000199317932,0.069368,true,558,30.000000,true,169,3.828571,true,82,40.000000,,7
2500,2,true,12,11.000000,false,597,-3.975000,true,13815,8.210000,true,212.00439453125,0.036344,true,0.8849999904632568,0.068421,true,462,24.666667,true,148,3.228571,true,83,40.500000,,6
2500,3,true,12,11.000000,false,570,-3.750000,true,12983,7.655333,true,212.14669799804688,0.035697,true,0.8855000138282776,0.067895,true,518,27.777778,true,154,3.400000,true,87,42.500000,,6
