tick,grazers,hunters,trees,grass_mean,shrub_mean,moisture_mean,fertility_mean,detritus_total,temperature,hunter_immigrants,grazer_starved,grazer_eaten,grazer_old_age,grazer_crowded,grazer_burnt,hunter_starved,hunter_eaten,hunter_old_age,hunter_crowded,hunter_burnt,patches_burning,total_burnt,grazer_energy_cost_mult_mean,grazer_energy_cost_mult_sd,grazer_flee_distance_mean,grazer_flee_distance_sd,grazer_repro_threshold_mean,grazer_repro_threshold_sd,hunter_energy_cost_mult_mean,hunter_energy_cost_mult_sd,hunter_flee_distance_mean,hunter_flee_distance_sd,hunter_repro_threshold_mean,hunter_repro_threshold_sd,rain_mm,runoff_mm,ponded_mm,soil_water_mm,drainage_mm,outflow_mm
0,300,20,12,0.1000,0.0200,127.5000,128.0000,0.0000,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0000,4.0000,0.0000,70.0000,0.0000,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,67.6758,0.0000,0.0000
1,299,20,12,0.1046,0.0200,127.4225,127.8966,20.0176,11.9912,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0000,0.0000,4.0000,0.0000,70.0000,0.0000,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,67.6346,0.0000,0.0000
2,298,20,12,0.1092,0.0200,127.3547,127.8062,39.3920,11.9912,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0000,0.0000,4.0000,0.0000,70.0000,0.0000,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,67.5986,0.0000,0.0000
3,296,20,12,0.1138,0.0200,157.5673,127.7246,73.3298,11.9912,0,0,2,0,0,0,0,0,0,0,0,0,0,1.0000,0.0000,4.0000,0.0000,70.0000,0.0000,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,16.9545,1.8723,0.0000,83.6352,0.0000,0.8854
4,295,20,12,0.1177,0.0200,157.5068,127.6440,92.2313,11.9912,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0000,0.0000,4.0000,0.0000,70.0000,0.0000,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,83.6031,0.0000,0.0000
5,295,20,12,0.1216,0.0200,157.4480,127.5656,95.9979,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0000,4.0000,0.0000,70.0000,0.0000,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,83.5719,0.0000,0.0000
6,295,20,12,0.1254,0.0200,157.3793,127.4739,100.3983,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0000,4.0000,0.0000,70.0000,0.0000,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,83.5354,0.0000,0.0000
7,294,20,12,0.1293,0.0200,157.3185,127.3930,119.2753,11.9912,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0000,0.0000,4.0000,0.0000,70.0000,0.0000,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,83.5032,0.0000,0.0000
8,294,20,12,0.1332,0.0200,157.2511,127.3031,123.5467,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0000,4.0000,0.0000,70.0000,0.0000,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,83.4674,0.0000,0.0000
9,295,20,12,0.1371,0.0200,157.1827,127.2118,127.8657,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0002,0.0028,4.0000,0.0003,69.9975,0.0429,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,83.4311,0.0000,0.0000
