tick,kind,species,patch_x,patch_y,x,y,cause,detail
6,birth,grazer,18,1,145,10,,332
6,birth,grazer,3,1,24,8,,333
6,birth,grazer,6,1,53,12,,334
6,birth,grazer,7,4,63,39,,335
6,birth,grazer,18,6,149,48,,336
9,birth,grazer,20,0,161,6,,337
12,birth,grazer,11,7,92,58,,338
13,birth,grazer,19,0,152,1,,339
13,birth,grazer,6,5,52,46,,340
14,death,grazer,0,0,0,0,eaten,172
14,death,grazer,22,1,183,13,eaten,299
15,birth,grazer,13,0,106,7,,341
16,birth,grazer,23,4,186,39,,342
16,death,grazer,22,0,182,7,eaten,269
16,death,grazer,13,4,105,38,eaten,62
17,death,grazer,22,0,180,4,eaten,274
19,birth,grazer,2,3,18,25,,343
20,birth,grazer,23,0,186,7,,344
22,death,grazer,22,0,179,0,eaten,109
23,birth,grazer,3,0,31,6,,345
23,birth,grazer,0,1,3,11,,346
25,birth,grazer,28,2,227,19,,347
26,birth,grazer,14,7,112,59,,348
27,birth,grazer,2,3,22,24,,349
28,birth,grazer,8,1,65,9,,350
29,birth,grazer,12,6,97,48,,351
29,birth,grazer,27,5,217,40,,352
31,birth,grazer,16,5,130,40,,353
31,death,grazer,22,0,181,4,eaten,189
33,birth,grazer,20,2,162,18,,354
34,birth,grazer,27,6,217,49,,355
34,birth,grazer,3,6,31,49,,356
37,birth,grazer,19,4,153,38,,357
38,birth,grazer,9,5,77,43,,358
39,birth,grazer,16,1,130,12,,359
40,birth,grazer,9,7,78,61,,360
41,birth,grazer,25,6,207,49,,361
41,birth,grazer,9,1,79,12,,362
43,death,grazer,25,0,203,6,eaten,89
44,death,grazer,25,0,203,6,eaten,142
45,birth,grazer,26,4,208,33,,363
45,birth,grazer,2,5,19,47,,364
45,birth,grazer,14,1,112,12,,365
45,birth,grazer,26,0,208,5,,366
45,death,grazer,25,0,202,5,eaten,211
46,birth,grazer,20,0,167,0,,367
47,birth,grazer,24,7,195,58,,368
48,birth,grazer,7,4,57,36,,369
48,death,grazer,9,0,75,0,eaten,147
50,birth,grazer,15,3,126,31,,370
50,birth,grazer,6,0,52,5,,371
50,death,grazer,25,4,202,33,eaten,59
50,death,grazer,9,0,72,1,eaten,222
51,birth,grazer,21,1,172,8,,372
53,birth,grazer,5,4,41,36,,373
55,death,grazer,8,0,66,0,eaten,136
56,birth,grazer,25,0,207,5,,374
57,birth,grazer,31,5,255,43,,375
57,birth,grazer,25,3,203,28,,376
58,birth,grazer,28,0,230,6,,377
59,birth,grazer,21,0,170,6,,378
60,death,grazer,19,0,157,1,crowded,84
61,birth,grazer,7,1,63,9,,379
61,birth,grazer,22,1,176,8,,380
61,birth,grazer,6,4,52,32,,381
61,birth,grazer,29,2,238,17,,382
62,death,grazer,19,0,157,0,eaten,54
63,birth,grazer,19,4,153,39,,383
64,birth,grazer,13,0,111,0,,384
66,birth,grazer,18,0,151,0,,385
67,birth,grazer,17,4,137,37,,386
69,death,grazer,13,0,110,0,eaten,13
70,birth,grazer,1,3,12,26,,387
71,birth,grazer,3,5,28,44,,388
72,birth,grazer,30,5,245,47,,389
72,birth,grazer,12,6,103,51,,390
72,death,grazer,13,0,110,0,eaten,30
73,birth,grazer,17,5,140,45,,391
75,birth,grazer,6,6,53,49,,392
75,birth,grazer,19,5,153,45,,393
76,birth,grazer,29,4,234,38,,394
77,birth,grazer,2,7,20,61,,395
79,birth,grazer,15,7,127,56,,396
79,birth,grazer,5,2,46,17,,397
80,birth,grazer,26,1,211,12,,398
82,birth,grazer,31,5,253,43,,399
83,birth,grazer,0,3,7,31,,400
84,death,grazer,21,0,173,0,eaten,52
86,birth,grazer,17,4,138,39,,401
86,birth,grazer,1,3,11,26,,402
86,birth,grazer,22,1,176,11,,403
88,birth,grazer,14,1,117,9,,404
89,birth,grazer,21,2,168,16,,405
90,birth,grazer,1,4,12,32,,406
99,birth,grazer,22,7,182,56,,407
100,birth,grazer,2,2,17,17,,408
