tick,grazers,hunters,trees,grass_mean,shrub_mean,moisture_mean,fertility_mean,detritus_total,temperature,hunter_immigrants,grazer_starved,grazer_eaten,grazer_old_age,grazer_crowded,grazer_burnt,hunter_starved,hunter_eaten,hunter_old_age,hunter_crowded,hunter_burnt,patches_burning,total_burnt,grazer_energy_cost_mult_mean,grazer_energy_cost_mult_sd,grazer_flee_distance_mean,grazer_flee_distance_sd,grazer_repro_threshold_mean,grazer_repro_threshold_sd,hunter_energy_cost_mult_mean,hunter_energy_cost_mult_sd,hunter_flee_distance_mean,hunter_flee_distance_sd,hunter_repro_threshold_mean,hunter_repro_threshold_sd
0,300,20,12,0.1000,0.0200,128.0000,128.0000,0.0000,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0000,4.0000,0.0000,70.0000,0.0000,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000
1,300,20,12,0.1044,0.0200,127.9333,127.9110,17.9982,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0000,4.0000,0.0000,70.0000,0.0000,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000
2,300,20,12,0.1087,0.0200,127.8668,127.8224,35.9093,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0000,4.0000,0.0000,70.0000,0.0000,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000
3,300,20,12,0.1132,0.0200,127.8005,127.7339,53.7797,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0000,4.0000,0.0000,70.0000,0.0000,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000
4,300,20,12,0.1174,0.0200,127.7368,127.6490,70.9102,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0000,4.0000,0.0000,70.0000,0.0000,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000
5,300,20,12,0.1219,0.0200,127.6713,127.5618,88.4981,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0000,4.0000,0.0000,70.0000,0.0000,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000
6,305,20,12,0.1261,0.0200,127.6065,127.4753,105.9054,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0042,3.9995,0.0136,70.0015,0.1536,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000
7,305,20,12,0.1304,0.0199,127.5418,127.3890,123.3094,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0042,3.9995,0.0136,70.0015,0.1536,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000
8,305,20,12,0.1346,0.0199,127.4764,127.3019,140.8475,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0042,3.9995,0.0136,70.0015,0.1536,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000
9,306,20,12,0.1389,0.0199,127.4089,127.2118,159.0083,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0043,3.9993,0.0143,70.0056,0.1698,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000
10,306,20,12,0.1433,0.0199,132.6967,127.1186,177.1728,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0043,3.9993,0.0143,70.0056,0.1698,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000
11,306,20,12,0.1475,0.0199,132.6336,127.0344,201.9215,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0043,3.9993,0.0143,70.0056,0.1698,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000
12,307,20,12,0.1515,0.0199,132.5706,126.9505,226.4759,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0001,0.0051,3.9997,0.0164,70.0005,0.1919,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000
13,309,20,12,0.1557,0.0199,132.5078,126.8668,251.0136,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0001,0.0060,4.0001,0.0182,69.9922,0.2567,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000
14,307,20,12,0.1598,0.0199,132.4475,126.7864,304.5050,11.9978,0,0,2,0,0,0,0,0,0,0,0,0,0,1.0001,0.0060,4.0001,0.0183,69.9921,0.2575,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000
15,308,20,12,0.1640,0.0199,132.3856,126.7038,328.6501,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0001,0.0060,4.0004,0.0187,69.9931,0.2577,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000
16,307,20,12,0.1681,0.0199,132.3242,126.6220,382.5547,11.9978,0,0,2,0,0,0,0,0,0,0,0,0,0,1.0002,0.0063,4.0000,0.0197,69.9980,0.2718,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000
17,306,20,12,0.1722,0.0199,132.2630,126.5403,421.5102,11.9978,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0002,0.0063,4.0000,0.0197,69.9980,0.2722,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000
18,306,20,12,0.1763,0.0199,132.2011,126.4579,445.6368,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0002,0.0063,4.0000,0.0197,69.9980,0.2722,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000
19,307,20,12,0.1804,0.0199,132.1372,126.3726,470.6555,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0002,0.0063,4.0003,0.0203,69.9918,0.2922,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000
20,308,20,12,0.1846,0.0198,136.6422,126.2845,494.8183,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0001,0.0064,4.0001,0.0207,69.9876,0.3010,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000
21,308,20,12,0.1886,0.0198,136.5824,126.2049,526.0056,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0001,0.0064,4.0001,0.0207,69.9876,0.3010,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000
22,307,20,12,0.1925,0.0198,136.5229,126.1255,571.9833,11.9978,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0001,0.0064,4.0001,0.0207,69.9875,0.3015,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000
23,309,20,12,0.1965,0.0198,136.4635,126.0463,602.9113,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0001,0.0065,4.0000,0.0252,69.9871,0.3174,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000
24,309,20,12,0.2004,0.0198,136.4065,125.9703,632.5669,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0001,0.0065,4.0000,0.0252,69.9871,0.3174,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000
25,310,20,12,0.2044,0.0198,136.3479,125.8922,663.0056,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,0.0069,3.9999,0.0253,69.9840,0.3214,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000
26,311,20,12,0.2083,0.0198,136.2899,125.8148,693.1559,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0001,0.0074,4.0002,0.0260,69.9893,0.3338,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000
27,312,20,12,0.2122,0.0198,136.2319,125.7376,723.3568,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0002,0.0074,4.0005,0.0265,69.9879,0.3341,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000
28,313,20,12,0.2160,0.0198,136.1735,125.6596,753.7780,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0002,0.0074,4.0000,0.0281,69.9778,0.3782,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000
29,315,20,12,0.2199,0.0198,136.1130,125.5790,785.3195,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0003,0.0075,4.0001,0.0304,69.9703,0.3916,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000
30,315,20,12,0.2239,0.0198,140.5342,125.4957,815.0986,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0003,0.0075,4.0001,0.0304,69.9703,0.3916,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000
31,315,20,12,0.2277,0.0198,140.4778,125.4204,867.3704,11.9978,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0003,0.0075,3.9997,0.0313,69.9795,0.4247,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000
32,315,20,12,0.2314,0.0198,140.4215,125.3454,904.4146,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0003,0.0075,3.9997,0.0313,69.9795,0.4247,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000
33,316,20,12,0.2352,0.0198,140.3653,125.2705,941.3958,11.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0005,0.0079,3.9993,0.0322,69.9883,0.4520,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000
